Rank,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Age,T,,Team,League
,<a href=https://npb.jp/bis/eng/players/03905157.html>Beasley Jeremy</a>,14,5,4,0,0,0,310,76.1,54,2,82,33,0,5,4,29,19,2.24,3.27,3.22,1.14,135,91,84,-1.03,0.6%,26.5%,10.6%,15.8%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/83085159.html>Betances Jose</a>,18,2,1,0,0,0,133,28.1,23,1,25,23,0,7,5,18,16,5.08,5.45,4.65,1.62,59,152,121,-0.37,0.8%,18.8%,17.3%,1.5%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03505132.html>Dolis Rafael</a>,2,0,0,0,0,0,8,2.0,1,0,2,0,0,0,0,0,0,0.00,1.58,2.30,0.50,999,44,60,-1.58,0.0%,25.0%,0.0%,25.0%,37,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/13715150.html>Duplantier Jon</a>,3,1,0,0,0,0,41,10.2,6,0,15,4,0,0,0,0,0,0.00,1.90,2.12,0.94,999,53,55,-1.90,0.0%,36.6%,9.8%,26.8%,30,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/33735159.html>Guerra Javy</a>,33,1,4,3,0,0,152,33.1,39,0,37,12,0,2,6,18,10,2.70,2.62,3.16,1.53,112,73,82,0.08,0.0%,24.3%,7.9%,16.4%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/43045150.html>Hartwig Grant</a>,4,0,0,0,0,0,13,4.0,1,1,4,0,0,0,0,1,1,2.25,4.83,1.72,0.25,134,135,45,-2.58,7.7%,30.8%,0.0%,30.8%,28,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31635134.html>Hatake Seishu</a>,9,0,0,0,0,0,38,7.2,12,1,6,6,1,0,3,5,4,4.70,6.06,4.80,2.35,64,169,125,-1.36,2.6%,15.8%,15.8%,0.0%,31,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/57955159.html>Hayakawa Daiki</a>,16,8,1,0,0,0,316,76.2,67,5,51,19,0,3,1,26,24,2.82,3.96,3.79,1.12,107,111,99,-1.14,1.6%,16.1%,6.0%,10.1%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81185157.html>Ibaragi Hidetoshi</a>,6,1,3,0,0,0,108,25.1,24,2,19,11,0,1,3,14,13,4.62,4.53,4.06,1.38,65,126,106,0.09,1.9%,17.6%,10.2%,7.4%,21,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375150.html>Ihara Takato</a>,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.58,1.47,0.00,999,44,38,-1.58,0.0%,33.3%,0.0%,33.3%,24,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01105159.html>Ishiguro Yuya</a>,18,3,1,3,0,0,77,19.0,14,0,19,7,0,0,0,5,3,1.42,2.69,3.24,1.11,213,75,85,-1.27,0.0%,24.7%,9.1%,15.6%,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41145153.html>Ishii Daichi</a>,1,0,0,0,0,0,3,1.0,0,0,3,0,0,0,0,0,0,0.00,-2.42,-5.20,0.00,999,-67,-136,2.42,0.0%,100.0%,0.0%,100.0%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375153.html>Itoh Masashi</a>,8,3,1,0,0,0,182,44.0,47,1,33,8,0,2,0,16,15,3.07,3.06,3.43,1.25,98,85,89,0.01,0.5%,18.1%,4.4%,13.7%,29,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31335155.html>Itoh Ryo</a>,22,7,7,0,0,0,403,94.1,84,3,64,44,0,3,5,30,29,2.77,4.14,4.30,1.36,109,115,112,-1.37,0.7%,15.9%,10.9%,5.0%,25,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51355139.html>Iwasada Yuta</a>,16,1,0,0,0,0,61,16.0,9,0,13,4,0,0,1,1,0,0.00,2.71,3.32,0.81,999,76,87,-2.71,0.0%,21.3%,6.6%,14.8%,33,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11715138.html>Kawahara Riku</a>,15,1,3,0,0,0,100,20.2,22,2,11,16,0,1,2,20,17,7.40,6.25,5.30,1.84,41,174,138,1.15,2.0%,11.0%,16.0%,-5.0%,24,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31935150.html>Kesamaru Yuki</a>,12,5,0,0,0,0,205,46.2,46,4,33,24,0,0,3,24,22,4.24,4.83,4.36,1.50,71,135,114,-0.59,2.0%,16.1%,11.7%,4.4%,19,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41745150.html>Kinoshita Rito</a>,35,1,3,1,0,0,147,35.2,28,0,32,13,1,2,5,13,9,2.27,3.05,3.51,1.15,133,85,92,-0.78,0.0%,21.8%,8.8%,12.9%,24,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01705155.html>Kirishiki Takuma</a>,2,0,0,0,0,0,17,3.1,3,0,4,4,1,0,1,0,0,0.00,4.78,4.80,2.10,999,133,125,-4.78,0.0%,23.5%,23.5%,0.0%,26,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81785150.html>Kudo Taisei</a>,26,1,2,0,0,0,126,26.1,24,1,32,21,0,2,2,15,12,4.10,4.27,3.93,1.71,74,119,102,-0.17,0.8%,25.4%,16.7%,8.7%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/13215159.html>Martinez Anthony</a>,9,0,1,0,0,0,167,36.2,37,3,25,17,0,2,1,18,12,2.95,4.84,4.32,1.47,102,135,113,-1.89,1.8%,15.0%,10.2%,4.8%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/93195159.html>Matsubara Kai</a>,33,0,1,0,0,0,176,39.2,38,3,24,23,0,4,6,22,21,4.76,5.40,4.74,1.54,63,151,124,-0.64,1.7%,13.6%,13.1%,0.6%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/53355157.html>Mombetsu Keito</a>,9,3,1,0,0,0,201,52.2,43,2,37,5,0,2,0,12,8,1.37,3.07,3.21,0.91,220,86,84,-1.70,1.0%,18.4%,2.5%,15.9%,20,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/03305155.html>Moriki Daichi</a>,14,0,0,0,0,0,90,14.1,24,1,14,18,0,6,5,23,22,13.81,7.56,5.24,2.93,22,211,137,6.25,1.1%,15.6%,20.0%,-4.4%,22,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/13315153.html>Murakami Shoki</a>,1,0,0,0,0,0,18,5.0,3,0,2,0,0,0,0,0,0,0.00,2.78,3.69,0.60,999,78,96,-2.78,0.0%,11.1%,0.0%,11.1%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/73775150.html>Nelson Nick</a>,8,0,0,0,0,0,51,13.2,5,0,16,6,0,1,3,1,1,0.66,2.78,2.84,0.80,457,78,74,-2.12,0.0%,31.4%,11.8%,19.6%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/71275118.html>Nishi Yuki</a>,13,3,3,0,0,0,240,60.2,53,2,40,7,0,3,0,22,22,3.26,3.19,3.42,0.99,93,89,89,0.07,0.8%,16.7%,2.9%,13.7%,34,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11715151.html>Ogawa Ippei</a>,4,0,0,0,0,0,17,4.0,3,0,2,2,0,0,0,1,1,2.25,4.08,4.80,1.25,134,114,125,-1.83,0.0%,11.8%,11.8%,0.0%,28,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41345136.html>Ohtake Koutaro</a>,5,2,2,0,0,0,84,21.0,20,0,11,2,0,1,0,8,7,3.00,2.96,3.73,1.05,101,83,97,0.04,0.0%,13.1%,2.4%,10.7%,30,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11515155.html>Okadome Hidetaka</a>,27,3,1,10,0,0,106,28.0,24,2,23,1,0,2,0,7,4,1.29,3.19,2.72,0.89,234,89,71,-1.90,1.9%,21.7%,0.9%,20.8%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41745134.html>Saiki Hiroto</a>,1,0,1,0,0,0,21,5.0,6,0,3,0,0,0,0,1,1,1.80,2.38,3.37,1.20,168,66,88,-0.58,0.0%,14.3%,0.0%,14.3%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/81085153.html>Satoh Ren</a>,19,1,1,0,0,0,107,21.0,16,0,23,28,0,2,8,15,15,6.43,5.68,5.27,2.10,47,158,137,0.75,0.0%,21.5%,26.2%,-4.7%,27,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/21925159.html>Shiiba Tsuyoshi</a>,40,3,2,1,0,0,192,47.0,35,2,52,23,0,2,8,13,12,2.30,3.52,3.29,1.23,131,98,86,-1.22,1.0%,27.1%,12.0%,15.1%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51055133.html>Shimamoto Hiroya</a>,25,0,0,0,0,0,85,23.0,12,0,19,4,0,0,1,0,0,0.00,2.45,3.04,0.70,999,68,79,-2.45,0.0%,22.4%,4.7%,17.6%,32,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/01005155.html>Suzuki Yuto</a>,2,0,0,0,0,0,5,1.0,0,0,1,1,0,0,0,0,0,0.00,4.58,4.80,1.00,999,128,125,-4.58,0.0%,20.0%,20.0%,0.0%,25,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/91095136.html>Takahashi Haruto</a>,3,1,0,0,0,0,36,9.0,8,0,7,2,0,0,0,0,0,0.00,2.70,3.41,1.11,999,75,89,-2.70,0.0%,19.4%,5.6%,13.9%,29,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/51255157.html>Tomida Ren</a>,28,1,1,0,0,0,186,46.1,37,0,43,10,0,2,1,15,15,2.91,2.50,3.03,1.01,104,70,79,0.41,0.0%,23.1%,5.4%,17.7%,23,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11415159.html>Tsuda Junya</a>,21,3,1,1,0,0,136,31.2,28,1,18,17,0,0,2,19,15,4.26,4.47,4.73,1.42,71,125,123,-0.21,0.7%,13.2%,12.5%,0.7%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/11315138.html>Urushihara Taisei</a>,30,1,1,7,0,0,117,28.2,21,1,23,11,0,1,2,14,5,1.57,3.69,3.77,1.12,192,103,98,-2.12,0.9%,19.7%,9.4%,10.3%,28,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/41845138.html>Yuasa Atsuki</a>,12,0,1,1,0,0,52,12.0,11,0,7,5,0,0,0,5,3,2.25,3.67,4.42,1.33,134,102,115,-1.42,0.0%,13.5%,9.6%,3.8%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Tigers.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6224"" />",<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,WL
,<a href=https://npb.jp/bis/eng/players/31135134.html>Aduwa Makoto</a>,14,5,7,0,0,0,307,71.0,75,2,50,17,0,4,3,40,34,4.31,3.43,3.73,1.30,73,91,97,0.88,0.7%,16.3%,5.5%,10.7%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/51155159.html>Akatsuka Kento</a>,21,0,0,0,0,0,99,19.0,24,1,7,20,0,1,2,17,16,7.58,6.85,6.11,2.32,42,182,159,0.73,1.0%,7.1%,20.2%,-13.1%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/33735150.html>Dominguez Johan</a>,16,2,4,0,0,0,203,47.2,41,2,50,15,1,1,0,22,17,3.21,3.04,3.08,1.17,99,81,80,0.17,1.0%,24.6%,7.4%,17.2%,29,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71375136.html>Endoh Atsushi</a>,24,3,3,1,0,0,228,55.1,49,3,41,18,0,2,0,18,16,2.60,3.89,3.79,1.21,122,104,99,-1.29,1.3%,18.0%,7.9%,10.1%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/51655157.html>Hasebe Ginji</a>,32,1,1,2,0,0,128,30.1,28,1,24,7,0,2,5,12,8,2.37,3.32,3.47,1.15,134,88,91,-0.95,0.8%,18.8%,5.5%,13.3%,26,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41645157.html>Hidaka Atsumi</a>,19,3,7,0,0,0,338,72.0,89,3,40,29,0,9,1,48,42,5.25,4.60,4.47,1.64,60,122,117,0.65,0.9%,11.8%,8.6%,3.3%,20,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/21625130.html>Horie Atsuya</a>,21,1,2,2,0,0,82,20.1,12,0,26,6,1,1,2,9,5,2.21,2.06,2.36,0.89,143,55,62,0.15,0.0%,31.7%,7.3%,24.4%,28,L,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71575157.html>Kawano Kei</a>,30,0,0,3,0,0,133,30.0,38,1,21,7,0,3,2,15,12,3.60,3.62,3.75,1.50,88,96,98,-0.02,0.8%,15.8%,5.3%,10.5%,23,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/71775136.html>Kemna Makoto</a>,24,1,1,1,0,0,127,26.1,34,1,21,16,0,3,2,20,14,4.78,4.65,4.41,1.90,66,124,115,0.13,0.8%,16.5%,12.6%,3.9%,30,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/91795150.html>Kikuchi Harun</a>,9,0,0,0,0,0,65,14.2,20,0,12,7,0,0,1,5,5,3.07,3.38,4.03,1.84,103,90,105,-0.31,0.0%,18.5%,10.8%,7.7%,18,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61965153.html>Kobayashi Tatsuto</a>,26,0,0,1,0,0,128,25.1,34,0,28,13,0,5,0,15,14,4.97,3.51,3.63,1.86,64,93,95,1.46,0.0%,21.9%,10.2%,11.7%,22,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/91995150.html>Kobune Tsubasa</a>,9,0,1,0,0,0,41,8.0,12,1,3,5,0,0,0,10,7,7.88,6.33,5.29,2.12,40,169,138,1.55,2.4%,7.3%,12.2%,-4.9%,19,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/91895157.html>Masuda Takehisa</a>,35,2,0,1,0,0,155,35.1,36,1,29,11,0,6,5,22,19,4.84,3.75,3.64,1.33,65,100,95,1.09,0.6%,18.7%,7.1%,11.6%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/73175155.html>Matsumoto Ryuya</a>,31,1,1,2,0,0,142,32.0,34,1,30,11,0,0,3,17,10,2.81,3.15,3.46,1.41,113,84,90,-0.34,0.7%,21.1%,7.7%,13.4%,25,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/41545153.html>Ohmichi Haruki</a>,36,1,2,4,0,0,159,37.0,32,2,32,19,0,1,4,16,16,3.89,4.18,3.98,1.38,81,111,104,-0.29,1.3%,20.1%,11.9%,8.2%,26,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
,<a href=https://npb.jp/bis/eng/players/61365139.html>Ohsera Daichi</a>,1,0,1,0,0,0,24,4.1,10,1,5,0,0,0,0,8,8,16.62,4.28,2.72,2.31,19,114,71,12.34,4.2%,20.8%,0.0%,20.8%,34,R,"<img src=""https://www.yakyucosmo.com/wp-content/uploads/2025/04/Carp.jpg"" alt="""" width=""10"" height=""10"" class=""alignnone size-full wp-image-6223"" />",<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,WL
