Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,17,8,5,0,0,0,.615,443,109,.1,115,12,12,0,2,62,2,0,51,48,3.95,Hanshin Tigers,
Aoyagi Koyo,5,2,1,0,0,0,.667,134,32,,28,1,7,0,2,21,2,0,9,8,2.25,Hanshin Tigers,
Baba Kosuke,28,3,1,0,0,0,.750,121,32,,20,0,7,1,1,37,1,0,10,7,1.97,Hanshin Tigers,
Beasley Jeremy,9,1,3,0,0,0,.250,164,44,,26,2,5,0,1,43,2,0,11,11,2.25,Hanshin Tigers,
Brewer Colten,1,0,0,0,0,0,.000,3,1,,0,0,0,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Hamachi Masumi,13,0,0,1,0,0,.000,47,13,,7,1,1,0,0,16,0,0,3,2,1.38,Hanshin Tigers,
Ibaragi Hidetoshi,12,3,3,0,0,0,.500,188,38,.1,52,3,19,0,2,30,6,0,37,28,6.57,Hanshin Tigers,
Ishii Daichi,6,0,0,0,0,0,.000,22,6,,4,0,0,0,0,9,0,0,0,0,0.00,Hanshin Tigers,
Itoh Masashi,2,0,1,0,0,0,.000,33,8,,8,0,2,0,0,6,0,0,3,3,3.38,Hanshin Tigers,
Iwasada Yuta,3,0,0,0,0,0,.000,12,3,,0,0,2,0,0,2,2,0,1,0,0.00,Hanshin Tigers,
Iwata Masaki,44,2,3,0,0,0,.400,194,42,.2,51,2,11,0,5,39,0,0,25,23,4.85,Hanshin Tigers,
Kajiya Ren,4,0,0,2,0,0,.000,12,4,,0,0,0,0,0,5,0,0,0,0,0.00,Hanshin Tigers,
Kawahara Riku,26,2,6,2,0,0,.250,282,65,,71,6,21,0,5,40,4,0,35,31,4.29,Hanshin Tigers,
Keller Brian,3,2,1,0,0,0,.667,61,15,.2,11,1,6,0,0,14,2,0,6,6,3.45,Hanshin Tigers,
Kirishiki Takuma,12,3,3,0,1,0,.500,303,72,.1,78,4,11,0,1,50,2,0,34,32,3.98,Hanshin Tigers,
Kobayashi Keisuke,39,1,4,16,0,0,.200,168,39,.1,40,1,11,1,1,41,1,1,15,14,3.20,Hanshin Tigers,
Mochizuki Atsushi,13,0,1,0,0,0,.000,65,11,.1,15,1,17,0,0,3,4,0,14,11,8.74,Hanshin Tigers,
Mombetsu Keito,12,2,2,2,0,0,.500,230,55,,50,4,15,0,0,43,3,0,20,17,2.78,Hanshin Tigers,
Moriki Daichi,15,3,4,0,0,0,.429,248,52,.2,56,6,36,0,4,34,6,1,39,36,6.15,Hanshin Tigers,
Niho Akira,43,2,5,0,0,0,.286,175,38,.2,44,4,15,0,3,27,4,0,28,26,6.05,Hanshin Tigers,
Nishi Junya,13,3,3,0,1,0,.500,215,53,,35,5,14,0,4,39,4,0,20,17,2.89,Hanshin Tigers,
Nishi Yuki,4,2,0,0,0,0,1.000,80,20,,19,1,3,0,0,12,2,1,5,4,1.80,Hanshin Tigers,
Ogawa Ippei,2,1,0,0,0,0,1.000,9,2,,2,0,1,0,0,1,0,0,1,1,4.50,Hanshin Tigers,
Ohtake Koutaro,2,0,1,0,0,0,.000,43,10,,10,0,3,0,0,9,0,0,3,2,1.80,Hanshin Tigers,
Okadome Hidetaka,31,2,1,3,0,0,.667,127,34,.1,20,1,6,0,1,41,0,0,5,5,1.31,Hanshin Tigers,
Oyokawa Masaki,10,2,0,0,0,0,1.000,66,16,.2,13,1,5,0,0,22,1,0,3,3,1.62,Hanshin Tigers,
Saiki Hiroto,5,1,0,0,0,0,1.000,47,15,,1,0,0,0,0,21,0,0,0,0,0.00,Hanshin Tigers,
Satoh Ren,19,0,0,0,0,0,.000,109,22,.1,9,0,27,0,4,27,7,0,20,15,6.04,Hanshin Tigers,
Shimamoto Hiroya,14,0,1,1,0,0,.000,56,12,.1,18,1,3,0,0,6,0,0,7,7,5.11,Hanshin Tigers,
Suzuki Yuto,21,5,2,0,2,0,.714,331,75,.2,57,5,51,0,3,48,10,2,32,31,3.69,Hanshin Tigers,
Tomida Ren,14,5,2,0,0,0,.714,298,71,.1,63,5,17,0,1,60,1,0,20,14,1.77,Hanshin Tigers,
Watanabe Yuta,30,1,2,0,0,0,.333,109,24,.2,23,1,10,0,3,34,0,0,11,11,4.01,Hanshin Tigers,
Yuasa Atsuki,7,0,0,2,0,0,.000,24,7,,4,0,0,0,0,4,1,0,2,2,2.57,Hanshin Tigers,
Aduwa Makoto,18,2,1,3,0,0,.667,84,20,.1,19,0,4,0,1,21,1,0,6,5,2.21,Hiroshima Carp,
Anderson Drew,8,1,2,0,0,0,.333,88,22,,12,0,9,0,0,27,0,0,4,3,1.23,Hiroshima Carp,
Corniel Robert,12,3,4,0,0,0,.429,238,57,.1,51,0,20,0,2,55,1,2,20,13,2.04,Hiroshima Carp,
Endoh Atsushi,13,4,3,0,0,0,.571,260,63,,57,4,22,0,1,51,0,0,21,20,2.86,Hiroshima Carp,
Fujii Reira,25,1,2,2,0,0,.333,114,25,,20,3,17,1,1,21,4,0,14,11,3.96,Hiroshima Carp,
Hasebe Ginji,39,2,3,3,0,0,.400,197,41,.2,44,3,30,1,3,33,6,0,26,26,5.62,Hiroshima Carp,
Horie Atsuya,24,1,1,1,0,0,.500,107,24,,32,1,5,0,2,28,0,0,14,14,5.25,Hiroshima Carp,
Ichioka Ryuji,24,1,3,0,0,0,.250,108,23,.1,30,3,10,1,1,9,2,0,19,17,6.56,Hiroshima Carp,
Kawano Kei,19,4,3,4,0,0,.571,162,40,,33,3,5,0,4,28,1,0,18,12,2.70,Hiroshima Carp,
Kemna Makoto,2,0,0,0,0,0,.000,14,3,,3,0,2,0,0,2,0,0,1,1,3.00,Hiroshima Carp,
Kobayashi Tatsuto,16,3,3,0,0,0,.500,329,79,.1,66,2,29,0,3,51,2,1,31,26,2.95,Hiroshima Carp,
Kuri Aren,1,0,1,0,0,0,.000,12,3,,3,0,0,0,0,2,0,0,2,1,3.00,Hiroshima Carp,
Kuribayashi Ryoji,1,0,0,1,0,0,.000,4,1,,1,0,0,0,0,0,0,0,0,0,0.00,Hiroshima Carp,
Kurohara Takumi,17,6,1,0,0,0,.857,357,90,.2,76,3,17,0,4,81,8,0,26,26,2.58,Hiroshima Carp,
Masuda Takehisa,22,0,4,0,0,0,.000,217,46,.1,52,1,32,0,1,33,2,0,29,24,4.66,Hiroshima Carp,
Matsumoto Ryuya,23,0,0,4,0,0,.000,101,23,.2,26,1,6,0,0,19,1,0,13,12,4.56,Hiroshima Carp,
Mori Shohei,10,4,2,0,0,0,.667,177,44,,32,2,16,0,2,50,0,0,11,9,1.84,Hiroshima Carp,
Morishita Masato,5,1,1,1,0,0,.500,69,18,,16,2,5,0,0,14,0,0,5,5,2.50,Hiroshima Carp,
Moriura Daisuke,25,0,2,3,0,0,.000,108,24,.2,20,0,8,1,4,46,1,1,8,5,1.82,Hiroshima Carp,
