Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Aoyagi Koyo,18,37,32,1,4,1,0,0,5,4,0,0,5,0,0,0,0,12,0,.125,.156,.125,Hanshin Tigers,
Baba Kosuke,19,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Beasley Jeremy,18,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,.000,.000,.000,Hanshin Tigers,
Brewer Colten,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Chikamoto Koji,129,585,501,83,143,24,12,8,215,54,28,3,0,5,67,2,12,71,6,.285,.429,.379,Hanshin Tigers,
Hamachi Masumi,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,54,56,52,2,10,1,0,2,17,8,0,0,0,0,3,0,1,18,2,.192,.327,.250,Hanshin Tigers,
Inoue Kouta,13,37,35,3,8,2,1,0,12,7,0,0,0,0,2,0,0,18,0,.229,.343,.270,Hanshin Tigers,
Ishii Daichi,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itayama Yutaro,12,17,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,.059,.059,.059,Hanshin Tigers,
Itoh Masashi,21,52,43,1,5,0,0,0,5,2,0,0,7,0,2,0,0,26,1,.116,.116,.156,Hanshin Tigers,
Itohara Kento,69,83,72,1,17,1,0,0,18,5,0,0,0,0,9,1,2,16,1,.236,.250,.337,Hanshin Tigers,
Iwasada Yuta,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwazaki Suguru,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kajiya Ren,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Keller Kyle,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kinami Seiya,127,470,408,41,109,22,1,1,136,41,0,0,20,7,31,12,4,103,13,.267,.333,.320,Hanshin Tigers,
Kirishiki Takuma,27,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,.167,.167,.167,Hanshin Tigers,
Kobayashi Keisuke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kumagai Takahiro,26,9,6,7,2,0,0,0,2,0,3,1,1,0,2,0,0,2,0,.333,.333,.500,Hanshin Tigers,
Maegawa Ukyo,33,107,94,6,24,3,2,0,31,7,0,2,0,0,9,0,4,25,1,.255,.330,.346,Hanshin Tigers,
Mieses Johan,60,143,126,11,28,3,0,5,46,16,0,0,0,2,14,1,1,45,3,.222,.365,.301,Hanshin Tigers,
Mombetsu Keito,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,Hanshin Tigers,
Morishita Shota,94,377,333,42,79,14,1,10,125,41,1,0,0,4,29,1,11,70,6,.237,.375,.316,Hanshin Tigers,
Murakami Shoki,22,49,44,2,6,0,0,0,6,0,0,0,3,0,2,0,0,23,2,.136,.136,.174,Hanshin Tigers,
