Team,G,W,L,T,PCT,GB,Home,Road,vsH,vsB,vsC,vsT,vsD,Int,
Fukuoka SoftBankHawks,123,67,49,7,.578,--,36-24(4),31-25(3),--,17-12(2),16-11,17-13(2),16-10(3),1-3,
ORIXBuffaloes,122,64,49,9,.566,1.5,38-24(3),26-25(6),12-17(2),--,15-13(2),17-8(2),18-10(2),2-1(1),
Hiroshima ToyoCarp,113,53,52,8,.5047,8.5,27-21(5),26-31(3),11-16,13-15(2),--,15-14(3),14-7(3),--,
HanshinTigers,119,56,55,8,.5045,8.5,32-24(3),24-31(5),13-17(2),8-17(2),14-15(3),--,21-5(1),0-1,
ChunichiDragons,112,33,70,9,.320,27.5,17-32(5),16-38(4),10-16(3),10-18(2),7-14(3),5-21(1),--,1-1,
