Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,2,0,1,0,0,0,0,.000,46,9,.2,16,1,1,0,0,7,0,0,8,8,7.45,Hanshin Tigers,
Aoyagi Koyo,18,8,6,0,0,0,0,.571,439,100,.1,102,6,38,2,9,64,3,0,54,51,4.57,Hanshin Tigers,
Baba Kosuke,19,2,1,0,3,0,0,.667,89,22,,17,2,8,0,0,22,0,0,8,6,2.45,Hanshin Tigers,
Beasley Jeremy,18,1,2,0,0,0,0,.333,170,41,,35,1,13,0,1,43,2,0,12,10,2.20,Hanshin Tigers,
Brewer Colten,13,0,1,0,2,0,0,.000,50,11,.1,6,1,6,1,0,14,1,0,5,3,2.38,Hanshin Tigers,
Hamachi Masumi,30,3,1,0,6,0,0,.750,121,27,.2,32,6,6,0,0,23,0,0,18,18,5.86,Hanshin Tigers,
Ishii Daichi,44,1,1,0,19,0,0,.500,165,40,,43,2,8,1,1,29,0,0,8,6,1.35,Hanshin Tigers,
Itoh Masashi,21,10,5,0,0,3,2,.667,572,146,.2,120,8,21,2,4,91,3,0,40,39,2.39,Hanshin Tigers,
Iwasada Yuta,50,1,0,0,24,0,0,1.000,177,43,.1,36,2,12,1,2,30,0,0,15,13,2.70,Hanshin Tigers,
Iwazaki Suguru,60,3,3,35,12,0,0,.500,217,56,,32,3,14,0,2,62,0,0,13,11,1.77,Hanshin Tigers,
Kajiya Ren,51,1,5,1,16,0,0,.167,161,38,.2,34,3,13,0,2,32,6,1,12,11,2.56,Hanshin Tigers,
Keller Kyle,27,1,0,1,8,0,0,1.000,118,26,.1,22,1,16,2,1,28,3,0,7,5,1.71,Hanshin Tigers,
Kirishiki Takuma,27,2,0,0,14,0,0,1.000,158,40,.1,28,1,12,1,0,40,0,0,10,8,1.79,Hanshin Tigers,
Kobayashi Keisuke,1,0,0,0,0,0,0,.000,4,1,,1,0,0,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Mombetsu Keito,2,0,0,0,0,0,0,.000,37,8,,13,0,1,0,0,5,0,0,3,3,3.38,Hanshin Tigers,
Murakami Shoki,22,10,6,0,1,2,1,.625,532,144,.1,92,9,15,0,1,137,0,0,30,28,1.75,Hanshin Tigers,
Nishi Junya,17,5,2,0,0,1,0,.714,316,72,.1,79,9,28,0,3,45,0,0,33,31,3.86,Hanshin Tigers,
Nishi Yuki,18,8,5,0,0,2,1,.615,452,108,.1,106,8,24,2,8,56,0,1,47,43,3.57,Hanshin Tigers,
Ohtake Koutaro,21,12,2,0,0,1,1,.857,513,131,.2,122,10,12,0,3,82,0,0,36,33,2.26,Hanshin Tigers,
Okadome Hidetaka,8,1,0,0,0,0,0,1.000,25,7,,5,0,1,0,0,6,0,0,1,1,1.29,Hanshin Tigers,
Oyokawa Masaki,33,3,1,0,7,0,0,.750,147,36,.1,28,2,14,3,2,40,1,0,10,9,2.23,Hanshin Tigers,
Saiki Hiroto,19,8,5,0,1,1,1,.615,473,118,.2,88,8,36,1,2,107,3,0,29,24,1.82,Hanshin Tigers,
Shimamoto Hiroya,35,4,2,0,15,0,0,.667,100,26,.2,19,0,3,1,1,20,0,0,6,5,1.69,Hanshin Tigers,
Tomida Ren,9,1,2,0,0,0,0,.333,66,16,,14,2,5,0,0,10,0,0,11,8,4.50,Hanshin Tigers,
Yuasa Atsuki,15,0,2,8,3,0,0,.000,67,14,.1,15,3,8,0,0,15,0,0,8,7,4.40,Hanshin Tigers,
Aduwa Makoto,14,1,0,0,1,0,0,1.000,67,16,.2,15,1,2,0,1,13,0,0,6,6,3.24,Hiroshima Carp,
Anderson Drew,21,4,1,0,2,0,0,.800,181,45,,30,2,17,0,2,39,1,0,12,11,2.20,Hiroshima Carp,
Corniel Robert,8,1,4,0,0,0,0,.200,191,42,.1,46,2,18,0,2,23,3,1,25,24,5.10,Hiroshima Carp,
Endoh Atsushi,8,1,5,0,0,1,1,.167,174,41,,36,7,15,0,2,22,0,0,20,20,4.39,Hiroshima Carp,
Horie Atsuya,8,0,0,0,2,0,0,.000,33,7,,10,1,3,0,0,10,0,0,4,4,5.14,Hiroshima Carp,
Ichioka Ryuji,1,0,0,0,0,0,0,.000,1,0,.1,0,0,0,0,0,1,0,0,0,0,0.00,Hiroshima Carp,
Kawano Kei,8,0,1,0,0,0,0,.000,60,12,.1,19,6,5,0,1,11,2,0,13,13,9.49,Hiroshima Carp,
Kemna Makoto,24,2,0,0,1,0,0,1.000,113,26,.2,24,1,13,0,0,25,2,0,12,11,3.71,Hiroshima Carp,
Kuri Aren,26,8,8,0,0,3,3,.500,706,174,.1,142,8,49,7,10,129,2,0,58,49,2.53,Hiroshima Carp,
Kuribayashi Ryoji,55,3,7,18,15,0,0,.300,210,52,.1,42,4,19,2,1,51,2,0,18,17,2.92,Hiroshima Carp,
Kurohara Takumi,5,0,1,0,0,0,0,.000,69,12,.2,21,1,10,0,0,13,2,0,15,15,10.66,Hiroshima Carp,
Masuda Takehisa,8,1,0,0,0,0,0,1.000,43,11,,8,1,3,0,0,12,1,0,2,2,1.64,Hiroshima Carp,
Matsumoto Ryuya,13,0,3,1,8,0,0,.000,50,10,.1,13,2,7,1,0,6,0,0,6,5,4.35,Hiroshima Carp,
Mori Shohei,12,4,2,0,0,0,0,.667,224,51,.2,58,7,10,0,1,38,0,1,29,26,4.53,Hiroshima Carp,
Morishita Masato,20,9,6,0,0,3,1,.600,544,131,.2,127,10,36,1,2,94,3,0,49,44,3.01,Hiroshima Carp,
Moriura Daisuke,13,0,0,0,0,0,0,.000,57,11,.2,11,1,12,0,0,8,2,0,8,8,6.17,Hiroshima Carp,
Nakamura Yuta,5,0,0,0,0,0,0,.000,31,7,,9,1,1,0,0,3,0,0,5,1,1.29,Hiroshima Carp,
Nakazaki Shota,35,1,0,0,7,0,0,1.000,132,33,,25,1,6,1,2,24,0,0,13,10,2.73,Hiroshima Carp,
Nomura Yusuke,6,1,1,0,0,0,0,.500,130,31,,30,1,4,1,1,14,0,0,9,4,1.16,Hiroshima Carp,
Ohmichi Haruki,48,3,1,0,10,0,0,.750,213,49,.2,44,2,23,3,3,49,0,0,15,15,2.72,Hiroshima Carp,
Ohsera Daichi,23,6,11,0,0,0,0,.353,539,129,.2,117,15,33,4,4,103,2,0,53,52,3.61,Hiroshima Carp,
Shimauchi Sotaro,62,3,3,2,39,0,0,.500,235,58,.1,50,3,17,0,0,64,4,1,17,15,2.31,Hiroshima Carp,
Tamamura Shogo,9,3,1,0,0,0,0,.750,199,45,.1,52,9,11,0,2,44,0,0,28,25,4.96,Hiroshima Carp,
Tokoda Hiroki,24,11,7,0,0,2,2,.611,636,156,,144,13,28,1,5,86,3,0,46,38,2.19,Hiroshima Carp,
