Team,G,W,L,T,PCT,GB,Home,Road,vsG,vsE,vsL,vsDB,vsF,vsS,vsM,Int,
YomiuriGiants,124,74,44,6,.627,--,45-18,29-26(6),--,13-9(1),11-10,14-6(2),10-9,14-5(1),12-5(2),--,
Tohoku RakutenGolden Eagles,129,78,48,3,.619,0.0,41-22(2),37-26(1),9-13(1),--,12-8,12-11,12-7(1),16-5,16-2(1),1-2,
Saitama SeibuLions,124,71,49,4,.592,4.0,34-24(2),37-25(2),10-11,8-12,--,15-4(1),13-10,11-8(1),13-4(2),1-0,
YOKOHAMA DeNABAYSTARS,132,59,66,7,.472,18.5,35-29(3),24-37(4),6-14(2),11-12,4-15(1),--,14-7(3),9-9(1),12-9,3-0,
Hokkaido Nippon-HamFighters,128,54,67,7,.446,21.5,29-30(6),25-37(1),9-10,7-12(1),10-13,7-14(3),--,14-4(1),7-13(1),0-1(1),
Tokyo YakultSwallows,122,45,73,4,.381,29.0,26-31(3),19-42(1),5-14(1),5-16,8-11(1),9-9(1),4-14(1),--,14-9,--,
Chiba LotteMarines,124,43,75,6,.364,31.0,21-37(3),22-38(3),5-12(2),2-16(1),4-13(2),9-12,13-7(1),9-14,--,1-1,
