,Player,Link,Year,Team,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,HP,SO,GDP,AVG,SLG,OBP,ParkF,OPS,ISO,K%,BB%,BB/K,TTO%,BABIP,OPS+,wSB,Pos,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%
18,Fujinami Shintaro,https://npb.jp/bis/players/41045137.html,2014,Hanshin Tigers,25,58,52,3,9,2,0,1,14,6,0,0,6,0,0,0,30,1,0.173,0.269,0.173,0.925,0.442,0.09600000000000003,0.5172413793103449,0.0,0.0,0.5344827586206896,0.38095238095238093,24.28190790295397,-0.008753465872219925,,,,,,
19,Mishima Kazuki,https://npb.jp/bis/players/41245137.html,2014,DeNA BayStars,8,6,6,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.167,0.167,0.167,1.0899999999999999,0.334,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.2,-5.3561873083508695,-0.0014589109787033208,,,,,,
20,Miyazaki Toshiro,https://npb.jp/bis/players/51455137.html,2014,DeNA BayStars,5,13,13,0,2,1,0,0,3,0,0,0,0,0,0,0,3,0,0.154,0.231,0.154,1.0899999999999999,0.385,0.07700000000000001,0.23076923076923078,0.0,0.0,0.23076923076923078,0.2,6.253640853600767,-0.0014589109787033208,,,,,,
21,Mori Yuito,https://npb.jp/bis/players/01405139.html,2014,SoftBank Hawks,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9550000000000001,0.0,0.0,,,,,,-104.71204188481674,0.0,,,,,,
22,Imamura Nobutaka,https://npb.jp/bis/players/31335135.html,2014,Yomiuri Giants,13,7,7,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0.143,0.143,0.143,0.995,0.286,0.0,0.5714285714285714,0.0,0.0,0.5714285714285714,0.3333333333333333,-19.467811607454355,-0.0014589109787033208,,,,,,
23,Otosaka Tomo,https://npb.jp/bis/players/41345135.html,2014,DeNA BayStars,6,2,2,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0,0.5,2.0,0.5,1.0899999999999999,2.5,1.5,0.0,0.0,,0.5,0.0,524.0671309956862,0.0,,,,,,
24,Kai Takuya,https://npb.jp/bis/players/91595133.html,2014,SoftBank Hawks,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.9550000000000001,0.0,0.0,,,,,,-104.71204188481674,0.0,,,,,,
25,Kobayashi Seiji,https://npb.jp/bis/players/91795139.html,2014,Yomiuri Giants,63,121,110,18,28,7,0,2,41,14,0,0,3,0,4,4,26,4,0.255,0.373,0.305,0.995,0.6779999999999999,0.118,0.21487603305785125,0.03305785123966942,0.15384615384615385,0.2644628099173554,0.3170731707317073,90.07122440869199,-0.03939059642498966,,,,,,
26,Sakamoto Hayato,https://npb.jp/bis/players/51955114.html,2014,Yomiuri Giants,144,616,545,82,152,29,0,16,229,61,23,5,9,5,55,2,88,3,0.279,0.42,0.344,0.995,0.764,0.14099999999999996,0.14285714285714285,0.08928571428571429,0.625,0.25811688311688313,0.30493273542600896,114.25836053558821,2.020738599492655,,,,,,
27,Chono Hisayoshi,https://npb.jp/bis/players/91995131.html,2014,Yomiuri Giants,130,523,472,67,140,29,1,13,210,62,8,4,4,2,42,3,75,8,0.297,0.445,0.356,0.995,0.8009999999999999,0.14800000000000002,0.14340344168260039,0.08030592734225621,0.56,0.248565965583174,0.3290155440414508,124.44946540206313,-0.1671653589758715,,,,,,
28,Maru Yoshihiro,https://npb.jp/bis/players/21425116.html,2014,Hiroshima Carp,144,644,536,106,166,30,5,19,263,67,26,11,0,4,100,4,95,12,0.31,0.491,0.419,0.9650000000000001,0.9099999999999999,0.181,0.14751552795031056,0.15527950310559005,1.0526315789473684,0.33229813664596275,0.34507042253521125,160.55659872443593,0.4748752286000823,,,,,,
29,Ishikawa Masanori,https://npb.jp/bis/players/11315115.html,2014,Yakult Swallows,27,56,44,2,9,0,0,0,9,2,0,0,11,0,1,0,15,1,0.205,0.205,0.222,1.08,0.427,0.0,0.26785714285714285,0.017857142857142856,0.06666666666666667,0.2857142857142857,0.3103448275862069,19.22306734582149,-0.014589109787033207,,,,,,
30,Ishiyama Taichi,https://npb.jp/bis/players/21125137.html,2014,Yakult Swallows,35,32,27,0,3,0,0,0,3,0,0,0,4,0,1,0,13,1,0.111,0.111,0.143,1.08,0.254,0.0,0.40625,0.03125,0.07692307692307693,0.4375,0.21428571428571427,-25.62573133603626,-0.005835643914813283,,,,,,
31,Ogawa Yasuhiro,https://npb.jp/bis/players/11515137.html,2014,Yakult Swallows,17,40,35,0,1,0,0,0,1,0,0,0,4,0,1,0,17,1,0.029,0.029,0.056,1.08,0.085,0.0,0.425,0.025,0.058823529411764705,0.45,0.05555555555555555,-69.84482583826384,-0.0029178219574066415,,,,,,
32,Kawabata Shingo,https://npb.jp/bis/players/31735112.html,2014,Yakult Swallows,142,637,580,86,177,33,2,10,244,69,2,2,8,3,43,3,62,10,0.305,0.421,0.355,1.08,0.776,0.11599999999999999,0.09733124018838304,0.06750392464678179,0.6935483870967742,0.18053375196232338,0.3268101761252446,108.60548927874392,-0.5796861542091911,,,,,,
33,Nakamura Yuhei,https://npb.jp/bis/players/51255118.html,2014,Yakult Swallows,99,365,325,26,97,9,1,5,123,41,0,0,7,3,26,4,51,8,0.298,0.378,0.355,1.08,0.733,0.08000000000000002,0.13972602739726028,0.07123287671232877,0.5098039215686274,0.22465753424657534,0.3382352941176471,98.27190584064815,-0.16339802961477193,,,,,,
34,Nishikawa Haruki,https://npb.jp/bis/players/21225133.html,2014,Nipponham Fighters,143,637,555,90,147,19,13,8,216,57,43,11,16,0,63,3,139,1,0.265,0.389,0.343,0.985,0.732,0.124,0.21821036106750394,0.0989010989010989,0.45323741007194246,0.32967032967032966,0.34068627450980393,106.94110753395665,3.4276084006843255,,,,,,
35,Yamada Tetsuto,https://npb.jp/bis/players/91895133.html,2014,Yakult Swallows,143,685,596,106,193,39,1,29,321,89,15,5,2,5,74,8,95,10,0.324,0.539,0.403,1.08,0.9420000000000001,0.21500000000000002,0.1386861313868613,0.10802919708029197,0.7789473684210526,0.28905109489051095,0.3438155136268344,150.48728404371155,0.5994643383871161,,,,,,
36,Iwasaki Sho,https://npb.jp/bis/players/31335116.html,2014,SoftBank Hawks,18,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.9550000000000001,0.0,0.0,0.0,0.0,,0.0,0.0,-104.71204188481674,0.0,,,,,,
37,Ohshima Yohei,https://npb.jp/bis/players/01305131.html,2014,Chunichi Dragons,141,642,585,92,186,18,2,2,214,28,28,12,6,2,43,6,56,3,0.318,0.366,0.369,0.935,0.735,0.04799999999999999,0.08722741433021806,0.06697819314641744,0.7678571428571429,0.1573208722741433,0.34782608695652173,114.73731325903357,0.4892519615361934,,,,,,
38,Okada Toshiya,https://npb.jp/bis/players/11515131.html,2014,Chunichi Dragons,38,12,8,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0.0,0.0,0.0,0.935,0.0,0.0,0.25,0.0,0.0,0.25,0.0,-106.951871657754,0.0,,,,,,
39,Ohno Yudai,https://npb.jp/bis/players/11515133.html,2014,Chunichi Dragons,25,54,46,1,3,0,0,0,3,1,0,0,6,0,2,0,25,0,0.065,0.065,0.104,0.935,0.16899999999999998,0.0,0.46296296296296297,0.037037037037037035,0.08,0.5,0.14285714285714285,-55.061442913111215,-0.0072945548935166036,,,,,,
