#,Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,,Team,League
,Kajitani Takayuki,30,7,35.0,0.0,0.0,0.1,-0.1,,0.0,-0.3,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kajitani Takayuki,30,8,80.0,-0.8,-12.9,-1.5,0.7,,0.0,0.3,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kajitani Takayuki,30,9,77.0,1.1,18.4,1.8,-0.8,,0.0,-0.3,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Hirata Ryosuke,31,9,817.0,3.1,4.9,-1.2,4.0,,0.3,-3.2,,,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,CL
,Kuwahara Masayuki,25,7,6.0,0.1,21.4,-0.2,0.3,,0.0,-0.1,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kuwahara Masayuki,25,8,136.1,4.0,37.8,2.3,1.7,,0.1,0.4,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kuwahara Masayuki,25,9,78.0,-1.4,-23.1,-0.8,-0.7,,0.0,-0.3,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kinami Seiya,25,3,28.0,-1.3,-59.8,-1.3,,-0.1,0.0,-0.3,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kinami Seiya,25,4,19.2,1.1,71.9,1.0,,0.0,0.1,0.1,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kinami Seiya,25,6,773.0,2.9,4.8,4.8,,1.3,-3.3,6.2,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Sakaguchi Tomotaka,34,3,80.2,0.1,1.6,0.6,,-0.1,-0.4,-0.9,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Sakaguchi Tomotaka,34,7,18.0,-0.6,-42.9,-0.9,0.3,,0.0,-0.2,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Sakaguchi Tomotaka,34,8,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Sakaguchi Tomotaka,34,9,47.0,-1.8,-49.3,-1.3,-0.6,,0.0,-0.2,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Sakaguchi Tomotaka,34,DH,1.0,,,,,,,0.0,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Tanaka Kosuke,29,6,761.1,-1.4,-2.4,0.1,,-0.7,-0.8,6.1,,,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Yoshikawa Naoki,24,4,85.0,0.6,9.1,0.3,,0.5,-0.2,0.2,,,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,CL
,Asama Daiki,23,5,67.0,-1.6,-30.7,-0.6,,0.0,-1.1,-0.2,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Asama Daiki,23,7,6.0,0.6,128.7,0.6,0.0,,0.0,-0.1,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Fukuda Shuhei,26,4,1089.0,-0.7,-0.8,-0.9,,0.3,-0.2,2.9,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Fukuda Shuhei,26,6,49.2,2.9,75.1,1.8,,0.7,0.4,0.4,,,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Fujiwara Kyota,19,8,34.0,1.0,37.9,1.3,-0.4,,0.0,0.1,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Fujiwara Kyota,19,DH,1.0,,,,,,,0.0,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Tanaka Kazuki,24,8,344.2,-2.5,-9.3,-2.0,-0.7,,0.2,1.1,,,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,Tanaka Kazuki,24,9,60.2,1.6,33.9,2.3,-0.7,,0.0,-0.2,,,🦅 ,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,Oka Hiromi,27,3,19.1,-0.6,-40.0,-0.6,,0.0,0.0,-0.2,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Oka Hiromi,27,8,149.2,-0.8,-6.9,0.1,-1.0,,0.1,0.5,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Oka Hiromi,27,9,226.2,0.3,1.7,0.8,-0.6,,0.1,-0.9,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Oka Hiromi,27,DH,4.0,,,,,,,0.0,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Makihara Taisei,26,4,378.1,0.0,0.0,2.8,,-2.0,-0.8,1.0,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Makihara Taisei,26,6,122.0,1.8,19.0,1.9,,-0.3,0.2,1.0,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Makihara Taisei,26,7,44.0,-0.9,-26.3,-0.7,-0.2,,0.0,-0.4,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Makihara Taisei,26,8,301.2,4.2,17.9,2.3,1.8,,0.2,1.0,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Makihara Taisei,26,9,67.0,-0.9,-17.3,-0.4,-0.5,,0.0,-0.3,,,🪶,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,Kaneko Yuji,29,7,1023.0,15.7,19.8,12.7,2.3,,0.7,-9.5,,,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,Kaneko Yuji,29,9,90.2,-1.3,-18.4,-0.5,-0.9,,0.1,-0.4,,,🦁,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,Miki Ryo,27,3,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Miki Ryo,27,4,35.0,-2.1,-77.2,-1.1,,-0.4,-0.6,0.1,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Miki Ryo,27,5,34.2,-1.3,-48.2,-1.5,,-0.1,0.3,-0.1,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Miki Ryo,27,6,324.2,-3.7,-14.7,-3.7,,-0.7,0.6,2.6,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Miki Ryo,27,DH,2.0,,,,,,,0.0,,,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Yokoo Toshitake,26,3,17.0,0.4,30.3,0.3,,0.0,0.0,-0.2,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Yokoo Toshitake,26,5,375.2,-0.8,-2.7,0.2,,-0.1,-0.9,-1.4,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Yokoo Toshitake,26,7,2.0,-0.5,-321.8,-0.5,0.0,,0.0,0.0,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Yokoo Toshitake,26,DH,13.0,,,,,,,-0.2,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,Kusumoto Taishi,23,7,37.0,-2.2,-76.5,-2.3,0.1,,0.0,-0.3,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kusumoto Taishi,23,8,18.0,0.2,14.3,0.2,0.1,,0.0,0.1,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Kusumoto Taishi,23,9,73.2,0.5,8.7,0.0,0.4,,0.0,-0.3,,,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Toritani Takashi,38,6,86.0,-2.8,-41.9,-3.2,,0.5,-0.2,0.7,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Toritani Takashi,38,DH,1.0,,,,,,,0.0,,,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Hirooka Taishi,22,3,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Hirooka Taishi,22,5,152.0,-0.2,-1.7,0.5,,0.4,-1.1,-0.6,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Hirooka Taishi,22,6,346.2,-7.1,-26.4,-5.9,,1.3,-2.4,2.8,,,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,CL
,Nishikawa Haruki,27,8,1242.2,1.4,1.4,7.2,-6.5,,0.7,4.1,,,🦊,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
