#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Cook Ryan,13,0,2,6,0,0,0,67,15.0,19,2,9,6,0,0,2,8,8,4.80,5.10,4.35,1.67,85,113,118,-0.30,3.0%,13.4%,9.0%,4.5%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,32,R,CL
,De La Rosa Rubby,26,1,0,8,5,0,0,93,24.0,16,4,32,5,0,1,0,6,6,2.25,3.62,1.90,0.88,180,80,51,-1.37,4.3%,34.4%,5.4%,29.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,30,R,CL
,Furukawa Yuri,3,1,1,0,0,0,0,21,5.0,4,0,10,2,0,0,0,4,4,7.20,0.57,0.99,1.20,56,13,27,6.63,0.0%,47.6%,9.5%,38.1%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,23,R,CL
,Hatake Seishu,5,0,1,0,0,0,0,76,15.2,26,2,14,5,0,1,0,14,12,6.89,4.39,3.62,1.98,59,97,98,2.50,2.6%,18.4%,6.6%,11.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,R,CL
,Horioka Hayato,3,0,0,0,0,0,0,18,4.1,5,1,2,3,0,0,1,3,3,6.23,7.52,5.36,1.85,65,166,145,-1.29,5.6%,11.1%,16.7%,-5.6%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,20,R,CL
,Ikeda Shun,2,0,0,0,0,0,0,6,1.0,2,1,1,1,0,0,0,2,2,18.00,17.37,4.80,3.00,23,384,130,0.63,16.7%,16.7%,16.7%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,26,L,CL
,Imamura Nobutaka,17,3,2,0,0,0,0,349,81.2,82,9,54,26,1,8,1,39,37,4.08,4.73,4.00,1.32,99,105,108,-0.65,2.6%,15.5%,7.4%,8.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,L,CL
,Jungmann Taylor,10,3,4,0,0,0,0,206,44.1,49,9,28,26,0,3,2,33,30,6.09,6.71,4.70,1.69,67,148,128,-0.62,4.4%,13.6%,12.6%,1.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,R,CL
,Kagiya Yohei,27,0,2,0,6,0,0,117,27.0,21,4,11,18,3,0,0,11,9,3.00,6.48,5.40,1.44,135,143,146,-3.48,3.4%,9.4%,15.4%,-6.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,28,R,CL
,Kuwahara Takuya,15,0,1,0,2,0,0,80,19.0,17,4,16,4,0,2,1,11,10,4.74,5.37,3.30,1.11,86,119,89,-0.63,5.0%,20.0%,5.0%,15.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,23,R,CL
,Mathieson Scott,28,2,2,1,8,0,0,104,22.2,28,2,19,9,2,0,0,11,11,4.37,4.03,3.84,1.63,93,89,104,0.34,1.9%,18.3%,8.7%,9.6%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,35,R,CL
,Mercedes Cristopher Crisostomo,22,8,8,0,0,0,0,512,120.1,137,12,89,28,1,5,2,49,47,3.52,4.01,3.61,1.37,115,89,98,-0.49,2.3%,17.4%,5.5%,11.9%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,,,CL
,Miyaguni Ryosuke,28,0,2,0,3,0,0,122,29.2,26,2,21,9,0,1,1,16,13,3.94,3.84,3.82,1.18,103,85,103,0.10,1.6%,17.2%,7.4%,9.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,27,R,CL
,Morifuku Masahiko,7,0,0,0,3,0,0,18,4.1,5,2,5,0,0,0,0,3,3,6.23,7.06,2.02,1.15,65,156,55,-0.83,11.1%,27.8%,0.0%,27.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,32,L,CL
,Nakagawa Kota,67,4,3,16,17,0,0,270,64.2,57,3,74,18,2,2,0,19,17,2.37,2.61,2.73,1.16,171,58,74,-0.24,1.1%,27.4%,6.7%,20.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,L,CL
,Nogami Ryoma,13,1,2,1,3,0,0,81,18.0,19,1,16,6,0,0,1,10,7,3.50,3.31,3.57,1.39,116,73,97,0.19,1.2%,19.8%,7.4%,12.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,32,R,CL
,Oe Ryusei,8,0,0,0,1,0,0,49,10.2,13,3,7,3,1,0,1,9,8,6.75,6.56,3.98,1.50,60,145,108,0.19,6.1%,14.3%,6.1%,8.2%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,,,CL
,Otake Kan,32,4,0,0,8,0,0,111,26.0,26,2,24,8,2,0,1,9,8,2.77,3.44,3.36,1.31,147,76,91,-0.67,1.8%,21.6%,7.2%,14.4%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,36,R,CL
,Sakamoto Koki,2,0,0,0,0,0,0,12,2.0,5,0,3,0,0,1,0,3,3,13.50,1.87,2.30,2.50,30,41,62,11.63,0.0%,25.0%,0.0%,25.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,24,R,CL
,Sakurai Toshiki,29,8,6,0,0,0,0,472,108.1,109,12,82,42,0,4,1,53,52,4.32,4.57,3.95,1.39,94,101,107,-0.25,2.5%,17.4%,8.9%,8.5%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,25,R,CL
,Sawamura Hirokazu,43,2,2,1,13,0,0,197,48.1,40,3,55,17,1,3,1,14,14,2.61,3.14,2.87,1.18,156,69,78,-0.53,1.5%,27.9%,8.6%,19.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,31,R,CL
,Sugano Tomoyuki,22,11,6,0,0,3,1,577,136.1,138,20,120,32,2,3,0,65,59,3.89,4.28,3.27,1.25,104,95,89,-0.39,3.5%,20.8%,5.5%,15.3%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,R,CL
,Taguchi Kazuto,55,3,3,1,14,0,0,276,65.1,59,11,66,18,2,2,2,30,30,4.13,4.45,3.06,1.18,98,99,83,-0.32,4.0%,23.9%,6.5%,17.4%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,23,L,CL
,Tahara Seiji,25,2,2,0,5,0,0,70,16.2,14,1,9,7,1,0,1,8,8,4.32,4.33,4.51,1.26,94,96,122,-0.01,1.4%,12.9%,10.0%,2.9%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,R,CL
,Takagi Kyosuke,55,3,1,0,10,0,0,220,54.0,51,11,48,13,2,0,1,23,23,3.83,4.96,3.21,1.19,106,110,87,-1.13,5.0%,21.8%,5.9%,15.9%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,29,L,CL
,Takahashi Yuki,18,5,7,0,0,0,0,395,93.0,70,14,89,48,1,5,1,34,33,3.19,5.12,3.76,1.27,127,113,102,-1.93,3.5%,22.5%,12.2%,10.4%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,22,L,CL
,Takata Hosei,2,0,0,0,0,0,0,22,5.0,7,0,7,2,1,0,0,3,3,5.40,1.77,2.53,1.80,75,39,69,3.63,0.0%,31.8%,9.1%,22.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,20,R,CL
,Togo Shosei,2,1,0,0,0,0,0,34,8.2,6,1,11,3,0,1,0,2,2,2.08,3.71,2.45,1.04,195,82,66,-1.63,2.9%,32.4%,8.8%,23.5%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,19,R,CL
,Tone Chiaki,26,0,1,0,8,0,0,104,22.2,17,2,21,17,2,3,0,7,5,1.99,5.31,4.42,1.50,204,117,120,-3.32,1.9%,20.2%,16.3%,3.8%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,26,L,CL
,Yamaguchi Shun,26,15,4,0,0,0,0,705,170.0,137,8,188,60,1,13,4,60,55,2.91,3.06,2.98,1.16,139,68,81,-0.15,1.1%,26.7%,8.5%,18.2%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,31,R,CL
,Yoshikawa Mitsuo,9,0,1,0,3,0,0,35,6.1,12,2,4,6,0,0,0,7,7,9.95,9.05,5.37,2.84,41,200,146,0.90,5.7%,11.4%,17.1%,-5.7%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,31,L,CL
,Buchanan David,18,4,6,0,0,0,0,438,99.2,118,10,58,33,0,4,1,56,53,4.79,4.62,4.23,1.52,90,97,115,0.17,2.3%,13.2%,7.5%,5.7%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,30,R,CL
,Hara Juri,12,3,7,0,0,1,0,322,74.0,85,10,57,19,1,5,5,44,40,4.86,4.56,3.62,1.41,88,95,98,0.30,3.1%,17.7%,5.9%,11.8%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,25,R,CL
,Hirai Ryo,20,1,1,0,4,0,0,87,19.0,24,1,13,9,0,0,2,18,18,8.53,4.10,4.34,1.74,50,86,118,4.43,1.1%,14.9%,10.3%,4.6%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,28,R,CL
,Hoshi Tomoya,10,1,3,0,0,0,0,67,12.2,15,1,10,15,1,0,1,12,12,8.53,6.37,5.55,2.37,50,133,150,2.16,1.5%,14.9%,22.4%,-7.5%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,25,R,CL
,Huff Dave,68,1,5,3,26,0,0,271,65.2,58,6,58,21,2,1,0,31,29,3.97,3.79,3.43,1.20,108,79,93,0.18,2.2%,21.4%,7.7%,13.7%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,34,L,CL
,Igarashi Ryota,45,5,1,0,4,0,0,193,42.1,35,4,33,24,1,3,3,19,14,2.98,4.95,4.33,1.39,144,104,118,-1.97,2.1%,17.1%,12.4%,4.7%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,40,R,CL
,Ishikawa Masanori,23,8,6,0,0,0,0,514,124.1,117,18,88,26,2,4,2,57,53,3.84,4.56,3.59,1.15,112,95,97,-0.72,3.5%,17.1%,5.1%,12.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,39,L,CL
,Ishiyama Taichi,34,2,2,10,5,0,0,137,33.0,30,2,31,8,2,0,3,12,10,2.73,3.00,3.12,1.15,157,63,85,-0.27,1.5%,22.6%,5.8%,16.8%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,30,R,CL
,Kazahari Ren,14,0,0,0,1,0,0,95,19.0,23,5,17,15,0,2,1,15,15,7.11,7.68,4.59,2.00,60,161,124,-0.57,5.3%,17.9%,15.8%,2.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,R,CL
,Kondo Kazuki,59,3,3,0,19,0,0,245,53.0,57,6,54,32,4,0,3,23,21,3.57,4.61,3.90,1.68,120,96,106,-1.04,2.4%,22.0%,13.1%,9.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,35,R,CL
,Kubo Takuma,16,0,0,0,1,0,0,54,11.0,13,2,11,7,1,3,2,7,7,5.73,6.46,4.06,1.82,75,135,110,-0.73,3.7%,20.4%,13.0%,7.4%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,22,L,CL
,Kuramoto Harutaka,8,0,0,0,0,0,0,63,12.2,26,3,9,3,0,1,0,13,13,9.24,5.97,3.85,2.29,46,125,104,3.27,4.8%,14.3%,4.8%,9.5%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,24,R,CL
,McGough Scott,65,6,3,11,18,0,0,296,68.2,71,2,64,22,4,2,2,25,24,3.15,2.93,3.38,1.35,136,61,92,0.22,0.7%,21.6%,7.4%,14.2%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,29,R,CL
,Nakao Hikaru,12,0,1,0,0,0,0,69,14.0,17,3,18,8,1,0,3,13,13,8.36,5.30,3.35,1.79,51,111,91,3.06,4.3%,26.1%,11.6%,14.5%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,24,L,CL
,Nakazawa Masato,1,0,0,0,0,0,0,9,1.2,4,1,1,0,0,0,0,4,4,21.60,9.97,3.69,2.40,20,209,100,11.63,11.1%,11.1%,0.0%,11.1%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,34,L,CL
,Ogawa Yasuhiro,26,5,12,0,0,2,1,686,159.2,173,26,132,36,0,2,1,91,81,4.57,4.55,3.40,1.31,94,95,92,0.02,3.8%,19.2%,5.2%,14.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,29,R,CL
,Oshita Yuma,31,0,2,0,2,0,0,187,41.2,52,7,30,12,1,0,0,26,24,5.18,4.98,3.84,1.54,83,104,104,0.20,3.7%,16.0%,6.4%,9.6%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,26,R,CL
,Sakamoto Koshiro,19,0,0,0,3,0,0,104,21.2,22,2,15,16,0,2,2,15,14,5.82,5.68,4.90,1.75,74,119,133,0.14,1.9%,14.4%,15.4%,-1.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,24,L,CL
,Shimizu Noboru,11,0,3,0,0,0,0,124,26.0,33,7,24,13,0,0,0,25,21,7.27,6.52,3.91,1.77,59,136,106,0.75,5.6%,19.4%,10.5%,8.9%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,22,R,CL
,Suarez Albert,4,1,1,0,0,0,0,68,17.2,11,1,12,5,0,1,0,3,3,1.53,3.76,3.77,0.91,281,79,102,-2.23,1.5%,17.6%,7.4%,10.3%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,29,R,CL
,Tagawa Kengo,4,1,2,0,0,0,0,73,15.1,23,2,12,6,0,0,0,16,13,7.63,4.67,3.98,1.89,56,98,108,2.96,2.7%,16.4%,8.2%,8.2%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,25,R,CL
,Takahashi Keiji,20,4,6,0,0,0,0,438,95.1,99,14,99,53,2,8,5,68,61,5.76,5.12,3.75,1.59,75,107,102,0.64,3.2%,22.6%,12.1%,10.5%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,22,L,CL
,Takanashi Hirotoshi,21,5,7,0,0,0,0,358,78.0,90,13,82,34,0,4,7,56,54,6.23,4.89,3.46,1.59,69,102,94,1.34,3.6%,22.9%,9.5%,13.4%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,28,R,CL
,Tateyama Shohei,2,0,1,0,0,0,0,18,3.1,5,0,3,2,0,1,0,3,2,5.40,4.27,4.24,2.10,79,89,115,1.13,0.0%,16.7%,11.1%,5.6%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,38,R,CL
,Terahara Hayato,4,2,1,0,0,0,0,75,16.0,18,2,9,9,0,0,1,11,11,6.19,5.56,4.80,1.69,69,116,130,0.63,2.7%,12.0%,12.0%,0.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,35,R,CL
,Terashima Naruki,3,0,0,0,0,0,0,21,4.0,9,0,0,2,0,0,0,3,1,2.25,4.87,5.75,2.75,191,102,156,-2.62,0.0%,0.0%,9.5%,-9.5%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,20,L,CL
,Umeno Yugo,68,2,3,4,28,0,0,282,67.2,55,7,77,25,0,1,4,34,28,3.72,3.59,2.96,1.18,115,75,80,0.13,2.5%,27.3%,8.9%,18.4%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,20,R,CL
,Yagi Shogo,1,0,0,0,0,0,0,5,1.0,2,1,1,0,0,0,0,2,2,18.00,14.37,2.80,2.00,24,301,76,3.63,20.0%,20.0%,0.0%,20.0%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,30,R,CL
,Yamada Hiroki,14,5,4,0,0,0,0,268,62.1,70,10,45,16,1,1,1,29,27,3.90,4.83,3.72,1.38,110,101,101,-0.93,3.7%,16.8%,6.0%,10.8%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,30,L,CL
,Yamanaka Hirofumi,4,0,2,0,0,0,0,41,9.2,10,2,5,2,0,1,0,8,8,7.45,5.95,4.07,1.24,58,125,110,1.50,4.9%,12.2%,4.9%,7.3%,🐧,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult</a>,33,R,CL
,Achira Takuma,7,1,3,0,0,0,0,146,34.0,37,11,21,13,2,1,0,22,22,5.82,7.57,4.25,1.47,62,188,115,-1.75,7.5%,14.4%,8.9%,5.5%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,26,R,CL
,Fujishima Kento,32,0,2,0,14,0,0,114,29.0,19,1,35,7,2,2,0,8,8,2.48,2.33,2.34,0.90,146,58,64,0.15,0.9%,30.7%,6.1%,24.6%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,21,R,CL
,Fuku Hiroto,52,2,0,0,18,0,0,216,52.2,39,3,53,16,1,2,0,13,12,2.05,3.12,3.09,1.04,176,78,84,-1.07,1.4%,24.5%,7.4%,17.1%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,27,L,CL
,Fukutani Koji,1,0,0,0,0,0,0,26,6.0,6,1,6,2,0,0,0,1,1,1.50,4.53,3.26,1.33,241,113,88,-3.03,3.8%,23.1%,7.7%,15.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,R,CL
,Ito Junki,1,0,0,0,0,0,0,13,1.1,7,0,1,2,0,0,1,8,8,54.00,6.37,5.57,6.75,7,158,151,47.63,0.0%,7.7%,15.4%,-7.7%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,R,CL
,Kasahara Shotaro,8,3,2,0,0,0,0,158,34.2,39,4,22,17,0,1,0,23,22,5.71,5.16,4.48,1.62,63,128,122,0.55,2.5%,13.9%,10.8%,3.2%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,24,L,CL
,Katsuno Akiyoshi,3,1,2,0,0,0,0,71,16.1,16,2,9,9,0,0,1,11,11,6.06,5.51,4.80,1.53,60,137,130,0.55,2.8%,12.7%,12.7%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,22,R,CL
,Kinoshita Yusuke,5,0,0,0,0,0,0,30,6.1,8,0,6,3,0,0,1,4,4,5.68,2.89,3.80,1.74,64,72,103,2.79,0.0%,20.0%,10.0%,10.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,25,R,CL
,Martinez Raidel,43,1,4,8,14,0,0,171,40.2,34,2,48,14,1,2,1,13,12,2.66,2.83,2.81,1.18,136,70,76,-0.17,1.2%,28.1%,8.2%,19.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,22,R,CL
,Matayoshi Katsuki,26,3,3,0,3,0,0,182,44.1,35,5,37,19,0,1,0,21,20,4.06,4.52,3.81,1.22,89,112,103,-0.46,2.7%,20.3%,10.4%,9.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,R,CL
,Matsuba Takahiro,1,0,0,0,0,0,0,16,2.2,5,0,0,3,0,0,0,3,3,10.13,6.74,6.67,3.00,36,168,181,3.39,0.0%,0.0%,18.8%,-18.8%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,L,CL
,Matsuzaka Daisuke,2,0,1,0,0,0,0,32,5.1,12,0,2,2,0,3,0,10,10,16.88,5.43,4.80,2.63,21,135,130,11.45,0.0%,6.2%,6.2%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,38,R,CL
,Mitsuma Takuya,29,2,2,0,4,0,0,143,34.2,30,6,31,13,0,2,1,13,13,3.38,5.13,3.54,1.24,107,128,96,-1.75,4.2%,21.7%,9.1%,12.6%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,26,R,CL
,Ogasawara Shinnosuke,7,3,1,0,0,0,0,155,38.2,34,5,32,7,0,2,4,12,11,2.56,4.09,3.19,1.06,141,102,86,-1.53,3.2%,20.6%,4.5%,16.1%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,21,L,CL
,Oguma Ryosuke,14,1,2,0,0,0,0,69,15.2,13,1,14,9,1,0,0,8,6,3.45,4.13,4.08,1.40,105,103,110,-0.68,1.4%,20.3%,13.0%,7.2%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,R,CL
,Okada Toshiya,53,3,2,13,7,0,0,207,50.1,44,8,53,14,1,1,0,20,20,3.58,4.22,2.92,1.15,101,105,79,-0.64,3.9%,25.6%,6.8%,18.8%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,27,L,CL
,Ono Yudai,25,9,8,0,0,2,2,696,177.2,132,18,156,43,2,2,2,52,51,2.58,3.69,3.18,0.98,140,92,86,-1.11,2.6%,22.4%,6.2%,16.2%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,30,L,CL
,Rodriguez Joely,64,3,4,1,41,0,0,240,60.1,42,3,77,14,2,3,4,13,11,1.64,2.31,2.17,0.93,220,57,59,-0.67,1.2%,32.1%,5.8%,26.2%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,27,L,CL
,Romero Enny,21,8,10,0,0,0,0,503,116.1,106,19,105,55,1,4,2,57,55,4.26,5.21,3.81,1.38,85,130,103,-0.95,3.8%,20.9%,10.9%,9.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,28,L,CL
,Sato Yu,7,1,0,0,0,0,0,45,9.2,9,0,6,7,0,0,2,7,7,6.52,4.30,5.02,1.66,55,107,136,2.22,0.0%,13.3%,15.6%,-2.2%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,26,R,CL
,Shimizu Tatsuya,8,2,2,0,0,0,0,169,35.1,40,5,24,24,1,2,3,22,17,4.33,6.06,4.80,1.81,83,151,130,-1.73,3.0%,14.2%,14.2%,0.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,19,R,CL
,Sobue Daisuke,44,3,4,1,3,0,0,187,46.1,42,3,27,14,3,1,2,16,16,3.11,4.02,4.10,1.21,116,100,111,-0.91,1.6%,14.4%,7.5%,7.0%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,31,R,CL
,Suzuki Hiroshi,25,0,2,14,1,0,0,117,25.0,29,1,16,15,0,2,0,12,12,4.32,4.65,4.71,1.76,84,116,128,-0.33,0.9%,13.7%,12.8%,0.9%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,22,R,CL
,Tajima Shinji,21,0,1,0,5,0,0,91,21.0,18,5,22,8,0,2,4,16,16,6.86,5.80,3.26,1.24,53,144,88,1.06,5.5%,24.2%,8.8%,15.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,29,R,CL
,Tanimoto Keisuke,38,0,1,0,13,0,0,143,29.1,31,2,24,21,2,5,3,17,17,5.22,5.28,4.59,1.77,69,131,124,-0.06,1.4%,16.8%,14.7%,2.1%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,34,R,CL
,Umetsu Kodai,6,4,1,0,0,0,0,140,34.2,28,3,34,11,1,3,2,9,9,2.34,3.74,3.16,1.13,154,93,86,-1.40,2.1%,24.3%,7.9%,16.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,22,R,CL
,Yamai Daisuke,13,3,5,0,0,0,0,279,65.0,66,13,37,24,0,3,2,35,35,4.85,6.08,4.33,1.38,74,151,118,-1.23,4.7%,13.3%,8.6%,4.7%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,41,R,CL
,Yamamoto Takumi,9,3,3,0,0,0,0,194,45.1,39,4,27,24,0,1,3,15,15,2.98,4.98,4.65,1.39,121,124,126,-2.00,2.1%,13.9%,12.4%,1.5%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,19,R,CL
,Yanagi Yuya,26,11,7,0,0,1,0,703,170.2,165,21,146,38,2,3,3,69,67,3.53,3.98,3.26,1.19,102,99,88,-0.45,3.0%,20.8%,5.4%,15.4%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,25,R,CL
,Yoshimi Kazuki,5,1,1,0,0,0,0,96,19.2,30,0,17,4,0,2,1,14,14,6.41,2.55,3.45,1.73,56,64,93,3.86,0.0%,17.7%,4.2%,13.5%,🐉,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi</a>,34,R,CL
,Albers Andrew,13,2,6,0,0,0,0,278,63.1,84,12,45,10,0,2,1,44,41,5.83,4.98,3.54,1.48,66,116,96,0.85,4.3%,16.2%,3.6%,12.6%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,33,L,PL
,Aranishi Yudai,13,1,4,0,0,0,0,221,51.2,55,6,42,18,0,2,1,32,32,5.57,4.41,3.71,1.41,69,103,101,1.16,2.7%,19.0%,8.1%,10.9%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,PL
,Cho Yaku,8,2,4,0,0,0,0,126,27.1,36,7,17,9,0,1,1,20,18,5.93,6.55,4.17,1.65,65,152,113,-0.62,5.6%,13.5%,7.1%,6.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,25,R,PL
,Dickson Brandon,37,2,1,18,5,0,0,150,35.2,29,1,38,18,3,0,2,12,12,3.03,3.12,3.47,1.32,128,72,94,-0.09,0.7%,25.3%,12.0%,13.3%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,34,R,PL
,Eppler Tyler,24,4,4,0,3,0,0,137,31.1,41,2,25,9,1,0,2,16,14,4.02,3.46,3.63,1.60,96,81,98,0.56,1.5%,18.2%,6.6%,11.7%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,26,R,PL
,Hidarisawa Yu,4,0,0,0,0,0,0,13,3.0,1,0,3,3,0,0,0,0,0,0.00,4.37,4.80,1.33,999,102,130,-4.37,0.0%,23.1%,23.1%,0.0%,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,24,L,PL
