#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,GB%,Chase%,Con%,SwStr%,CSW%,FB Velo,Team,Age,T,League
,Murakami Shoki,1,0,1,0,0,0,0,23,6.0,5,2,7,2,0,0,0,3,3,4.50,6.05,2.63,1.17,72,188,78,-1.55,8.7%,30.4%,8.7%,21.7%,42.9%,40.4%,73.5%,12.9%,30.7%,91.5,Hanshin Tigers,28,R,CL
,Takahashi Haruto,1,1,0,0,0,1,1,32,9.0,3,0,6,2,0,0,0,0,0,0.00,2.39,3.55,0.56,999,74,106,-2.39,0.0%,18.8%,6.2%,12.5%,54.2%,30.8%,75.4%,12.5%,29.5%,91.9,Hanshin Tigers,30,L,CL
,Kuribayashi Ryoji,1,1,0,0,0,1,1,28,9.0,1,0,9,0,0,0,0,0,0,0.00,1.05,1.59,0.11,999,30,47,-1.05,0.0%,32.1%,0.0%,32.1%,31.6%,43.2%,74.5%,12.6%,36.8%,90.1,Hiroshima Carp,29,R,CL
,Tarnok Freddy,1,0,0,0,0,0,0,25,7.0,5,0,7,0,0,0,0,0,0,0.00,1.05,2.00,0.71,999,30,60,-1.05,0.0%,28.0%,0.0%,28.0%,72.2%,29.4%,82.6%,8.5%,34.0%,93.1,Hiroshima Carp,27,R,CL
,Tokoda Hiroki,1,0,0,0,0,0,0,24,5.0,9,0,5,0,0,0,0,2,2,3.60,1.05,2.72,1.80,96,30,81,2.55,0.0%,20.8%,0.0%,20.8%,31.6%,44.4%,82.7%,9.3%,24.7%,90.1,Hiroshima Carp,31,L,CL
,Azuma Katsuki,1,0,1,0,0,0,0,26,6.0,4,2,7,4,0,0,0,3,3,4.50,7.05,3.65,1.33,77,205,109,-2.55,7.7%,26.9%,15.4%,11.5%,53.3%,22.9%,75.0%,10.0%,33.0%,88.2,DeNA BayStars,30,L,CL
,Irie Taisei,1,0,1,0,0,0,0,20,4.0,5,0,6,3,0,0,0,4,4,9.00,2.30,3.30,2.00,38,67,98,6.70,0.0%,30.0%,15.0%,15.0%,18.2%,25.0%,72.2%,11.8%,29.4%,92.8,DeNA BayStars,27,R,CL
,Ishida Yutaro,1,0,1,0,0,0,0,29,7.0,7,0,9,1,0,0,0,4,4,5.14,0.91,2.04,1.14,67,26,61,4.23,0.0%,31.0%,3.4%,27.6%,57.9%,23.9%,68.2%,13.6%,36.9%,91.0,DeNA BayStars,24,R,CL
,Howard Spencer,1,0,1,0,0,0,0,25,6.0,4,0,7,4,0,0,0,1,0,0.00,2.72,3.60,1.33,999,83,107,-2.72,0.0%,28.0%,16.0%,12.0%,35.7%,10.9%,69.2%,12.4%,27.8%,91.7,Yomiuri Giants,29,R,CL
,Takemaru Kazuyuki,1,1,0,0,0,0,0,22,6.0,3,0,5,2,0,0,0,1,1,1.50,2.39,3.44,0.83,219,73,102,-0.89,0.0%,22.7%,9.1%,13.6%,53.3%,35.6%,64.7%,15.2%,34.2%,91.0,Yomiuri Giants,24,L,CL
,Takanashi Hirotoshi,1,0,0,0,0,0,0,25,6.0,5,1,6,2,0,0,0,1,1,1.50,4.22,3.20,1.17,241,117,95,-2.72,4.0%,24.0%,8.0%,16.0%,35.3%,41.5%,79.1%,9.4%,32.3%,91.1,Yakult Swallows,35,R,CL
,Yamano Taichi,1,1,0,0,0,0,0,29,7.0,8,0,4,1,0,0,0,2,2,2.57,2.34,3.77,1.29,141,65,112,0.23,0.0%,13.8%,3.4%,10.3%,50.0%,26.1%,79.1%,8.9%,32.7%,91.1,Yakult Swallows,27,L,CL
,Yoshimura Kojiro,1,1,0,0,0,0,0,21,5.1,5,1,7,0,0,0,0,2,2,3.38,2.87,1.47,0.94,107,79,44,0.51,4.8%,33.3%,0.0%,33.3%,28.6%,17.9%,76.7%,10.8%,30.1%,92.5,Yakult Swallows,28,R,CL
,Sakurai Yorinosuke,1,0,0,0,0,0,0,27,7.0,3,0,9,2,0,0,0,1,0,0.00,1.34,2.21,0.71,999,43,66,-1.34,0.0%,33.3%,7.4%,25.9%,31.2%,36.8%,70.2%,13.9%,30.7%,91.1,Chunichi Dragons,22,R,CL
,Takahashi Hiroto,1,0,1,0,0,1,0,31,8.0,6,0,9,1,1,0,0,1,0,0.00,1.18,2.22,0.88,999,38,66,-1.18,0.0%,29.0%,3.2%,25.8%,76.2%,50.0%,64.8%,18.4%,33.0%,94.1,Chunichi Dragons,23,R,CL
,Yanagi Yuya,1,0,0,0,0,0,0,25,6.0,6,0,5,1,0,0,0,1,1,1.50,1.89,3.20,1.17,210,60,95,-0.39,0.0%,20.0%,4.0%,16.0%,42.1%,34.1%,73.2%,12.1%,35.2%,88.2,Chunichi Dragons,32,R,CL
,Kuri Allen,1,1,0,0,0,1,1,31,9.0,4,0,12,0,0,1,0,0,0,0.00,0.72,0.93,0.44,999,22,28,-0.72,0.0%,38.7%,0.0%,38.7%,33.3%,25.0%,68.4%,13.6%,31.8%,88.8,ORIX Buffaloes,34,R,PL
,Teranishi Naruki,1,0,0,0,0,0,0,23,6.0,6,0,4,0,0,0,0,2,2,3.00,1.72,3.06,1.00,110,52,91,1.28,0.0%,17.4%,0.0%,17.4%,52.6%,22.0%,68.4%,14.3%,29.8%,93.2,ORIX Buffaloes,23,R,PL
,Mouri Kaito,1,1,0,0,0,0,0,19,5.0,4,0,2,1,0,0,0,0,0,0.00,2.85,4.27,1.00,999,83,127,-2.85,0.0%,10.5%,5.3%,5.3%,43.8%,28.6%,86.5%,7.1%,24.3%,89.2,Lotte Marines,22,L,PL
,Ojima Kazuya,1,0,1,0,0,0,0,19,4.0,3,0,3,3,0,1,1,1,1,2.25,4.55,4.80,1.50,153,133,143,-2.30,0.0%,15.8%,15.8%,0.0%,33.3%,28.6%,75.0%,10.2%,25.4%,89.5,Lotte Marines,29,L,PL
,Tanaka Haruya,1,1,0,0,0,0,0,25,6.0,5,0,5,0,0,1,0,0,0,0.00,1.89,2.80,0.83,999,55,83,-1.89,0.0%,20.0%,0.0%,20.0%,52.6%,31.2%,80.4%,9.2%,28.6%,92.9,Lotte Marines,22,R,PL
,Kamichatani Taiga,1,0,0,0,1,0,0,11,3.0,2,1,4,0,0,0,0,1,1,3.00,4.72,1.16,0.67,114,138,35,-1.72,9.1%,36.4%,0.0%,36.4%,28.6%,47.6%,63.6%,18.2%,43.2%,92.2,SoftBank Hawks,29,R,PL
,Matsumoto Haru,1,1,0,0,0,0,0,26,6.0,6,2,8,1,0,2,0,2,2,3.00,6.22,2.11,1.17,114,182,63,-3.22,7.7%,30.8%,3.8%,26.9%,53.3%,33.3%,72.3%,14.3%,33.0%,90.3,SoftBank Hawks,25,L,PL
,Stewart Jr. Carter,1,1,0,0,0,0,0,23,5.0,5,2,6,2,0,1,1,3,3,5.40,7.65,3.06,1.40,64,223,91,-2.25,8.7%,26.1%,8.7%,17.4%,21.4%,29.5%,62.2%,18.5%,35.9%,94.2,SoftBank Hawks,26,R,PL
,Uwasawa Naoyuki,1,0,0,0,0,0,0,23,5.0,6,2,5,0,0,1,0,4,2,3.60,6.85,2.63,1.20,95,200,78,-3.25,8.7%,21.7%,0.0%,21.7%,52.9%,42.0%,72.5%,15.6%,26.7%,93.1,SoftBank Hawks,32,R,PL
,Fujiwara Sota,1,0,1,0,0,0,0,16,3.0,8,0,1,1,0,1,0,4,3,9.00,4.39,4.80,3.00,35,138,143,4.61,0.0%,6.2%,6.2%,0.0%,53.8%,13.6%,88.2%,4.3%,28.3%,93.1,Rakuten Eagles,22,R,PL
,Shoji Kosei,1,1,0,0,0,0,0,28,8.0,4,0,9,0,0,0,0,0,0,0.00,0.80,1.59,0.50,999,25,47,-0.80,0.0%,32.1%,0.0%,32.1%,42.1%,46.3%,67.2%,18.1%,35.2%,93.9,Rakuten Eagles,25,R,PL
,Takinaka Ryota,1,0,1,0,0,0,0,20,3.2,4,1,4,4,0,1,0,2,2,4.91,8.51,4.80,2.18,65,268,143,-3.60,5.0%,20.0%,20.0%,0.0%,9.1%,20.8%,67.9%,10.5%,33.7%,89.9,Rakuten Eagles,31,R,PL
,Taira Kaima,1,1,0,0,0,1,1,35,9.0,5,0,5,2,0,1,0,0,0,0.00,2.94,3.94,0.78,999,88,117,-2.94,0.0%,14.3%,5.7%,8.6%,44.4%,32.8%,80.7%,9.2%,28.6%,95.0,Seibu Lions,26,R,PL
,Takeuchi Natsuki,1,0,1,0,0,0,0,22,5.0,7,0,2,0,0,0,0,4,4,7.20,2.25,3.89,1.40,46,67,116,4.95,0.0%,9.1%,0.0%,9.1%,35.0%,25.6%,73.7%,11.4%,29.5%,91.3,Seibu Lions,24,L,PL
,Watanabe Yutaro,1,0,1,0,0,0,0,28,7.0,6,0,6,2,0,0,0,2,2,2.57,2.20,3.37,1.14,130,66,100,0.37,0.0%,21.4%,7.1%,14.3%,60.0%,27.7%,82.5%,8.9%,27.7%,92.1,Seibu Lions,25,R,PL
