Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
Kikuchi Harun,6,0,0,0,0,0,24,6.0,5,0,3,3,0,0,0,2,1,1.50,4.12,4.80,1.33,197,108,127,-2.62,0.0%,12.5%,12.5%,0.0%,Hiroshima Carp,19,R,W
Matsumoto Ryuya,4,0,0,0,0,0,13,4.0,1,0,2,1,0,0,0,0,0,0.00,3.37,4.03,0.50,999,89,107,-3.37,0.0%,15.4%,7.7%,7.7%,Hiroshima Carp,26,R,W
Mori Shohei,1,0,1,0,0,0,18,4.0,5,1,2,1,0,0,0,4,3,6.75,6.62,4.24,1.50,44,174,113,0.13,5.6%,11.1%,5.6%,5.6%,Hiroshima Carp,28,L,W
Morishita Masato,1,0,0,0,0,0,12,3.0,3,1,3,0,0,0,0,1,1,3.00,5.95,2.30,1.00,98,157,61,-2.95,8.3%,25.0%,0.0%,25.0%,Hiroshima Carp,28,R,W
Ohsera Daichi,1,0,0,0,0,0,17,4.0,5,0,5,0,0,0,0,2,2,4.50,1.12,1.86,1.25,66,29,49,3.38,0.0%,29.4%,0.0%,29.4%,Hiroshima Carp,35,R,W
Okamoto Shun,1,0,0,0,0,0,11,3.0,1,0,2,0,0,1,0,0,0,0.00,3.29,2.98,0.33,999,86,79,-3.29,0.0%,18.2%,0.0%,18.2%,Hiroshima Carp,24,R,W
Saitoh Yuta,1,0,0,0,0,0,3,1.0,0,0,0,0,0,0,0,0,0,0.00,3.62,4.80,0.00,999,95,127,-3.62,0.0%,0.0%,0.0%,0.0%,Hiroshima Carp,22,R,W
Sato Ryunosuke,2,0,1,0,0,0,45,10.0,11,0,11,4,0,0,0,3,3,2.70,2.62,3.24,1.50,109,69,86,0.08,0.0%,24.4%,8.9%,15.6%,Hiroshima Carp,23,L,W
Sugihara Mirai,2,0,0,0,0,0,6,2.0,0,0,0,1,0,0,0,0,0,0.00,5.12,6.47,0.50,999,135,172,-5.12,0.0%,0.0%,16.7%,-16.7%,Hiroshima Carp,20,L,W
Sugita Takeru,3,0,0,0,0,0,16,5.0,1,0,3,0,0,0,0,0,0,0.00,2.42,2.92,0.20,999,64,78,-2.42,0.0%,18.8%,0.0%,18.8%,Hiroshima Carp,24,R,W
Taka Taichi,2,0,1,0,0,0,41,9.0,10,0,6,2,0,1,1,6,4,4.00,3.29,3.82,1.33,74,86,101,0.71,0.0%,14.6%,4.9%,9.8%,Hiroshima Carp,24,L,W
Takahashi Kouya,5,0,0,1,0,0,20,5.0,2,0,4,3,0,0,0,1,1,1.80,3.82,4.30,1.00,164,101,114,-2.02,0.0%,20.0%,15.0%,5.0%,Hiroshima Carp,27,L,W
Takeshita Kaito,2,0,1,0,0,0,11,1.0,5,0,0,1,0,0,0,4,0,0.00,6.62,5.71,6.00,999,174,151,-6.62,0.0%,0.0%,9.1%,-9.1%,Hiroshima Carp,19,L,W
Tamamura Shogo,2,2,0,0,1,0,43,12.0,9,0,6,2,0,0,0,2,2,1.50,3.12,3.87,0.92,197,82,103,-1.62,0.0%,14.0%,4.7%,9.3%,Hiroshima Carp,25,L,W
Tsunehiro Hayato,1,0,0,0,0,0,4,1.0,0,0,0,1,0,0,0,0,0,0.00,6.62,7.30,1.00,999,174,194,-6.62,0.0%,0.0%,25.0%,-25.0%,Hiroshima Carp,24,R,W
Baba Kosuke,1,0,0,0,0,0,6,1.0,3,0,1,1,0,0,0,1,1,9.00,4.62,4.80,4.00,34,118,127,4.38,0.0%,16.7%,16.7%,0.0%,DeNA BayStars,31,R,C
Duplantier Jon,1,1,0,0,0,0,19,5.0,1,0,2,2,0,1,0,0,0,0.00,4.62,4.80,0.60,999,118,127,-4.62,0.0%,10.5%,10.5%,0.0%,DeNA BayStars,31,R,C
Fujinami Shintaro,1,0,1,0,0,0,15,3.0,2,0,6,3,0,1,0,2,1,3.00,3.62,2.80,1.67,101,92,74,-0.62,0.0%,40.0%,20.0%,20.0%,DeNA BayStars,32,R,C
Fukazawa Osuke,1,0,0,0,0,0,18,5.0,2,0,5,1,0,0,0,1,0,0.00,2.22,2.58,0.60,999,57,68,-2.22,0.0%,27.8%,5.6%,22.2%,DeNA BayStars,22,R,C
Hamachi Masumi,3,2,0,0,0,0,11,3.0,1,0,3,0,0,0,0,1,0,0.00,1.62,2.07,0.33,999,41,55,-1.62,0.0%,27.3%,0.0%,27.3%,DeNA BayStars,28,R,C
Horioka Hayato,4,1,0,1,0,0,14,4.0,1,0,1,1,0,0,0,1,0,0.00,3.87,4.80,0.50,999,99,127,-3.87,0.0%,7.1%,7.1%,0.0%,DeNA BayStars,27,R,C
Irie Taisei,1,0,0,0,0,0,20,5.0,5,0,7,1,0,0,0,1,1,1.80,1.42,1.80,1.20,169,36,48,0.38,0.0%,35.0%,5.0%,30.0%,DeNA BayStars,27,R,C
Ishida Kenta,3,0,0,0,0,0,22,6.0,4,0,4,0,0,0,0,0,0,0.00,2.29,2.98,0.67,999,58,79,-2.29,0.0%,18.2%,0.0%,18.2%,DeNA BayStars,33,L,C
Ishida Yutaro,1,1,0,0,0,0,20,6.0,1,0,5,0,0,0,0,0,0,0.00,1.95,2.30,0.17,999,50,61,-1.95,0.0%,25.0%,0.0%,25.0%,DeNA BayStars,24,R,C
Iwata Masaki,4,0,0,0,0,0,6,2.2,1,0,2,0,0,0,0,0,0,0.00,2.12,1.47,0.38,999,54,39,-2.12,0.0%,33.3%,0.0%,33.3%,DeNA BayStars,28,L,C
Kanabuchi Koki,2,0,0,0,0,0,25,6.0,6,0,5,1,0,0,0,1,0,0.00,2.45,3.20,1.17,999,63,85,-2.45,0.0%,20.0%,4.0%,16.0%,DeNA BayStars,19,L,C
Katayama Hiromi,2,1,0,0,0,0,28,8.0,3,1,6,1,0,0,0,1,1,1.13,4.12,3.01,0.50,269,105,80,-2.99,3.6%,21.4%,3.6%,17.9%,DeNA BayStars,27,L,C
Matsumoto Ryoto,4,0,0,0,0,0,16,4.0,4,0,4,1,0,0,0,0,0,0.00,2.37,2.92,1.25,999,61,78,-2.37,0.0%,25.0%,6.2%,18.8%,DeNA BayStars,24,R,C
Matsumoto Ryunosuke,1,0,0,0,0,0,15,4.0,1,0,2,2,0,1,0,0,0,0.00,4.87,4.80,0.75,999,124,127,-4.87,0.0%,13.3%,13.3%,0.0%,DeNA BayStars,23,L,C
Nakagawa Koh,1,0,0,0,0,0,9,1.0,2,0,0,4,0,0,0,3,3,27.00,15.62,9.24,6.00,11,399,245,11.38,0.0%,0.0%,44.4%,-44.4%,DeNA BayStars,26,R,C
Sakamoto Yuya,1,0,0,0,0,0,7,1.0,3,0,3,1,0,0,0,1,1,9.00,0.62,1.94,4.00,34,16,52,8.38,0.0%,42.9%,14.3%,28.6%,DeNA BayStars,28,L,C
Sasaki Chihaya,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,41,39,-1.62,0.0%,33.3%,0.0%,33.3%,DeNA BayStars,32,R,C
Shimada Shunya,2,0,0,0,0,0,21,5.2,2,0,3,3,0,0,1,0,0,0.00,4.15,4.80,0.88,999,106,127,-4.15,0.0%,14.3%,14.3%,0.0%,DeNA BayStars,23,R,C
Shimizu Manato,2,0,0,0,0,0,6,2.0,0,0,2,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,41,39,-1.62,0.0%,33.3%,0.0%,33.3%,DeNA BayStars,20,R,C
Shinogi Kentaro,2,0,0,1,0,0,16,4.0,1,0,3,3,0,1,0,2,2,4.50,5.12,4.80,1.00,68,131,127,-0.62,0.0%,18.8%,18.8%,0.0%,DeNA BayStars,24,R,C
Shoji Haruto,3,1,0,0,0,0,15,4.0,3,0,2,1,0,0,1,0,0,0.00,3.37,4.13,1.00,999,86,110,-3.37,0.0%,13.3%,6.7%,6.7%,DeNA BayStars,25,L,C
Taira Kentaro,1,1,0,0,0,0,20,5.0,5,0,5,0,0,0,0,0,0,0.00,1.62,2.30,1.00,999,41,61,-1.62,0.0%,25.0%,0.0%,25.0%,DeNA BayStars,30,R,C
Takeda Riku,2,0,1,1,0,0,19,4.0,5,0,6,2,0,0,0,3,3,6.75,2.12,2.69,1.75,45,54,71,4.63,0.0%,31.6%,10.5%,21.1%,DeNA BayStars,21,L,C
Takeda Yu,1,0,0,0,0,0,20,4.2,4,0,4,1,0,0,0,3,1,1.93,2.55,3.30,1.07,158,65,88,-0.62,0.0%,20.0%,5.0%,15.0%,DeNA BayStars,26,R,C
Wakamatsu Naoki,5,1,0,0,0,0,19,5.0,1,0,3,2,0,0,0,0,0,0.00,3.62,4.27,0.60,999,92,113,-3.62,0.0%,15.8%,10.5%,5.3%,DeNA BayStars,26,R,C
Akahoshi Yuji,1,0,0,1,0,0,19,4.0,3,1,5,2,0,1,0,4,3,6.75,6.62,3.22,1.25,44,174,85,0.13,5.3%,26.3%,10.5%,15.8%,Yomiuri Giants,26,R,C
Bandoh Yugo,1,0,0,0,0,0,4,1.0,1,1,0,0,0,0,0,1,1,9.00,16.62,4.80,1.00,33,437,127,-7.62,25.0%,0.0%,0.0%,0.0%,Yomiuri Giants,30,R,C
Heinai Ryuta,3,0,0,0,0,0,13,3.0,2,0,2,2,0,0,0,0,0,0.00,4.29,4.80,1.33,999,113,127,-4.29,0.0%,15.4%,15.4%,0.0%,Yomiuri Giants,27,R,C
Horie Shotaro,1,0,0,0,0,0,4,1.0,0,0,1,1,0,0,0,0,0,0.00,4.62,4.80,1.00,999,122,127,-4.62,0.0%,25.0%,25.0%,0.0%,Yomiuri Giants,19,R,C
Hotta Kenshin,3,0,0,0,0,0,16,4.0,1,0,5,4,0,0,0,0,0,0.00,4.12,4.17,1.25,999,108,111,-4.12,0.0%,31.2%,25.0%,6.2%,Yomiuri Giants,25,R,C
Inoue Haruto,3,2,0,0,0,0,68,17.0,14,1,26,4,0,0,0,2,1,0.53,2.03,1.56,1.06,557,53,42,-1.50,1.5%,38.2%,5.9%,32.4%,Yomiuri Giants,25,L,C
Kohno Yusaku,4,0,0,0,0,0,15,5.0,4,0,1,1,0,0,0,1,1,1.80,3.82,4.80,1.00,164,101,127,-2.02,0.0%,6.7%,6.7%,0.0%,Yomiuri Giants,22,L,C
Mataki Teppei,2,2,0,0,0,0,45,12.0,10,1,10,2,0,0,1,3,3,2.25,3.54,3.02,1.00,131,93,80,-1.29,2.2%,22.2%,4.4%,17.8%,Yomiuri Giants,27,L,C
Matsuura Keito,4,0,1,0,0,0,22,5.0,7,0,6,1,0,0,0,3,3,5.40,1.82,2.53,1.60,55,48,67,3.58,0.0%,27.3%,4.5%,22.7%,Yomiuri Giants,22,L,C
Miyahara Shunsuke,5,0,0,0,0,0,24,5.1,5,0,8,2,0,0,1,4,3,5.06,1.75,2.30,1.31,58,46,61,3.31,0.0%,33.3%,8.3%,25.0%,Yomiuri Giants,23,L,C
Morita Shunya,2,1,1,0,0,0,34,9.0,4,0,4,3,0,0,1,4,1,1.00,3.73,4.51,0.78,295,98,120,-2.73,0.0%,11.8%,8.8%,2.9%,Yomiuri Giants,29,L,C
Ota Taisei,1,0,0,0,0,0,4,1.0,0,0,2,0,0,0,0,0,0,0.00,-0.38,-0.20,0.00,999,-10,-5,0.38,0.0%,50.0%,0.0%,50.0%,Yomiuri Giants,27,R,C
Shiroki Yamato,2,0,1,0,0,0,19,5.0,4,0,3,0,0,0,0,1,1,1.80,2.42,3.22,0.80,164,64,85,-0.62,0.0%,15.8%,0.0%,15.8%,Yomiuri Giants,22,L,C
Sonoda Atsuki,2,0,1,0,0,0,35,8.0,11,1,4,3,1,0,0,3,3,3.38,5.37,4.51,1.75,87,141,120,-1.99,2.9%,11.4%,8.6%,2.9%,Yomiuri Giants,20,R,C
Tamura Tomoki,1,0,0,0,0,0,6,1.0,2,0,0,1,0,0,1,1,1,9.00,6.62,6.47,3.00,33,174,172,2.38,0.0%,0.0%,16.7%,-16.7%,Yomiuri Giants,22,R,C
Tanaka Masahiro,1,0,1,0,0,0,17,3.0,5,0,1,3,0,0,0,2,2,6.00,5.95,5.98,2.67,49,157,159,0.05,0.0%,5.9%,17.6%,-11.8%,Yomiuri Giants,37,R,C
Tawa Ren,4,0,0,0,0,0,15,4.0,2,0,2,1,0,1,0,0,0,0.00,4.12,4.13,0.75,999,108,110,-4.12,0.0%,13.3%,6.7%,6.7%,Yomiuri Giants,23,R,C
Togo Shosei,1,0,0,0,0,0,25,6.0,6,1,8,2,0,0,0,3,3,4.50,4.12,2.40,1.33,66,108,64,0.38,4.0%,32.0%,8.0%,24.0%,Yomiuri Giants,26,R,C
Tomishige Eijiro,4,1,1,0,0,0,14,3.2,1,0,2,2,0,0,0,2,0,0.00,4.17,4.80,0.82,999,110,127,-4.17,0.0%,14.3%,14.3%,0.0%,Yomiuri Giants,25,L,C
Whitley Forrest,1,0,0,0,0,0,16,4.0,4,0,4,1,0,0,0,0,0,0.00,2.37,2.92,1.25,999,62,78,-2.37,0.0%,25.0%,6.2%,18.8%,Yomiuri Giants,28,R,C
Yamada Ryusei,2,0,1,0,0,0,38,8.0,9,1,3,6,0,0,2,7,7,7.88,6.75,5.59,1.88,37,177,148,1.13,2.6%,7.9%,15.8%,-7.9%,Yomiuri Giants,25,L,C
Yamashiro Kyohei,1,0,0,0,0,0,24,5.0,3,0,3,5,0,2,1,0,0,0.00,6.62,5.63,1.60,999,174,149,-6.62,0.0%,12.5%,20.8%,-8.3%,Yomiuri Giants,22,L,C
Hasegawa Hiroki,3,0,0,0,0,0,17,3.0,4,1,3,3,0,1,1,3,3,9.00,9.95,4.80,2.33,33,262,127,-0.95,5.9%,17.6%,17.6%,0.0%,Yakult Swallows,27,L,E
Iida Ryuto,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,43,39,-1.62,0.0%,33.3%,0.0%,33.3%,Yakult Swallows,27,R,E
Ishihara Yuki,2,1,0,0,0,0,23,5.0,5,0,9,3,0,0,0,3,3,5.40,1.82,2.19,1.60,55,48,58,3.58,0.0%,39.1%,13.0%,26.1%,Yakult Swallows,24,L,E
Ishiyama Taichi,5,0,1,0,0,0,19,5.0,4,1,5,1,0,0,0,4,4,7.20,4.82,2.69,1.00,41,127,71,2.38,5.3%,26.3%,5.3%,21.1%,Yakult Swallows,37,R,E
Kozawa Reiji,2,0,1,0,0,0,19,4.1,4,0,5,3,0,0,0,4,4,8.31,3.39,3.75,1.62,36,89,99,4.92,0.0%,26.3%,15.8%,10.5%,Yakult Swallows,28,R,E
Maruyama Shota,4,0,0,1,0,0,14,4.0,0,0,5,1,0,0,0,0,0,0.00,1.87,1.94,0.25,999,49,52,-1.87,0.0%,35.7%,7.1%,28.6%,Yakult Swallows,27,R,E
Masui Shohta,2,0,0,0,0,0,41,10.0,8,0,5,3,0,0,0,2,2,1.80,3.52,4.31,1.10,164,93,114,-1.72,0.0%,12.2%,7.3%,4.9%,Yakult Swallows,26,L,E
Matsumoto Kengo,1,0,0,0,0,0,20,4.0,7,0,3,1,0,0,0,2,2,4.50,2.87,3.80,2.00,66,76,101,1.63,0.0%,15.0%,5.0%,10.0%,Yakult Swallows,27,R,E
Nishidate Kota,1,0,0,0,0,0,4,1.0,1,1,1,0,0,0,0,1,1,9.00,14.62,2.30,1.00,33,385,61,-5.62,25.0%,25.0%,0.0%,25.0%,Yakult Swallows,25,R,E
Nishihama Yuusei,2,0,0,0,0,0,8,2.0,0,0,1,1,0,1,0,0,0,0.00,5.62,4.80,0.50,999,148,127,-5.62,0.0%,12.5%,12.5%,0.0%,Yakult Swallows,23,R,E
Numata Shohei,2,0,0,0,0,0,10,1.0,5,0,0,0,0,0,1,4,3,27.00,3.62,4.80,5.00,11,95,127,23.38,0.0%,0.0%,0.0%,0.0%,Yakult Swallows,26,R,E
Ogawa Yasuhiro,1,0,1,0,0,0,22,5.0,7,1,3,1,0,0,0,2,2,3.60,5.62,3.89,1.60,82,148,103,-2.02,4.5%,13.6%,4.5%,9.1%,Yakult Swallows,36,R,E
Ohmichi Haruki,2,0,0,1,0,0,8,2.0,1,1,3,0,0,0,0,1,1,4.50,7.12,1.05,0.50,66,187,28,-2.62,12.5%,37.5%,0.0%,37.5%,Yakult Swallows,27,R,E
Okugawa Yasunobu,1,0,0,0,0,0,23,6.0,4,1,4,1,0,0,0,2,2,3.00,4.95,3.50,0.83,98,130,93,-1.95,4.3%,17.4%,4.3%,13.0%,Yakult Swallows,25,R,E
Sakaguchi Kousuke,3,1,1,0,0,0,15,3.0,4,1,1,1,0,1,0,2,1,3.00,9.29,4.80,1.67,98,244,127,-6.29,6.7%,6.7%,6.7%,0.0%,Yakult Swallows,26,R,E
Sakamoto Takumi,1,0,0,0,0,0,8,2.0,0,0,2,2,0,0,1,0,0,0.00,4.62,4.80,1.00,999,122,127,-4.62,0.0%,25.0%,25.0%,0.0%,Yakult Swallows,21,L,E
Satoh Takuma,3,1,0,0,0,0,13,3.1,2,0,2,2,0,0,0,0,0,0.00,4.22,4.80,1.20,999,111,127,-4.22,0.0%,15.4%,15.4%,0.0%,Yakult Swallows,26,L,E
Shimokawa Shunsuke,3,1,1,0,0,0,51,12.2,9,1,9,5,0,1,0,3,3,2.13,4.65,4.02,1.11,139,122,107,-2.52,2.0%,17.6%,9.8%,7.8%,Yakult Swallows,26,R,E
Taguchi Kazuto,1,0,0,0,0,0,4,1.0,1,0,2,0,0,0,0,0,0,0.00,-0.38,-0.20,1.00,999,-10,-5,0.38,0.0%,50.0%,0.0%,50.0%,Yakult Swallows,30,L,E
Takahashi Keiji,2,0,0,0,0,0,19,5.0,3,0,5,1,0,0,0,0,0,0.00,2.22,2.69,0.80,999,58,71,-2.22,0.0%,26.3%,5.3%,21.1%,Yakult Swallows,29,L,E
Takanashi Hirotoshi,1,0,0,0,0,0,20,6.0,2,0,9,0,0,0,0,1,0,0.00,0.62,0.30,0.33,999,16,8,-0.62,0.0%,45.0%,0.0%,45.0%,Yakult Swallows,35,R,E
Takeyama Hyuga,3,0,0,0,0,0,14,3.0,4,0,1,2,0,0,0,1,1,3.00,4.95,5.51,2.00,98,130,146,-1.95,0.0%,7.1%,14.3%,-7.1%,Yakult Swallows,22,R,E
Walters Nash,2,0,1,0,0,0,20,5.0,6,1,3,1,0,0,1,2,2,3.60,5.62,3.80,1.40,82,148,101,-2.02,5.0%,15.0%,5.0%,10.0%,Yakult Swallows,29,R,E
Yasaki Takuya,2,0,0,0,0,0,8,2.0,1,0,0,2,0,0,0,0,0,0.00,6.62,7.30,1.50,999,174,194,-6.62,0.0%,0.0%,25.0%,-25.0%,Yakult Swallows,31,R,E
Arima Keito,1,0,1,0,0,0,9,2.0,2,0,1,1,0,0,0,2,2,9.00,4.12,4.80,1.50,35,101,127,4.88,0.0%,11.1%,11.1%,0.0%,Chunichi Dragons,19,R,C
Fujishima Kento,1,0,0,0,0,0,3,1.0,0,0,1,0,0,0,0,0,0,0.00,1.62,1.47,0.00,999,40,39,-1.62,0.0%,33.3%,0.0%,33.3%,Chunichi Dragons,28,R,C
Fuku Hiroto,4,0,0,2,0,0,13,4.0,1,0,2,0,0,0,0,0,0,0.00,2.62,3.26,0.25,999,64,87,-2.62,0.0%,15.4%,0.0%,15.4%,Chunichi Dragons,34,L,C
Fukuda Konosuke,2,0,0,1,0,0,17,4.1,3,0,2,2,0,0,1,0,0,0.00,4.08,4.80,1.15,999,100,127,-4.08,0.0%,11.8%,11.8%,0.0%,Chunichi Dragons,20,L,C
Habu Shohta,3,0,0,0,0,0,13,3.0,2,0,0,2,0,1,0,0,0,0.00,6.62,6.34,1.33,999,162,168,-6.62,0.0%,0.0%,15.4%,-15.4%,Chunichi Dragons,25,R,C
Hashimoto Yuki,2,0,0,0,0,0,8,2.0,2,0,2,0,0,0,0,0,0,0.00,1.62,2.30,1.00,999,40,61,-1.62,0.0%,25.0%,0.0%,25.0%,Chunichi Dragons,28,L,C
Inoue Kenya,4,0,0,0,0,0,15,4.0,1,0,4,3,0,0,0,0,0,0.00,3.87,4.13,1.00,999,95,110,-3.87,0.0%,26.7%,20.0%,6.7%,Chunichi Dragons,19,R,C
Itoh Mao,3,0,0,0,0,0,15,3.0,4,1,1,2,0,0,0,3,3,9.00,9.29,5.47,2.00,35,228,145,-0.29,6.7%,6.7%,13.3%,-6.7%,Chunichi Dragons,25,R,C
Kanemaru Yumeto,1,0,1,0,0,0,21,5.0,5,0,5,2,0,0,1,1,1,1.80,2.82,3.37,1.40,176,69,89,-1.02,0.0%,23.8%,9.5%,14.3%,Chunichi Dragons,23,L,C
Katsuno Akiyoshi,1,0,0,0,0,0,2,0.1,1,0,0,0,0,0,0,0,0,0.00,3.62,4.80,3.00,999,89,127,-3.62,0.0%,0.0%,0.0%,0.0%,Chunichi Dragons,29,R,C
Kondo Ren,1,0,0,0,0,0,5,1.0,0,0,2,2,0,0,0,0,0,0.00,5.62,4.80,2.00,999,138,127,-5.62,0.0%,40.0%,40.0%,0.0%,Chunichi Dragons,27,L,C
