Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
Kuki Ryuhei,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-98,0.000,0.000,50.0%,0.0%,0.00,0.0,100.0%,0.0%,75.0%,57.1%,14.3%,50.0%,27,,R,DeNA BayStars,CL
Maki Shugo,3,13,13,4,6,2,0,1,11,1,1,0,0,0,1,0,0,0,0,0.462,0.462,0.846,1.308,267,0.384,0.455,7.7%,0.0%,0.00,0.2,25.0%,31.6%,100.0%,44.2%,4.7%,15.4%,28,4,R,DeNA BayStars,CL
Matsuo Shion,2,5,5,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.400,0.400,0.400,0.800,131,0.000,0.400,0.0%,0.0%,,-0.0,20.0%,40.0%,100.0%,35.7%,0.0%,0.0%,21,2,R,DeNA BayStars,CL
Miyazaki Toshiro,3,9,9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,-34,0.000,0.111,0.0%,0.0%,,-0.0,11.1%,6.7%,100.0%,36.1%,0.0%,0.0%,37,5,R,DeNA BayStars,CL
Sano Keita,3,13,12,1,3,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0.250,0.308,0.250,0.558,64,0.000,0.300,15.4%,7.7%,0.50,-0.0,10.0%,27.3%,93.8%,40.3%,6.5%,23.1%,31,7,L,DeNA BayStars,CL
Tsutsugoh Yoshitomo,1,4,4,0,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0.750,0.750,1.000,1.750,397,0.250,0.750,0.0%,0.0%,,-0.0,75.0%,28.6%,100.0%,38.9%,5.6%,0.0%,34,5,L,DeNA BayStars,CL
Viciedo Dayan,3,9,8,0,2,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0.250,0.222,0.250,0.472,37,0.000,0.250,11.1%,0.0%,0.00,-0.0,25.0%,21.4%,100.0%,50.0%,3.8%,11.1%,37,3,R,DeNA BayStars,CL
Watarai Ryuki,3,7,7,1,3,0,0,1,6,1,0,0,0,0,1,0,0,0,0,0.429,0.429,0.857,1.286,260,0.428,0.400,14.3%,0.0%,0.00,-0.0,33.3%,40.0%,100.0%,54.5%,0.0%,28.6%,23,7,L,DeNA BayStars,CL
Yamamoto Yuudai,3,9,7,0,2,0,0,0,2,0,0,0,0,0,2,1,0,1,0,0.286,0.444,0.286,0.730,115,0.000,0.400,22.2%,11.1%,0.50,-0.0,0.0%,11.5%,100.0%,24.4%,4.4%,33.3%,27,2,R,DeNA BayStars,CL
Akahoshi Yuji,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,100.0%,25.0%,0.0%,0.0%,26,1,R,Yomiuri Giants,CL
Cabbage Trey,3,13,13,2,5,0,0,1,8,1,0,1,0,0,3,0,0,0,0,0.385,0.385,0.615,1.000,192,0.230,0.444,23.1%,0.0%,0.00,-0.3,30.0%,39.3%,82.4%,56.0%,20.0%,30.8%,29,7,L,Yomiuri Giants,CL
Dalbec Bobby,3,12,11,2,3,1,0,2,10,5,0,0,0,0,4,1,0,0,1,0.273,0.333,0.909,1.242,256,0.636,0.200,33.3%,8.3%,0.25,-0.0,0.0%,29.0%,75.0%,40.4%,13.5%,58.3%,31,3,R,Yomiuri Giants,CL
Howard Spencer,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,100.0%,0.0%,0.00,0.0,,0.0%,0.0%,40.0%,40.0%,100.0%,29,1,R,Yomiuri Giants,CL
Izuguchi Yuta,3,12,10,3,5,2,0,1,10,1,0,0,0,0,0,2,0,0,0,0.500,0.583,1.000,1.583,363,0.500,0.444,0.0%,16.7%,1.00,-0.0,30.0%,4.3%,100.0%,30.2%,0.0%,25.0%,27,6,L,Yomiuri Giants,CL
Kishida Yukinori,3,11,9,0,2,0,0,0,2,1,0,0,0,1,3,1,0,0,0,0.222,0.273,0.222,0.495,48,0.000,0.286,27.3%,9.1%,0.33,-0.0,14.3%,34.8%,75.0%,44.4%,8.9%,36.4%,29,2,R,Yomiuri Giants,CL
Maru Yoshihiro,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,,0.0,0.0%,0.0%,66.7%,33.3%,11.1%,0.0%,37,,L,Yomiuri Giants,CL
Masuda Riku,1,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,0.0%,0.00,0.0,0.0%,66.7%,50.0%,60.0%,30.0%,66.7%,26,4,R,Yomiuri Giants,CL
Matsumoto Go,3,13,12,2,3,0,0,0,3,0,0,0,0,0,2,1,0,0,0,0.250,0.308,0.250,0.558,67,0.000,0.300,15.4%,7.7%,0.50,-0.0,0.0%,36.0%,92.3%,44.9%,8.2%,23.1%,32,8,R,Yomiuri Giants,CL
