Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
Hanshin Tigers,2,1,0,3,1,1,101,26.0,21,4,20,7,0,0,0,9,9,3.12,4.32,3.51,1.08,104,134,104.6,-1.21,4.0%,19.8%,6.9%,12.9%,CL
Hiroshima Carp,3,0,1,0,1,1,113,28.0,25,0,28,4,1,1,0,6,6,1.93,1.59,2.68,1.04,180,46,79.7,0.34,0.0%,24.8%,3.5%,21.2%,CL
DeNA BayStars,0,3,0,0,0,0,117,27.0,25,2,30,10,0,0,1,13,12,4.00,2.90,3.09,1.30,86,84,92.0,1.10,1.7%,25.6%,8.5%,17.1%,CL
Yomiuri Giants,1,2,1,3,0,0,116,27.0,24,1,20,13,0,3,0,15,14,4.67,3.83,4.20,1.37,70,117,125.0,0.84,0.9%,17.2%,11.2%,6.0%,CL
Yakult Swallows,3,0,3,5,0,0,113,27.0,26,2,25,7,0,1,0,7,7,2.33,3.05,3.21,1.22,155,85,95.5,-0.72,1.8%,22.1%,6.2%,15.9%,CL
Chunichi Dragons,0,3,0,3,1,0,108,25.2,21,0,25,9,2,0,0,9,7,2.45,2.16,3.32,1.17,128,69,98.8,0.30,0.0%,23.1%,8.3%,14.8%,CL
ORIX Buffaloes,2,1,1,5,1,1,113,27.0,28,1,28,4,0,1,1,14,8,2.67,2.02,2.68,1.19,124,61,79.7,0.65,0.9%,24.8%,3.5%,21.2%,PL
Lotte Marines,2,1,1,3,0,0,111,27.0,23,0,18,4,0,4,1,5,3,1.00,2.61,3.54,1.00,343,76,105.4,-1.61,0.0%,16.2%,3.6%,12.6%,PL
SoftBank Hawks,3,0,1,4,0,0,118,27.0,28,8,29,4,0,4,1,13,11,3.67,5.65,2.68,1.19,94,165,79.9,-1.98,6.8%,24.6%,3.4%,21.2%,PL
Rakuten Eagles,1,2,0,0,0,0,112,25.0,27,2,24,13,0,2,1,11,10,3.60,3.97,3.82,1.60,88,125,113.7,-0.37,1.8%,21.4%,11.6%,9.8%,PL
Seibu Lions,1,2,0,0,1,1,109,25.0,28,2,18,5,0,1,0,14,13,4.68,3.37,3.61,1.32,72,101,107.4,1.31,1.8%,16.5%,4.6%,11.9%,PL
Nipponham Fighters,0,3,0,0,0,0,114,24.0,32,4,18,9,0,2,2,20,18,6.75,5.09,4.01,1.71,53,144,119.4,1.66,3.5%,15.8%,7.9%,7.9%,PL
League Average,2,2,1,2,0,0,112,26.1,26,2,24,7,0,2,1,11,10,3.36,3.38,3.36,1.26,100,100,100.0,0.02,1.9%,21.0%,6.6%,14.4%,
