Team,TZR,TZR/143,RngR,ARM,DPR,ErrR,Framing,Blocking,League
DeNA BayStars,9.4,15.1,11.9,-0.9,0.1,-1.6,-0.4,-0.1,C
Yomiuri Giants,4.7,6.5,0.8,2.4,1.0,0.1,0.0,-0.6,C
Lotte Marines,-1.0,-1.3,-4.0,2.4,0.3,-0.2,-1.3,0.1,E
SoftBank Hawks,3.4,5.0,2.3,0.2,1.4,-0.6,3.8,-0.2,W
Nipponham Fighters,-5.5,-7.3,0.8,-2.7,-2.4,-1.3,-3.1,-0.4,E
ORIX Buffaloes,-12.0,-15.5,-12.0,1.1,-1.9,0.9,7.3,0.3,W
Yakult Swallows,5.3,8.6,5.4,1.6,-1.1,-0.9,-3.0,0.0,E
Oisix Albirex,-7.1,-13.4,-6.3,-3.2,1.4,1.6,-1.9,0.0,E
HAYATE Ventures,4.7,9.6,2.4,-0.3,1.5,1.0,1.9,0.0,C
Hiroshima Carp,0.4,0.6,-3.5,3.8,0.2,-0.9,-0.2,0.3,W
Rakuten Eagles,1.6,2.1,2.2,0.7,0.3,-2.3,-1.8,0.2,E
Seibu Lions,-0.3,-0.4,2.4,0.2,-2.1,-1.3,-1.7,0.0,C
Chunichi Dragons,0.3,0.4,-3.4,-0.7,1.6,2.7,-2.5,0.4,C
Hanshin Tigers,4.7,6.4,0.6,3.6,-0.6,0.3,3.0,-0.4,W
