Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,League
Hanshin Tigers,511,463,59,126,27,1,6,173,56,10,1,6,4,88,31,0,7,5,0.272,0.325,0.374,0.698,128,0.102,0.322,24.5%,17.2%,6.1%,0.35,1.0,W
Hiroshima Carp,442,402,23,77,10,1,3,98,23,6,2,4,3,86,27,0,6,11,0.192,0.251,0.244,0.495,57,0.052,0.234,26.2%,19.5%,6.1%,0.31,0.1,W
DeNA BayStars,419,351,37,78,8,1,2,94,33,8,4,5,3,59,52,2,8,13,0.222,0.333,0.268,0.601,89,0.046,0.259,27.0%,14.1%,12.4%,0.88,-0.3,C
Yomiuri Giants,495,443,62,117,23,3,5,161,59,19,5,6,4,82,37,0,5,8,0.264,0.325,0.363,0.689,118,0.099,0.311,25.1%,16.6%,7.5%,0.45,1.3,C
Yakult Swallows,385,351,25,68,6,0,5,89,24,11,4,2,2,92,29,1,1,8,0.194,0.256,0.254,0.509,61,0.060,0.246,32.7%,23.9%,7.5%,0.32,0.3,E
Chunichi Dragons,444,390,51,91,16,3,8,137,47,14,4,3,1,86,46,0,4,12,0.233,0.320,0.351,0.671,105,0.118,0.279,31.5%,19.4%,10.4%,0.53,0.8,C
ORIX Buffaloes,483,437,33,97,20,1,1,122,30,9,9,5,2,98,38,0,1,6,0.222,0.285,0.279,0.564,83,0.057,0.282,28.4%,20.3%,7.9%,0.39,-1.7,W
Lotte Marines,503,435,46,108,18,1,7,149,39,10,3,10,5,96,45,0,8,11,0.248,0.327,0.343,0.669,103,0.094,0.300,29.4%,19.1%,8.9%,0.47,0.4,E
SoftBank Hawks,444,400,68,115,20,3,7,162,62,17,11,1,3,66,34,0,6,8,0.287,0.350,0.405,0.755,137,0.118,0.327,24.1%,14.9%,7.7%,0.52,-1.1,W
Rakuten Eagles,482,430,40,91,18,2,7,134,38,17,5,1,3,96,43,0,5,7,0.212,0.289,0.312,0.601,89,0.100,0.255,30.3%,19.9%,8.9%,0.45,1.0,E
Seibu Lions,494,431,49,112,17,2,6,151,45,10,6,4,6,70,49,0,4,18,0.260,0.337,0.350,0.687,109,0.090,0.294,25.3%,14.2%,9.9%,0.70,-0.6,C
Nipponham Fighters,488,437,66,118,29,5,13,196,60,7,2,2,4,113,43,0,2,15,0.270,0.335,0.449,0.784,133,0.178,0.333,34.6%,23.2%,8.8%,0.38,0.2,E
Oisix Albirex,361,326,22,72,10,1,4,96,22,4,3,3,3,72,26,0,3,9,0.221,0.282,0.294,0.577,88,0.074,0.269,28.3%,19.9%,7.2%,0.36,-0.5,E
HAYATE Ventures,313,290,22,66,6,2,3,85,21,6,5,1,2,58,17,0,3,6,0.228,0.276,0.293,0.569,74,0.066,0.273,24.9%,18.5%,5.4%,0.29,-0.8,C
League Average,447,399,43,95,16,2,6,132,40,11,5,4,3,83,37,0,4,10,0.239,0.308,0.331,0.639,100,0.091,0.287,28.0%,18.6%,8.3%,0.44,0.0,
