Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
Hanshin Tigers,8,5,3,1,0,459,115.0,93,4,88,28,0,6,4,35,26,2.03,3.43,3.49,1.05,138,95,92.6,-1.39,0.9%,19.2%,6.1%,13.1%,W
Hiroshima Carp,3,9,1,1,0,458,109.2,104,3,70,36,0,3,1,46,35,2.87,3.77,4.06,1.28,103,99,107.6,-0.89,0.7%,15.3%,7.9%,7.4%,W
DeNA BayStars,9,2,3,0,0,390,100.0,61,1,85,31,0,4,2,21,14,1.26,3.10,3.42,0.92,241,79,90.6,-1.84,0.3%,21.8%,7.9%,13.8%,C
Yomiuri Giants,6,7,1,0,0,477,115.0,98,7,100,46,1,4,7,41,33,2.58,3.98,3.67,1.25,114,105,97.3,-1.39,1.5%,21.0%,9.6%,11.3%,C
Yakult Swallows,4,6,2,0,0,403,96.1,82,9,82,34,0,4,4,37,34,3.18,4.32,3.61,1.20,93,114,95.7,-1.14,2.2%,20.3%,8.4%,11.9%,E
Chunichi Dragons,6,6,3,0,0,450,106.0,112,8,54,39,0,2,2,48,45,3.82,4.74,4.47,1.42,83,116,118.5,-0.92,1.8%,12.0%,8.7%,3.3%,C
ORIX Buffaloes,6,8,4,0,0,536,119.0,139,8,91,38,0,8,2,76,67,5.07,4.13,3.81,1.49,55,114,101.1,0.94,1.5%,17.0%,7.1%,9.9%,W
Lotte Marines,5,7,1,0,0,505,118.2,116,8,98,40,1,3,6,50,42,3.19,3.93,3.65,1.31,101,95,96.8,-0.75,1.6%,19.4%,7.9%,11.5%,E
SoftBank Hawks,9,4,3,1,0,427,107.1,79,2,89,28,0,3,5,26,21,1.76,3.07,3.37,1.00,171,79,89.4,-1.31,0.5%,20.8%,6.6%,14.3%,W
Rakuten Eagles,7,5,4,1,0,470,117.2,91,5,97,38,0,2,3,37,31,2.37,3.54,3.54,1.10,126,92,94.0,-1.17,1.1%,20.6%,8.1%,12.6%,E
Seibu Lions,6,7,4,0,0,495,114.1,105,9,86,46,1,7,3,57,50,3.94,4.53,3.99,1.32,81,110,105.9,-0.59,1.8%,17.4%,9.3%,8.1%,C
Nipponham Fighters,8,4,2,0,0,489,117.0,88,2,116,46,0,7,8,41,30,2.31,3.22,3.37,1.15,142,76,89.3,-0.91,0.4%,23.7%,9.4%,14.3%,E
Oisix Albirex,2,8,1,0,0,382,84.1,105,8,50,29,0,8,5,59,50,5.34,4.98,4.25,1.59,52,139,112.7,0.35,2.1%,13.1%,7.6%,5.5%,E
HAYATE Ventures,4,5,2,0,0,323,78.0,63,3,56,38,0,2,4,29,26,3.00,4.22,4.24,1.29,106,103,112.5,-1.22,0.9%,17.3%,11.8%,5.6%,C
League Average,6,6,2,0,0,447,107.0,95,6,83,37,0,4,4,43,36,3.03,3.93,3.78,1.24,100,100,100.0,-0.88,1.2%,18.6%,8.3%,10.3%,
