#,Pitcher,G,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,Age,T,League
,Ohtake Koutaro,3,1,2,0,0,0,73,17.0,21,2,11,0,0,3,0,11,9,4.76,4.39,3.29,1.24,59,122,87,0.37,2.7%,15.1%,0.0%,15.1%,Hanshin Tigers,31,L,W
,Tamamura Shogo,2,2,0,0,1,0,43,12.0,9,0,6,2,0,0,0,2,2,1.50,3.12,3.87,0.92,197,82,103,-1.62,0.0%,14.0%,4.7%,9.3%,Hiroshima Carp,25,L,W
,Inoue Haruto,3,2,0,0,0,0,68,17.0,14,1,26,4,0,0,0,2,1,0.53,2.03,1.56,1.06,557,53,42,-1.50,1.5%,38.2%,5.9%,32.4%,Yomiuri Giants,25,L,C
,Mataki Teppei,2,2,0,0,0,0,45,12.0,10,1,10,2,0,0,1,3,3,2.25,3.54,3.02,1.00,131,93,80,-1.29,2.2%,22.2%,4.4%,17.8%,Yomiuri Giants,27,L,C
,Masui Shohta,2,0,0,0,0,0,41,10.0,8,0,5,3,0,0,0,2,2,1.80,3.52,4.31,1.10,164,93,114,-1.72,0.0%,12.2%,7.3%,4.9%,Yakult Swallows,26,L,E
,Shimokawa Shunsuke,3,1,1,0,0,0,51,12.2,9,1,9,5,0,1,0,3,3,2.13,4.65,4.02,1.11,139,122,107,-2.52,2.0%,17.6%,9.8%,7.8%,Yakult Swallows,26,R,E
,Matsukihira Yuta,3,0,1,0,0,0,53,11.0,17,3,4,5,0,0,0,12,10,8.18,7.80,4.99,2.00,39,191,132,0.38,5.7%,7.5%,9.4%,-1.9%,Chunichi Dragons,23,R,C
,Moriyama Akio,2,1,0,0,0,0,47,12.0,12,1,7,0,0,0,0,6,6,4.50,3.54,3.31,1.00,70,87,88,0.96,2.1%,14.9%,0.0%,14.9%,Chunichi Dragons,21,L,C
,Nakachi Reia,2,2,0,0,0,0,47,11.2,8,1,7,7,0,0,0,1,1,0.77,5.34,4.80,1.29,411,131,127,-4.57,2.1%,14.9%,14.9%,0.0%,Chunichi Dragons,25,R,C
,Wakui Hideaki,2,0,2,0,0,0,46,11.0,13,0,2,3,0,0,0,7,6,4.91,4.08,5.02,1.45,64,100,133,0.83,0.0%,4.3%,6.5%,-2.2%,Chunichi Dragons,40,R,C
,Miyaguni Riku,3,1,1,0,0,0,68,16.2,15,0,7,6,0,0,0,8,6,3.24,3.86,4.65,1.26,86,107,123,-0.62,0.0%,10.3%,8.8%,1.5%,ORIX Buffaloes,20,R,W
,Kawamura Tokito,3,1,1,0,0,0,70,15.2,19,2,9,7,0,0,1,7,6,3.45,5.47,4.51,1.66,93,132,120,-2.02,2.9%,12.9%,10.0%,2.9%,Lotte Marines,29,R,E
