Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Azuma Junpei,24,7,58.0,4.4,97.6,4.1,0.3,,0.1,-0.6,,,DeNA BayStars,C
Minakawa Gakuto,23,9,43.1,3.3,98.1,0.8,2.4,,0.0,-0.2,,,Yomiuri Giants,C
Acevedo Stiven,23,7,25.2,3.0,150.2,1.8,1.2,,0.0,-0.2,,,Lotte Marines,E
Takahashi Takanori,24,5,65.1,2.9,57.2,2.1,,0.4,0.4,-0.3,,,SoftBank Hawks,W
Nakashima Takuya,35,4,18.0,2.8,200.2,3.4,,-0.2,-0.4,0.1,,,Nipponham Fighters,E
Hiranuma Shota,28,9,9.0,2.4,343.2,2.0,0.4,,0.0,-0.0,,,ORIX Buffaloes,W
Higuma Montell,26,8,28.0,2.4,110.3,1.8,0.5,,0.0,0.1,,,Yakult Swallows,E
Sugiyama Ryo,22,8,41.2,2.4,74.1,2.3,0.0,,0.0,0.1,,,Lotte Marines,E
Tanai Manato,19,6,27.0,2.1,100.1,1.4,,0.1,0.6,0.2,,,DeNA BayStars,C
Mori Keito,24,8,77.0,2.1,35.1,2.9,-0.8,,0.0,0.3,,,DeNA BayStars,C
Yano Masaya,27,6,41.0,2.0,62.8,0.9,,0.3,0.8,0.3,,,Hiroshima Carp,W
Miyashita Asahi,22,4,27.0,1.9,90.6,1.8,,-0.1,0.3,0.1,,,DeNA BayStars,C
Shigenaga Akira,23,4,49.2,1.9,49.2,1.8,,-0.3,0.4,0.1,,,Rakuten Eagles,E
Hirasawa Taiga,28,9,26.1,1.8,88.1,1.8,-0.0,,0.0,-0.1,,,Seibu Lions,C
Maeda Ginji,22,9,6.2,1.7,326.6,1.2,0.5,,0.0,-0.0,,,Rakuten Eagles,E
Rodriguez Christian,24,6,9.0,1.7,243.1,0.8,,0.5,0.3,0.1,,,Chunichi Dragons,C
Suekane Shota,30,9,40.2,1.6,50.6,1.0,0.6,,0.0,-0.2,,,Hiroshima Carp,W
Chano Tokumasa,26,9,18.0,1.6,114.4,1.0,0.6,,0.0,-0.1,,,Seibu Lions,C
Horomura Daita,21,9,13.0,1.5,148.5,1.1,0.4,,0.0,-0.1,,,Rakuten Eagles,E
Shigematsu Kaito,26,8,9.0,1.4,200.2,1.4,0.0,,0.0,0.0,,,SoftBank Hawks,W
Lin Kuan-Chen,23,7,33.0,1.4,54.6,1.3,0.1,,0.0,-0.3,,,Seibu Lions,C
Hirasawa Taiga,28,4,27.0,1.4,66.7,1.5,,-0.5,0.3,0.1,,,Seibu Lions,C
Aono Takumi,20,3,34.0,1.4,53.0,0.9,,0.2,0.2,-0.4,,,Rakuten Eagles,E
Kawada Yushin,24,7,9.0,1.4,200.2,1.4,0.0,,0.0,-0.1,,,Seibu Lions,C
Kobari Daiki,19,7,8.0,1.4,225.2,1.4,0.0,,0.0,-0.1,,,DeNA BayStars,C
Arizono Naoki,23,5,81.0,1.3,20.7,1.2,,-0.3,0.4,-0.3,,,Nipponham Fighters,E
Namiki Hidetaka,27,8,34.1,1.3,48.8,1.5,-0.2,,0.0,0.1,,,Yakult Swallows,E
Ishimi Soma,20,4,18.0,1.3,93.0,1.1,,-0.0,0.1,0.1,,,SoftBank Hawks,W
Nishimura Ruito,21,7,26.0,1.3,64.4,1.2,0.0,,0.0,-0.3,,,Yakult Swallows,E
Yamase Shinnosuke,25,2,18.0,1.3,93.0,,1.2,,0.0,0.3,0.8,-0.1,Yomiuri Giants,C
Ohtsuka Ruan,22,6,48.0,1.2,32.2,0.4,,-0.1,0.9,0.4,,,Nipponham Fighters,E
Kawarada Jumpei,24,4,16.1,1.2,94.7,1.0,,0.1,0.2,0.0,,,Yomiuri Giants,C
Ueda Kyuto,24,4,8.0,1.2,193.0,1.0,,0.1,0.1,0.0,,,Lotte Marines,E
Watanabe Haruto,26,7,7.0,1.2,220.6,1.2,0.0,,0.0,-0.1,,,ORIX Buffaloes,W
Okada Yuki,26,7,22.0,1.1,64.4,0.7,0.4,,0.0,-0.2,,,Yomiuri Giants,C
Yamamura Takayoshi,23,5,12.0,1.1,118.0,0.8,,0.0,0.3,-0.1,,,Seibu Lions,C
Nakamura Takahiro,26,7,12.2,1.1,111.5,1.2,-0.1,,0.0,-0.1,,,Hiroshima Carp,W
Nakamura Takahiro,26,9,8.0,1.1,177.0,1.0,0.1,,0.0,-0.0,,,Hiroshima Carp,W
Okada Yuki,26,9,10.0,1.1,141.6,1.3,-0.3,,0.0,-0.0,,,Yomiuri Giants,C
