#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,PullAIR%,Chase%,Z-Con%,Swing%,SwStr%,TTO%,Age,Pos,B,Team,League
,Chikamoto Koji,3,14,13,0,1,0,0,0,1,0,0,1,0,0,4,1,0,0,0,0.077,0.143,0.077,0.220,-35,0.000,0.111,28.6%,7.1%,0.25,-0.3,0.0%,28.6%,94.7%,43.3%,9.0%,35.7%,31,8,L,Hanshin Tigers,CL
,Morishita Shota,3,14,11,2,5,0,0,1,8,2,0,0,0,1,0,2,0,0,1,0.455,0.500,0.727,1.227,265,0.272,0.364,0.0%,14.3%,1.00,-0.0,33.3%,3.8%,100.0%,29.8%,0.0%,21.4%,25,9,R,Hanshin Tigers,CL
,Nakagawa Hayato,3,10,8,1,1,1,0,0,2,2,0,0,1,0,1,1,0,0,0,0.125,0.222,0.250,0.472,39,0.125,0.143,10.0%,10.0%,1.00,-0.0,0.0%,28.6%,60.0%,50.0%,12.5%,20.0%,22,7,R,Hanshin Tigers,CL
,Nakano Takumu,3,14,12,4,4,2,0,0,6,0,1,0,0,0,2,2,0,0,0,0.333,0.429,0.500,0.929,178,0.167,0.400,14.3%,14.3%,1.00,0.2,10.0%,15.2%,92.9%,31.1%,3.3%,28.6%,30,4,L,Hanshin Tigers,CL
,Obata Ryuhei,3,12,11,0,2,0,0,0,2,1,0,0,0,0,4,0,0,1,0,0.182,0.250,0.182,0.432,30,0.000,0.286,33.3%,0.0%,0.00,-0.0,14.3%,30.0%,64.7%,50.0%,21.7%,33.3%,25,6,L,Hanshin Tigers,CL
,Ohyama Yusuke,3,12,7,0,1,0,0,0,1,1,0,0,0,1,0,3,0,1,0,0.143,0.417,0.143,0.560,74,0.000,0.125,0.0%,25.0%,1.00,-0.0,12.5%,8.7%,100.0%,31.0%,4.8%,25.0%,31,3,R,Hanshin Tigers,CL
,Sato Teruaki,3,13,12,3,4,2,0,0,6,1,0,0,0,0,4,1,0,0,2,0.333,0.385,0.500,0.885,163,0.167,0.500,30.8%,7.7%,0.25,-0.0,37.5%,34.5%,72.2%,53.8%,23.1%,38.5%,27,5,L,Hanshin Tigers,CL
,Fabian Sandro,3,12,12,1,6,0,0,0,6,1,0,0,0,0,2,0,0,0,0,0.500,0.500,0.500,1.000,188,0.000,0.600,16.7%,0.0%,0.00,-0.0,20.0%,47.8%,100.0%,51.2%,12.2%,16.7%,28,7,R,Hiroshima Carp,CL
,Hirakawa Ren,3,13,12,1,2,1,0,0,3,3,0,0,0,0,4,1,0,0,0,0.167,0.231,0.250,0.481,39,0.083,0.250,30.8%,7.7%,0.25,-0.0,12.5%,43.8%,92.3%,56.2%,18.8%,38.5%,22,8,S,Hiroshima Carp,CL
,Katsuda Naru,3,11,10,0,1,0,0,0,1,1,0,0,0,0,4,1,1,0,0,0.100,0.182,0.100,0.282,-15,0.000,0.167,36.4%,9.1%,0.25,-0.0,0.0%,33.3%,90.0%,41.3%,8.7%,45.5%,23,6,L,Hiroshima Carp,CL
,Kikuchi Ryosuke,3,12,10,1,1,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0.100,0.100,0.100,0.200,-40,0.000,0.143,25.0%,0.0%,0.00,-0.0,0.0%,27.3%,88.9%,33.3%,11.1%,25.0%,36,4,R,Hiroshima Carp,CL
,Kozono Kaito,3,13,11,1,2,1,0,0,3,0,0,1,0,0,2,2,0,0,0,0.182,0.308,0.273,0.581,69,0.091,0.222,15.4%,15.4%,1.00,-0.3,11.1%,32.1%,80.0%,39.6%,8.3%,30.8%,26,5,L,Hiroshima Carp,CL
,Nakamura Shosei,3,13,11,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,15.4%,0.0%,0.00,0.0,0.0%,33.3%,81.8%,40.0%,11.1%,15.4%,27,9,R,Hiroshima Carp,CL
