Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,K%,BB%,BB/K,wSB,TTO%,Age,Pos,B,Team,League
Ohsakae Toshiya,3,4,4,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0.250,0.250,0.250,0.500,57,0.000,0.500,50.0%,0.0%,0.00,-0.0,50.0%,19,DH,L,Rakuten Eagles,E
Ohtsubo Shion,10,27,24,3,9,1,0,3,19,9,0,0,0,1,8,2,0,0,0,0.375,0.407,0.792,1.199,274,0.417,0.429,29.6%,7.4%,0.25,-0.0,48.1%,22,7,R,Rakuten Eagles,E
Sakaue Shoya,2,5,5,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0.400,0.400,0.400,0.800,152,0.000,0.500,20.0%,0.0%,0.00,-0.0,20.0%,22,9,L,Rakuten Eagles,E
Sato Naoki,2,6,5,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0.000,0.167,0.000,0.167,-46,0.000,0.000,33.3%,16.7%,0.50,-0.0,50.0%,27,8,R,Rakuten Eagles,E
Shigenaga Akira,12,46,44,2,8,1,0,0,9,2,3,0,0,0,2,2,0,0,1,0.182,0.217,0.205,0.422,33,0.023,0.190,4.3%,4.3%,1.00,0.5,8.7%,23,4,R,Rakuten Eagles,E
Shimahara Taiga,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,,0.0,0.0%,24,2,L,Rakuten Eagles,E
Suzuki Daichi,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.333,0.000,0.333,8,0.000,0.000,33.3%,33.3%,1.00,-0.0,66.7%,36,5,L,Rakuten Eagles,E
Tanaka Kazuki,4,8,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,62.5%,0.0%,0.00,0.0,62.5%,31,7,S,Rakuten Eagles,E
Tanaka Takaya,5,9,7,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0.000,0.125,0.000,0.125,-60,0.000,0.000,22.2%,11.1%,0.50,-0.0,33.3%,33,2,L,Rakuten Eagles,E
Tatsumi Ryosuke,6,22,20,0,2,1,0,0,3,1,0,0,0,0,5,1,0,1,1,0.100,0.182,0.150,0.332,4,0.050,0.133,22.7%,4.5%,0.20,-0.0,27.3%,29,8,L,Rakuten Eagles,E
Watanabe Yoshiaki,2,6,6,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,110,0.000,0.333,0.0%,0.0%,,-0.0,0.0%,29,3,L,Rakuten Eagles,E
Waters RikaiJyumile,9,28,23,1,1,0,0,0,1,0,2,0,0,0,8,4,0,1,0,0.043,0.214,0.043,0.257,-18,0.000,0.067,28.6%,14.3%,0.50,0.3,42.9%,20,6,R,Rakuten Eagles,E
Yang Po-Hsiang,11,30,28,5,9,2,0,0,11,1,3,2,0,0,4,2,0,0,0,0.321,0.367,0.393,0.760,139,0.072,0.375,13.3%,6.7%,0.50,-0.2,20.0%,21,4,L,Rakuten Eagles,E
Yasuda Yuma,9,32,31,2,7,2,0,2,15,6,0,0,0,0,4,1,0,0,0,0.226,0.250,0.484,0.734,129,0.258,0.200,12.5%,3.1%,0.25,-0.0,21.9%,26,2,L,Rakuten Eagles,E
Yoshino Soshi,13,53,44,4,7,1,0,0,8,2,2,0,0,0,5,8,0,1,0,0.159,0.302,0.182,0.484,53,0.023,0.179,9.4%,15.1%,1.60,0.3,24.5%,22,8,R,Rakuten Eagles,E
Akiyama Shun,11,47,45,5,14,4,0,0,18,2,0,0,0,0,4,2,0,0,1,0.311,0.340,0.400,0.740,124,0.089,0.341,8.5%,4.3%,0.50,-0.0,12.8%,23,8,L,Seibu Lions,C
Chano Tokumasa,6,20,19,2,8,2,1,0,12,1,2,0,0,0,3,0,0,1,1,0.421,0.450,0.632,1.082,225,0.211,0.500,15.0%,0.0%,0.00,0.3,15.0%,26,9,L,Seibu Lions,C
Corniel Juan,4,11,10,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.100,0.091,0.100,0.191,-38,0.000,0.100,9.1%,0.0%,0.00,-0.2,9.1%,23,4,S,Seibu Lions,C
Fukuo Haruma,6,17,16,1,5,1,0,0,6,0,0,0,1,0,5,0,0,0,0,0.313,0.313,0.375,0.688,109,0.062,0.455,29.4%,0.0%,0.00,-0.0,29.4%,20,4,L,Seibu Lions,C
