Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Shuto Ukyo,30,8,27.0,2.3,109.6,2.2,0.1,,0.0,0.1,,,SoftBank Hawks,PL
Fujiwara Kyota,26,9,27.0,2.0,95.3,2.1,-0.1,,0.0,-0.1,,,Lotte Marines,PL
Nakano Takumu,30,4,26.0,1.9,94.0,1.6,,0.1,0.1,0.1,,,Hanshin Tigers,CL
Hirakawa Ren,22,8,25.0,1.6,82.4,0.1,1.6,,0.0,0.1,,,Hiroshima Carp,CL
Santana Domingo,33,7,19.0,1.6,108.4,1.6,0.0,,0.0,-0.2,,,Yakult Swallows,CL
Izuguchi Yuta,27,6,27.0,1.5,71.5,0.8,,0.7,0.1,0.2,,,Yomiuri Giants,CL
Takeoka Ryusei,25,5,21.0,1.5,91.9,1.2,,-0.1,0.4,-0.1,,,Yakult Swallows,CL
Cabbage Trey,29,7,26.0,1.2,59.4,1.5,-0.3,,0.0,-0.3,,,Yomiuri Giants,CL
Sakamoto Hayato,37,5,27.0,1.1,52.4,0.7,,0.0,0.4,-0.1,,,Yomiuri Giants,CL
Morishita Shota,25,9,26.0,1.1,54.4,1.3,-0.2,,0.0,-0.1,,,Hanshin Tigers,CL
Obata Ryuhei,25,6,26.0,1.1,54.4,0.7,,0.3,0.0,0.2,,,Hanshin Tigers,CL
Canario Alexander,26,9,17.0,1.0,75.7,1.0,0.0,,0.0,-0.1,,,Seibu Lions,PL
Tomosugi Atsuki,25,6,15.0,1.0,85.8,0.9,,0.0,0.1,0.1,,,Lotte Marines,PL
Masuda Shu,27,9,8.0,1.0,160.9,1.0,0.0,,0.0,-0.0,,,Yakult Swallows,CL
Nakashima Daisuke,25,8,8.0,0.9,144.8,0.2,0.8,,0.0,0.0,,,Rakuten Eagles,PL
Chikamoto Koji,31,8,26.0,0.9,44.6,0.6,0.3,,0.0,0.1,,,Hanshin Tigers,CL
Sano Keita,31,7,18.0,0.9,64.4,0.6,0.3,,0.0,-0.2,,,DeNA BayStars,CL
Kobukata Hiroto,30,4,14.0,0.8,73.5,0.8,,0.0,0.1,0.0,,,Rakuten Eagles,PL
Nishikawa Misho,23,7,24.0,0.8,42.9,0.7,0.1,,0.0,-0.2,,,Lotte Marines,PL
Tatsumi Ryosuke,29,8,17.0,0.8,60.6,-0.3,1.1,,0.0,0.1,,,Rakuten Eagles,PL
Kurihara Ryoya,29,5,27.0,0.8,38.1,1.2,,0.3,-0.7,-0.1,,,SoftBank Hawks,PL
Ogawa Ryusei,28,6,12.0,0.7,75.1,0.7,,0.0,0.1,0.1,,,Lotte Marines,PL
Yanagimachi Tatsuru,29,9,8.0,0.7,112.6,0.7,0.0,,0.0,-0.0,,,SoftBank Hawks,PL
