PlayerNum,Player,Link,BirthDate,Height,Weight,T,B,Note,Team,jpPlayer
21,Akiyama Takumi,https://npb.jp/bis/eng/players/51155131.html,Apr. 26 1991,188,101,R,L,,Hanshin Tigers,秋山 拓巳
17,Aoyagi Koyo,https://npb.jp/bis/eng/players/71175132.html,Dec. 11 1993,183,83,R,R,,Hanshin Tigers,青柳 晃洋
99,Beasley Jeremy,https://npb.jp/bis/eng/players/03905157.html,Nov. 20 1995,191,109,R,R,,Hanshin Tigers,ビーズリー
00,Guerra Javy,https://npb.jp/bis/eng/players/33735159.html,Sep. 25 1995,183,86,R,L,,Hanshin Tigers,ゲラ
36,Hamachi Masumi,https://npb.jp/bis/eng/players/71675134.html,May 25 1998,185,88,R,R,,Hanshin Tigers,浜地 真澄
48,Ibaragi Hidetoshi,https://npb.jp/bis/eng/players/81185157.html,Jun. 8 2004,182,87,R,R,,Hanshin Tigers,茨木 秀俊
63,Ishiguro Yuya,https://npb.jp/bis/eng/players/01105159.html,Jun. 20 2001,180,83,R,R,,Hanshin Tigers,石黒 佑弥
69,Ishii Daichi,https://npb.jp/bis/eng/players/41145153.html,Jul. 29 1997,175,80,R,R,,Hanshin Tigers,石井 大智
27,Itoh Masashi,https://npb.jp/bis/eng/players/71375153.html,May 8 1996,178,87,L,L,,Hanshin Tigers,伊藤 将司
14,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,87,L,L,,Hanshin Tigers,岩貞 祐太
93,Iwata Masaki,https://npb.jp/bis/eng/players/81385153.html,Jun. 16 1998,178,75,L,L,,Hanshin Tigers,岩田 将貴
13,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,91,L,L,,Hanshin Tigers,岩崎 優
99,Ford Mike,https://npb.jp/bis/players/03205159.html,Jul. 4 1992,183,102,R,L,,DeNA BayStars,フォード
54,Kajiya Ren,https://npb.jp/bis/eng/players/21525139.html,Nov. 25 1991,185,90,R,R,,Hanshin Tigers,加治屋 蓮
92,Kawahara Riku,https://npb.jp/bis/eng/players/11715138.html,Dec. 12 2000,186,89,L,L,Registered(developmental player ->) (Jul. 22).,Hanshin Tigers,川原 陸
47,Kirishiki Takuma,https://npb.jp/bis/eng/players/01705155.html,Jun. 20 1999,179,94,L,L,,Hanshin Tigers,桐敷 拓馬
30,Mombetsu Keito,https://npb.jp/bis/eng/players/53355157.html,Jul. 10 2004,183,86,L,L,,Hanshin Tigers,門別 啓人
20,Moriki Daichi,https://npb.jp/bis/eng/players/03305155.html,Apr. 17 2003,184,93,R,R,,Hanshin Tigers,森木 大智
