Player,Age,Pos,Inn,TZR,TZR/143,RngR,ARM,DPR,ErrR,Pos Adj,Framing,Blocking,Team,League
Matsumoto Go,29,7,856.1,16.4,24.6,11.6,4.4,,0.4,-8.1,,,Nipponham Fighters,PL
Matsumoto Go,29,8,181.2,3.0,21.2,3.3,-0.3,,0.0,0.6,,,Nipponham Fighters,PL
Matsumoto Go,29,DH,95.0,,,,,,,-1.1,,,Nipponham Fighters,PL
Tatsumi Ryosuke,26,8,1068.1,2.5,3.0,6.0,-3.6,,0.1,3.5,,,Rakuten Eagles,PL
Okoye Louis,25,7,78.0,0.3,4.9,0.9,-0.6,,0.0,-0.7,,,Yomiuri Giants,CL
Okoye Louis,25,8,99.0,-1.1,-14.3,-1.1,0.0,,0.0,0.3,,,Yomiuri Giants,CL
Okoye Louis,25,9,74.0,0.5,8.7,1.0,-0.5,,0.0,-0.3,,,Yomiuri Giants,CL
Okabayashi Yuki,21,8,1113.1,-10.8,-12.5,-8.2,-2.7,,0.1,3.7,,,Chunichi Dragons,CL
Okabayashi Yuki,21,9,174.0,0.9,6.7,0.6,0.3,,0.1,-0.7,,,Chunichi Dragons,CL
Hamada Taiki,22,7,311.0,-3.0,-12.4,-3.2,0.1,,0.1,-3.0,,,Yakult Swallows,CL
Hamada Taiki,22,8,140.0,-1.9,-17.5,-1.3,-0.6,,0.0,0.5,,,Yakult Swallows,CL
Hamada Taiki,22,9,11.0,0.5,58.5,0.5,0.0,,0.0,0.0,,,Yakult Swallows,CL
Kozono Kaito,23,4,93.0,1.1,15.2,1.3,,0.8,-1.0,0.3,,,Hiroshima Carp,CL
Kozono Kaito,23,5,84.2,0.2,3.0,-0.6,,0.0,0.7,-0.3,,,Hiroshima Carp,CL
Kozono Kaito,23,6,460.0,2.9,8.1,3.5,,0.0,-0.7,3.7,,,Hiroshima Carp,CL
Namiki Hidetaka,24,7,61.2,0.9,18.8,0.8,0.0,,0.0,-0.6,,,Yakult Swallows,CL
Namiki Hidetaka,24,8,291.2,2.1,9.3,0.4,1.7,,0.0,1.0,,,Yakult Swallows,CL
Namiki Hidetaka,24,9,45.1,-1.3,-36.9,-0.5,0.0,,-0.8,-0.2,,,Yakult Swallows,CL
Chikamoto Koji,28,8,1113.1,9.7,11.2,9.0,0.6,,0.1,3.7,,,Hanshin Tigers,CL
Sano Keita,28,3,365.2,-1.0,-3.5,-1.6,,0.1,0.5,-4.1,,,DeNA BayStars,CL
Sano Keita,28,7,848.1,-22.8,-34.6,-21.7,-0.5,,-0.6,-8.1,,,DeNA BayStars,CL
Payton Mark,31,7,288.1,-0.5,-2.2,0.5,-1.1,,0.1,-2.7,,,Seibu Lions,PL
Payton Mark,31,8,161.0,-2.2,-17.6,-2.0,-0.2,,0.0,0.5,,,Seibu Lions,PL
Payton Mark,31,DH,9.0,,,,,,,-0.1,,,Seibu Lions,PL
Noguchi Tomoya,23,5,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,ORIX Buffaloes,PL
Noguchi Tomoya,23,6,119.1,-4.1,-44.2,-3.5,,-0.4,-0.1,1.0,,,ORIX Buffaloes,PL
Noguchi Tomoya,23,7,4.0,-0.6,-193.0,-0.6,0.0,,0.0,0.0,,,ORIX Buffaloes,PL
Noguchi Tomoya,23,8,131.2,-0.2,-2.0,0.2,-0.4,,0.0,0.4,,,ORIX Buffaloes,PL
Noguchi Tomoya,23,9,338.1,-0.1,-0.4,1.0,-1.2,,0.2,-1.3,,,ORIX Buffaloes,PL
Makihara Taisei,30,4,333.0,0.4,1.5,0.6,,-0.3,0.1,0.9,,,SoftBank Hawks,PL
Makihara Taisei,30,5,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,SoftBank Hawks,PL
Makihara Taisei,30,6,5.0,-0.1,-25.7,-0.2,,0.1,0.1,0.0,,,SoftBank Hawks,PL
Makihara Taisei,30,8,440.1,2.8,8.2,2.9,-0.1,,0.0,1.5,,,SoftBank Hawks,PL
Ogino Takashi,37,9,375.0,-3.8,-13.0,-3.6,-0.4,,0.2,-1.5,,,Lotte Marines,PL
Kajitani Takayuki,34,7,172.0,-0.3,-2.2,0.7,-1.0,,0.1,-1.6,,,Yomiuri Giants,CL
Kajitani Takayuki,34,8,36.1,1.6,56.7,2.1,-0.5,,0.0,0.1,,,Yomiuri Giants,CL
Kajitani Takayuki,34,9,311.1,-1.0,-4.1,-0.5,-0.6,,0.1,-1.2,,,Yomiuri Giants,CL
Kikuchi Ryosuke,33,4,965.0,-0.5,-0.7,-4.7,,1.5,2.7,2.6,,,Hiroshima Carp,CL
Kamizato Kazuki,29,7,3.2,0.4,139.1,0.0,0.4,,0.0,0.0,,,DeNA BayStars,CL
Kamizato Kazuki,29,8,23.0,-2.5,-139.9,-1.7,-0.8,,0.0,0.1,,,DeNA BayStars,CL
Kamizato Kazuki,29,9,133.0,1.8,17.4,3.1,-1.4,,0.1,-0.5,,,DeNA BayStars,CL
Yazawa Kota,22,7,25.0,0.0,0.0,0.0,0.0,,0.0,-0.2,,,Nipponham Fighters,PL
Yazawa Kota,22,8,74.0,5.8,100.9,4.9,0.9,,0.0,0.2,,,Nipponham Fighters,PL
Yazawa Kota,22,9,126.2,0.0,0.0,-1.1,1.1,,0.0,-0.5,,,Nipponham Fighters,PL
Fushimi Torai,33,2,637.0,-6.0,-12.1,,-4.9,,-1.2,9.1,-5.7,0.3,Nipponham Fighters,PL
Shuto Ukyo,27,4,35.0,-0.3,-11.0,0.0,,-0.5,0.1,0.1,,,SoftBank Hawks,PL
Shuto Ukyo,27,5,63.1,1.1,22.4,1.3,,0.0,-0.1,-0.2,,,SoftBank Hawks,PL
Shuto Ukyo,27,7,31.1,1.8,74.0,1.7,0.0,,0.0,-0.3,,,SoftBank Hawks,PL
Shuto Ukyo,27,8,443.1,7.8,22.6,6.6,1.2,,0.0,1.5,,,SoftBank Hawks,PL
Shuto Ukyo,27,9,22.2,1.4,79.4,0.4,0.9,,0.0,-0.1,,,SoftBank Hawks,PL
Imagawa Yuma,26,7,36.1,1.4,49.6,2.3,-0.9,,0.0,-0.3,,,Nipponham Fighters,PL
Imagawa Yuma,26,8,10.0,-0.7,-90.1,-0.5,-0.2,,0.0,0.0,,,Nipponham Fighters,PL
Imagawa Yuma,26,9,48.0,0.8,21.4,1.0,-0.2,,0.0,-0.2,,,Nipponham Fighters,PL
Imagawa Yuma,26,DH,26.1,,,,,,,-0.3,,,Nipponham Fighters,PL
Kaneko Yuji,33,7,195.1,2.0,13.2,2.1,-0.2,,0.1,-1.9,,,Seibu Lions,PL
Kaneko Yuji,33,9,27.0,0.0,0.0,0.2,-0.2,,0.0,-0.1,,,Seibu Lions,PL
Oka Hiromi,31,7,231.2,5.0,27.8,3.6,1.3,,0.1,-2.2,,,Lotte Marines,PL
Oka Hiromi,31,8,289.2,-2.7,-12.0,-3.6,0.8,,0.0,1.0,,,Lotte Marines,PL
Oka Hiromi,31,9,267.2,-2.6,-12.5,-0.9,-1.9,,0.1,-1.1,,,Lotte Marines,PL
Takeda Aito,26,7,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,Seibu Lions,PL
Takeda Aito,26,8,85.0,1.6,24.2,1.8,-0.2,,0.0,0.3,,,Seibu Lions,PL
Takeda Aito,26,9,489.2,8.8,23.1,8.7,-0.2,,0.2,-1.9,,,Seibu Lions,PL
Isobata Ryota,24,7,29.0,0.2,8.9,-0.3,0.5,,0.0,-0.3,,,Nipponham Fighters,PL
Isobata Ryota,24,8,443.0,3.2,9.3,1.1,2.0,,0.1,1.5,,,Nipponham Fighters,PL
Isobata Ryota,24,9,11.0,-0.3,-35.1,0.2,-0.5,,0.0,0.0,,,Nipponham Fighters,PL
Isobata Ryota,24,DH,6.0,,,,,,,-0.1,,,Nipponham Fighters,PL
Fukuda Shuhei,30,7,100.0,-1.2,-15.4,-0.7,-0.5,,0.0,-0.9,,,ORIX Buffaloes,PL
Fukuda Shuhei,30,8,92.0,0.8,11.2,0.7,0.1,,0.0,0.3,,,ORIX Buffaloes,PL
Fukuda Shuhei,30,9,38.0,-1.3,-44.0,-0.4,-0.9,,0.0,-0.2,,,ORIX Buffaloes,PL
Fukuda Shuhei,30,DH,2.0,,,,,,,0.0,,,ORIX Buffaloes,PL
Maruyama Kazuya,23,7,6.0,-1.4,-300.3,-1.4,0.0,,0.0,-0.1,,,Yakult Swallows,CL
Maruyama Kazuya,23,8,169.2,2.8,21.2,1.9,0.9,,0.0,0.6,,,Yakult Swallows,CL
Maruyama Kazuya,23,9,116.1,5.4,59.8,3.3,2.0,,0.1,-0.5,,,Yakult Swallows,CL
Ohta Ryo,22,3,45.0,-0.6,-17.2,-0.6,,-0.1,0.1,-0.5,,,ORIX Buffaloes,PL
Ohta Ryo,22,4,89.0,-1.0,-14.5,0.2,,-0.1,-1.1,0.2,,,ORIX Buffaloes,PL
Chono Hisayoshi,38,7,141.2,0.7,6.4,1.4,-0.8,,0.1,-1.3,,,Yomiuri Giants,CL
Chono Hisayoshi,38,9,117.0,-2.4,-26.4,-2.0,-0.5,,0.0,-0.5,,,Yomiuri Giants,CL
Kakunaka Katsuya,36,7,345.0,-5.3,-19.8,-3.1,-2.3,,0.1,-3.3,,,Lotte Marines,PL
Kakunaka Katsuya,36,9,36.0,0.0,0.0,0.0,0.0,,0.0,-0.1,,,Lotte Marines,PL
Kakunaka Katsuya,36,DH,48.2,,,,,,,-0.6,,,Lotte Marines,PL
Chano Tokumasa,23,7,97.1,-2.9,-38.4,-3.0,0.0,,0.0,-0.9,,,ORIX Buffaloes,PL
Chano Tokumasa,23,8,7.0,0.7,128.7,0.7,0.0,,0.0,0.0,,,ORIX Buffaloes,PL
Chano Tokumasa,23,9,641.2,10.9,21.9,7.7,3.0,,0.3,-2.5,,,ORIX Buffaloes,PL
Chano Tokumasa,23,DH,1.0,,,,,,,0.0,,,ORIX Buffaloes,PL
Sano Kodai,26,3,1.0,0.0,0.0,-0.1,,0.0,0.0,0.0,,,ORIX Buffaloes,PL
Sano Kodai,26,7,6.0,0.1,21.4,0.0,0.1,,0.0,-0.1,,,ORIX Buffaloes,PL
Sano Kodai,26,8,50.0,0.9,23.2,0.8,0.1,,0.0,0.2,,,ORIX Buffaloes,PL
Sano Kodai,26,9,63.0,-1.8,-36.8,-1.1,-0.8,,0.0,-0.2,,,ORIX Buffaloes,PL
Sano Kodai,26,DH,4.0,,,,,,,0.0,,,ORIX Buffaloes,PL
Nakayama Raito,21,4,121.0,-2.7,-28.7,-2.1,,-0.5,-0.2,0.3,,,Yomiuri Giants,CL
Nakayama Raito,21,5,65.0,-1.1,-21.8,-0.5,,0.3,-0.9,-0.2,,,Yomiuri Giants,CL
Nakayama Raito,21,6,103.0,0.3,3.7,-0.2,,-0.2,0.7,0.8,,,Yomiuri Giants,CL
Mannami Chusei,23,3,168.0,-1.1,-8.4,-0.6,,0.2,-0.7,-1.9,,,Nipponham Fighters,PL
Mannami Chusei,23,8,2.0,-0.6,-386.1,-0.6,0.0,,0.0,0.0,,,Nipponham Fighters,PL
Mannami Chusei,23,9,996.1,7.5,9.7,2.3,4.8,,0.5,-3.9,,,Nipponham Fighters,PL
Mannami Chusei,23,DH,42.0,,,,,,,-0.5,,,Nipponham Fighters,PL
Fujiwara Kyota,23,8,813.2,-17.0,-26.9,-11.7,-4.5,,-0.8,2.7,,,Lotte Marines,PL
Fujiwara Kyota,23,DH,1.0,,,,,,,0.0,,,Lotte Marines,PL
Egoshi Taiga,30,7,18.1,0.6,42.2,0.5,0.1,,0.0,-0.2,,,Nipponham Fighters,PL
Egoshi Taiga,30,8,394.1,5.4,17.6,6.1,-0.7,,0.0,1.3,,,Nipponham Fighters,PL
Egoshi Taiga,30,9,54.2,-0.8,-18.8,-2.0,1.2,,0.0,-0.2,,,Nipponham Fighters,PL
Egoshi Taiga,30,DH,4.0,,,,,,,0.0,,,Nipponham Fighters,PL
Ohshima Yohei,37,7,758.1,2.5,4.2,0.6,1.5,,0.3,-7.2,,,Chunichi Dragons,CL
Ohshima Yohei,37,8,148.1,3.5,30.4,4.3,-0.8,,0.0,0.5,,,Chunichi Dragons,CL
Ohshima Yohei,37,DH,9.0,,,,,,,-0.1,,,Chunichi Dragons,CL
Nishikawa Haruki,31,7,152.0,3.0,25.4,1.6,1.3,,0.1,-1.4,,,Rakuten Eagles,PL
Nishikawa Haruki,31,8,20.0,-0.8,-51.5,-0.7,0.0,,0.0,0.1,,,Rakuten Eagles,PL
Nishikawa Haruki,31,DH,5.1,,,,,,,-0.1,,,Rakuten Eagles,PL
Itoh Yukiya,26,3,247.0,-1.2,-6.3,-1.1,,-0.1,0.1,-2.8,,,Rakuten Eagles,PL
Itoh Yukiya,26,4,6.0,0.4,85.8,0.4,,0.0,0.0,0.0,,,Rakuten Eagles,PL
Itoh Yukiya,26,5,230.0,-2.4,-13.4,-0.8,,0.0,-1.6,-0.9,,,Rakuten Eagles,PL
Itoh Yukiya,26,6,7.0,0.2,36.8,0.2,,-0.1,0.1,0.1,,,Rakuten Eagles,PL
Itoh Yukiya,26,DH,1.0,,,,,,,0.0,,,Rakuten Eagles,PL
Kobukata Hiroto,27,4,601.0,-5.1,-10.9,-4.6,,0.5,-1.0,1.6,,,Rakuten Eagles,PL
Kobukata Hiroto,27,5,305.0,-0.3,-1.3,2.4,,-0.9,-1.7,-1.2,,,Rakuten Eagles,PL
Kobukata Hiroto,27,6,4.0,-0.3,-96.5,-0.3,,0.0,0.0,0.0,,,Rakuten Eagles,PL
Kobukata Hiroto,27,7,166.0,5.3,41.1,4.6,0.6,,0.1,-1.6,,,Rakuten Eagles,PL
Kobukata Hiroto,27,8,14.0,1.0,91.9,1.2,-0.2,,0.0,0.0,,,Rakuten Eagles,PL
Katoh Shohei,32,7,38.1,-0.2,-6.7,-1.1,0.9,,0.0,-0.4,,,Chunichi Dragons,CL
Katoh Shohei,32,8,23.2,1.0,54.3,1.1,-0.1,,0.0,0.1,,,Chunichi Dragons,CL
Katoh Shohei,32,9,3.0,-0.6,-257.4,-0.6,0.0,,0.0,0.0,,,Chunichi Dragons,CL
Motoyama Hiyu,24,4,85.2,1.6,24.0,0.8,,0.5,0.4,0.2,,,Yakult Swallows,CL
Motoyama Hiyu,24,5,9.0,0.2,28.6,0.2,,0.0,0.0,0.0,,,Yakult Swallows,CL
Motoyama Hiyu,24,6,5.0,-0.5,-128.7,-0.6,,0.0,0.0,0.0,,,Yakult Swallows,CL
Yamasaki Tsuyoshi,27,4,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Rakuten Eagles,PL
Yamasaki Tsuyoshi,27,5,55.2,2.1,48.5,1.7,,-0.1,0.5,-0.2,,,Rakuten Eagles,PL
Yamasaki Tsuyoshi,27,6,629.0,1.4,2.9,3.0,,-1.3,-0.4,5.1,,,Rakuten Eagles,PL
Yamasaki Tsuyoshi,27,DH,1.0,,,,,,,0.0,,,Rakuten Eagles,PL
Takamatsu Wataru,23,4,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,Chunichi Dragons,CL
Takamatsu Wataru,23,7,3.0,0.6,257.4,0.6,0.0,,0.0,0.0,,,Chunichi Dragons,CL
Takamatsu Wataru,23,8,2.0,-0.6,-386.1,-0.4,-0.2,,0.0,0.0,,,Chunichi Dragons,CL
Yoshikawa Naoki,28,4,1012.2,4.8,6.1,4.9,,-1.3,1.2,2.7,,,Yomiuri Giants,CL
Uchiyama Souma,21,2,217.0,2.3,13.6,,2.0,,0.3,3.1,-0.7,0.0,Yakult Swallows,CL
Uchiyama Souma,21,7,201.2,4.3,27.4,3.7,0.5,,0.1,-1.9,,,Yakult Swallows,CL
Uchiyama Souma,21,8,78.0,-1.2,-19.8,-0.6,-0.6,,0.0,0.3,,,Yakult Swallows,CL
Uchiyama Souma,21,9,35.0,-0.1,-3.7,0.2,-0.3,,0.0,-0.1,,,Yakult Swallows,CL
Mizowaki Hayato,29,3,26.0,0.6,29.7,0.5,,0.0,0.1,-0.3,,,Chunichi Dragons,CL
Mizowaki Hayato,29,4,43.1,0.1,3.0,0.2,,-0.3,0.2,0.1,,,Chunichi Dragons,CL
Mizowaki Hayato,29,6,66.2,-1.8,-34.7,-0.6,,-0.2,-1.1,0.5,,,Chunichi Dragons,CL
Shimauchi Hiroaki,33,7,291.0,-7.7,-34.1,-5.8,-2.0,,0.1,-2.8,,,Rakuten Eagles,PL
Shimauchi Hiroaki,33,9,91.0,2.0,28.3,2.4,-0.4,,0.1,-0.4,,,Rakuten Eagles,PL
Shimauchi Hiroaki,33,DH,332.0,,,,,,,-4.0,,,Rakuten Eagles,PL
Oda Yuya,33,7,175.1,0.4,2.9,0.1,0.3,,0.1,-1.7,,,ORIX Buffaloes,PL
