Team,W,L,SV,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
Hiroshima Carp,2,3,1,0,0,187,44.2,36,2,25,18,4,1,0,14,13,2.62,3.78,4.43,1.21,122,119,119.7,-1.16,1.1%,13.4%,9.6%,3.7%,CL
DeNA BayStars,0,2,0,0,0,78,18.2,16,2,12,7,3,0,0,7,7,3.38,4.27,4.16,1.23,98,130,112.5,-0.89,2.6%,15.4%,9.0%,6.4%,CL
SoftBank Hawks,1,2,1,0,0,109,26.2,23,3,21,11,0,0,0,13,12,4.05,4.16,3.88,1.28,82,126,105.0,-0.11,2.8%,19.3%,10.1%,9.2%,PL
Hanshin Tigers,7,3,2,0,0,367,88.0,79,5,68,24,1,2,0,28,23,2.35,3.12,3.60,1.17,138,96,97.4,-0.76,1.4%,18.5%,6.5%,12.0%,CL
Lotte Marines,3,4,1,0,0,263,61.0,55,3,50,21,0,3,1,26,26,3.84,3.22,3.70,1.25,89,95,100.0,0.62,1.1%,19.0%,8.0%,11.0%,PL
ORIX Buffaloes,6,5,4,0,0,412,97.1,95,4,88,27,3,4,3,43,41,3.79,2.72,3.32,1.25,84,86,89.8,1.07,1.0%,21.4%,6.6%,14.8%,PL
League Average,3,3,2,0,0,236,56.0,51,3,44,18,2,2,1,22,20,3.26,3.54,3.85,1.23,100,100,100.0,-0.21,1.3%,18.6%,7.6%,11.0%,
