                  Team    TZR TZR/143   RngR    ARM   DPR   ErrR Framing Blocking League
0       ORIX Buffaloes  -43.4    -6.5  -32.6   -2.4   0.2   -9.2    -0.6     -1.0     WL
1     Chunichi Dragons   13.0     2.2    9.2   -6.8   3.7    6.4    -3.2      0.1     WL
2       SoftBank Hawks   44.2     6.6   29.6   12.6  -5.7    8.1    12.3      0.5     WL
3       Hanshin Tigers   39.7     6.1   18.9   12.0   1.8    5.8    -1.8     -1.2     WL
4   Nipponham Fighters    5.7     0.9    6.8   -0.5   1.0   -2.6    -1.8      1.8     EL
5          Seibu Lions   -8.6    -1.3    6.4   -1.4  -1.6  -12.9     4.7      0.1     EL
6       Yomiuri Giants  -54.8    -7.7  -57.9   -3.8   5.5    1.9    -5.1      1.4     EL
7      Yakult Swallows  -24.3    -3.8  -18.1   -6.2  -1.9    1.5     7.9     -0.6     EL
8        DeNA BayStars  -33.3    -4.9  -16.8   -6.5   1.6  -11.4    10.2     -1.8     EL
9        Lotte Marines   49.0     7.3   40.4    7.6  -3.3    3.2    -8.6      1.4     EL
10      Rakuten Eagles   26.0     3.7   18.6    4.6   0.7    2.5    -6.5      1.1     EL
11      Hiroshima Carp  -13.5    -2.3   -3.9  -10.4  -3.1    3.4    -7.5     -1.6     WL
