                      Player Age Pos    Inn    TZR  TZR/143   RngR   ARM   DPR  ErrR  Pos Adj Framing Blocking                Team League
0                  Mune Yuma  25   5   10.0    0.5     64.4    0.3         0.0   0.2      0.0                       ORIX Buffaloes     WL
1                Endoh Issei  32   3   18.0   -0.5    -35.8    0.2        -0.1  -0.6     -0.2                     Chunichi Dragons     WL
2                Endoh Issei  32   7   77.0    2.5     41.8    3.3  -0.8         0.1     -0.7                     Chunichi Dragons     WL
3                Endoh Issei  32   8  177.2   -2.2    -15.9   -2.1  -0.2         0.1      0.6                     Chunichi Dragons     WL
4                Endoh Issei  32   9   16.0   -0.1     -8.0   -0.1   0.0         0.0     -0.1                     Chunichi Dragons     WL
5                Endoh Issei  32  DH  105.0                                              -1.3                     Chunichi Dragons     WL
6              Ishioka Ryota  29   3  550.0   -1.7     -4.0   -2.1         0.0   0.4     -6.2                     Chunichi Dragons     WL
7              Ishioka Ryota  29   7   31.2   -0.7    -28.4   -0.8   0.1         0.0     -0.3                     Chunichi Dragons     WL
8              Ishioka Ryota  29   9    4.0   -0.7   -225.2   -0.7   0.0         0.0      0.0                     Chunichi Dragons     WL
9            Hirosawa Shinya  21   3   12.0   -0.5    -53.6   -0.5        -0.1   0.1     -0.1                       ORIX Buffaloes     WL
10           Hirosawa Shinya  21   4  177.0   -1.8    -13.1    0.6         0.3  -2.6      0.5                       ORIX Buffaloes     WL
11           Hirosawa Shinya  21   5   37.0    0.8     27.8    0.7         0.1  -0.1     -0.1                       ORIX Buffaloes     WL
12           Hirosawa Shinya  21   6  189.2   -2.7    -18.3   -3.1         0.3   0.1      1.6                       ORIX Buffaloes     WL
13           Hirosawa Shinya  21   7    1.0    0.3    386.1    0.3   0.0         0.0      0.0                       ORIX Buffaloes     WL
14           Hirosawa Shinya  21  DH    2.0                                               0.0                       ORIX Buffaloes     WL
15               Satoh Naoki  22   7  135.0    5.7     54.3    5.7  -0.2         0.1     -1.3                       SoftBank Hawks     WL
16               Satoh Naoki  22   8  109.2   -2.3    -27.0   -2.2  -0.2         0.1      0.4                       SoftBank Hawks     WL
17               Satoh Naoki  22   9   93.0    2.2     30.4    1.1   1.9        -0.7     -0.4                       SoftBank Hawks     WL
18               Satoh Naoki  22  DH    3.0                                               0.0                       SoftBank Hawks     WL
19              Egoshi Taiga  28   7   14.0    0.8     73.5    0.8   0.0         0.0     -0.1                       Hanshin Tigers     WL
20              Egoshi Taiga  28   8  354.0    5.9     21.4    2.7   3.8        -0.6      1.2                       Hanshin Tigers     WL
21              Egoshi Taiga  28   9   24.0    0.0      0.0    0.0   0.0         0.0     -0.1                       Hanshin Tigers     WL
22           Hosokawa Ryohei  19   4   21.0   -2.3   -141.0   -1.7         0.0  -0.6      0.1                   Nipponham Fighters     EL
23           Hosokawa Ryohei  19   6  180.2   -3.5    -24.9   -0.6        -0.8  -2.2      1.5                   Nipponham Fighters     EL
24           Hosokawa Ryohei  19  DH   25.0                                              -0.3                   Nipponham Fighters     EL
25              Wu Nien-Ting  28   3   39.0    0.8     26.4    0.3         0.4   0.2     -0.4                          Seibu Lions     EL
26              Wu Nien-Ting  28   4   17.0    0.9     68.1    0.7         0.0   0.2      0.0                          Seibu Lions     EL
27              Wu Nien-Ting  28   5    6.0    0.7    150.1    0.5         0.0   0.2      0.0                          Seibu Lions     EL
28                Yoh Daikan  34   7    6.0   -0.4    -85.8   -0.4   0.0         0.0     -0.1                       Yomiuri Giants     EL
29                Yoh Daikan  34   8  146.1   -3.6    -31.7   -3.3  -0.4         0.1      0.5                       Yomiuri Giants     EL
30                Yoh Daikan  34   9   89.0    1.9     27.5    2.2  -0.4         0.1     -0.4                       Yomiuri Giants     EL
31                Yoh Daikan  34  DH   86.0                                              -1.0                       Yomiuri Giants     EL
32            Nagaoka Hideki  19   4  292.0   -2.7    -11.9   -4.2         0.6   0.8      0.8                      Yakult Swallows     EL
33            Nagaoka Hideki  19   5  189.0    0.0      0.0   -1.2         0.0   1.2     -0.7                      Yakult Swallows     EL
34            Nagaoka Hideki  19   6  157.2    3.2     26.1    2.4         0.0   0.8      1.3                      Yakult Swallows     EL
35            Nagaoka Hideki  19  DH   15.0                                              -0.2                      Yakult Swallows     EL
