                  Team    TZR TZR/143   RngR   ARM    DPR  ErrR Framing Blocking League
0       Yomiuri Giants   33.3     4.2   17.9   3.5    1.9  10.1    -9.2      0.6     CL
1        DeNA BayStars  -65.3    -8.4  -64.5  -2.3    5.4  -3.9    -1.2      0.3     CL
2      Yakult Swallows  -28.6    -3.6  -19.3  -9.3    3.9  -4.4     9.3      0.9     CL
3       Hanshin Tigers   -2.7    -0.3   22.2  -8.9  -14.4  -1.9    17.3     -1.1     CL
4       Hiroshima Carp  -16.6    -2.1  -20.1  12.2   -0.6  -7.8    -2.0      0.6     CL
5     Chunichi Dragons   16.9     2.2    8.9   6.3   -2.1   3.4     7.3      0.3     CL
6       Rakuten Eagles   13.6     1.6    6.9   5.1   -3.9   5.4    -5.1     -0.1     PL
7   Nipponham Fighters   -1.3    -0.1    5.5  -7.2    4.4  -4.5   -15.3     -0.3     PL
8          Seibu Lions    7.9     0.9   -3.8  -7.2   11.8   6.6     4.9     -3.1     PL
9       ORIX Buffaloes   -5.5    -0.6    1.2  -4.3   -0.6  -2.0     1.9      2.2     PL
10      SoftBank Hawks   27.3     3.1   20.6   9.7   -4.6   0.8     1.4      1.6     PL
11       Lotte Marines   22.1     2.5   24.7   2.2   -1.6  -3.5    -9.0     -2.0     PL
