                     Player    G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO   BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP      K%     BB%  BB/K   wSB PullAIR%  Chase%  Z-Con%  Swing%  SwStr%    TTO% Age  Pos  B                Team League
0            Akiyama Takumi   24   41   31   0    2   0   0   0    2    0   0   0   9   0   15    1    0   0    1  0.065  0.094  0.065  0.159   -54  0.000  0.125   36.6%    2.4%  0.07  -0.0     0.0%   36.7%   75.0%   44.6%   19.4%   39.0%  30    1  L      Hanshin Tigers     CL
1            Alcantara Raul   24   12    9   0    1   0   0   0    1    1   0   0   3   0    5    0    0   0    0  0.111  0.111  0.111  0.222   -36  0.000  0.250   41.7%    0.0%  0.00  -0.0    14.3%   17.6%   63.6%   29.2%   14.6%   41.7%        1         Hanshin Tigers     CL
2               Aoyagi Koyo   25   51   43   3    7   1   0   0    8    2   0   0   7   0   25    1    0   0    1  0.163  0.182  0.186  0.368     7  0.023  0.389   49.0%    2.0%  0.04  -0.0     0.0%   36.8%   89.7%   37.4%    9.9%   51.0%  27    1  R      Hanshin Tigers     CL
3               Baba Kosuke   44    1    1   0    0   0   0   0    0    0   0   0   0   0    0    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000    0.0%    0.0%         0.0   100.0%  100.0%  100.0%   66.7%   33.3%    0.0%  26    1  R      Hanshin Tigers     CL
4              Chen Wei-Yin    2    4    4   0    1   0   0   0    1    0   0   0   0   0    1    0    0   0    0  0.250  0.250  0.250  0.500    47  0.000  0.333   25.0%    0.0%  0.00  -0.0     0.0%    0.0%   57.1%   63.6%   27.3%   25.0%        1         Hanshin Tigers     CL
5            Chikamoto Koji  140  612  569  91  178  33   5  10  251   50  24   7   4   2   58   33    0   4    6  0.313  0.354  0.441  0.795   132  0.128  0.334    9.5%    5.4%  0.57   1.6    15.5%   25.6%   93.9%   50.9%    6.3%   16.5%  26    8  L      Hanshin Tigers     CL
7              Egoshi Taiga   31    3    3   4    0   0   0   0    0    0   5   1   0   0    1    0    0   0    0  0.000  0.000  0.000  0.000  -102  0.000  0.000   33.3%    0.0%  0.00   0.5     0.0%    0.0%   75.0%   50.0%   12.5%   33.3%  28    9  R      Hanshin Tigers     CL
8         Fujinami Shintaro   21   13    9   1    1   0   0   1    4    2   0   0   4   0    7    0    0   0    0  0.111  0.111  0.444  0.555    55  0.333  0.000   53.8%    0.0%  0.00   0.0    16.7%   40.0%   83.3%   44.4%   22.2%   61.5%  27    1  R      Hanshin Tigers     CL
9                Gunkel Joe   20   37   31   3    5   1   0   0    6    0   0   0   5   0   16    1    0   0    0  0.161  0.188  0.194  0.382    12  0.033  0.333   43.2%    2.7%  0.06  -0.0     0.0%   30.8%   76.7%   43.4%   17.9%   45.9%        1         Hanshin Tigers     CL
11       Haraguchi Fumihito   56   58   49   3   10   2   1   0   14    3   0   0   0   0   12    5    0   4    0  0.204  0.328  0.286  0.614    82  0.082  0.270   20.7%    8.6%  0.42  -0.0    13.5%   36.4%   84.8%   56.7%   14.2%   29.3%  29    2  R      Hanshin Tigers     CL
