                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER    ERA    FIP  kwERA  WHIP ERA+ FIP- kwERA-    Diff    HR%      K%     BB%    K-BB%    GB% Chase%   Con% SwStr%   CSW%  FB Velo                Team Age  T League
64             Ise Hiromu  39   0   1   0    6   0    0  144   35.1   30   0   38  15    2   1   2  11  11   2.80   2.36   3.20  1.27  129   60     88    0.44   0.0%   26.4%   10.4%    16.0%  55.8%  24.0%  71.6%  13.9%  30.3%     91.9       DeNA BayStars            CL
65           Ishida Kenta  33   1   2   0    2   0    0  168   37.2   44   4   39  18    1   2   1  24  24   5.73   4.06   3.55  1.65   63  103     97    1.67   2.4%   23.2%   10.7%    12.5%  46.3%  27.2%  74.3%  11.5%  27.2%     89.9       DeNA BayStars  28  L     CL
66      Kamichatani Taiga   8   1   3   0    0   0    0  155   34.0   37   5   26  17    1   1   1  27  27   7.15   5.12   4.22  1.59   50  130    116    2.03   3.2%   16.8%   11.0%     5.8%  51.4%  17.1%  86.7%   5.3%  27.0%     88.7       DeNA BayStars  24  R     CL
67         Kasai Takamasa   1   0   0   0    0   0    0   11    1.0    5   1    1   2    0   1   0   6   6  54.00  23.15   5.71  7.00    7  585    157   30.85   9.1%    9.1%   18.2%    -9.1%  42.9%   9.1%  76.9%   7.5%  25.0%     92.7       DeNA BayStars  26  R     CL
68           Kazahari Ren   5   0   0   0    0   0    0   33    7.0   12   2    6   0    0   0   0   6   6   7.71   5.15   2.98  1.71   47  130     82    2.56   6.1%   18.2%    0.0%    18.2%  29.6%  21.3%  81.7%   8.9%  21.8%     87.6       DeNA BayStars            CL
69         Kuniyoshi Yuki  18   1   1   0    0   0    0  125   29.2   24   1   37  13    1   1   1  18  17   5.16   2.51   2.88  1.25   70   64     79    2.65   0.8%   29.6%   10.4%    19.2%  36.8%  27.1%  68.0%  14.2%  31.3%     93.8       DeNA BayStars  29  R     CL
70         Kyoyama Masaya  16   2   7   0    0   0    0  353   76.0   91   9   67  41    2   2   3  47  42   4.97   4.63   4.06  1.74   72  117    111    0.34   2.5%   19.0%   11.6%     7.4%  47.3%  23.5%  77.2%  10.0%  26.1%     91.5       DeNA BayStars  22  R     CL
71          Mikami Tomoya  40   2   1   0    3   0    0  148   35.0   36   5   25   9    1   1   0  15  15   3.86   4.44   3.72  1.29   93  112    102   -0.58   3.4%   16.9%    6.1%    10.8%  40.9%  25.2%  83.1%   8.5%  25.8%     90.5       DeNA BayStars  32  R     CL
72         Mishima Kazuki  59   3   5  23    1   0    0  246   57.1   66   8   57  12    1   0   3  31  26   4.08   3.61   2.97  1.36   88   91     81    0.47   3.3%   23.2%    4.9%    18.3%  46.3%  31.5%  71.4%  14.9%  28.3%     94.0       DeNA BayStars  31  R     CL
73       Miyaguni Ryosuke   3   1   1   0    0   0    0   68   16.0   18   3   14   5    0   0   0  11  11   6.19   4.78   3.48  1.44   58  121     95    1.41   4.4%   20.6%    7.4%    13.2%  45.8%  27.7%  76.9%   9.7%  28.3%     88.1       DeNA BayStars            CL
74             Mutoh Yuta   1   0   0   0    0   0    0    1    0.1    0   0    1   0    0   0   0   0   0   0.00  -2.85  -5.20  0.00  999  -72   -143    2.85   0.0%  100.0%    0.0%   100.0%   nan%   nan%   nan%   nan%   nan%      NaN       DeNA BayStars            CL
75           Nakagawa Koh   7   0   1   0    0   0    0  122   26.1   32   3   24  15    0   0   1  22  19   6.49   4.52   4.06  1.78   55  114    111    1.97   2.5%   19.7%   12.3%     7.4%  49.4%  22.1%  76.4%  10.1%  26.1%     91.4       DeNA BayStars            CL
76        Ohnuki Shinichi  22   6   7   0    0   0    0  499  112.0  137   9  106  30    2   3   3  57  54   4.34   3.19   3.28  1.49   83   81     90    1.15   1.8%   21.2%    6.0%    15.2%  54.6%  26.0%  77.0%  10.5%  29.3%     89.5       DeNA BayStars            CL
77        Peoples Michael  18   3   4   0    0   0    0  191   47.0   41   5   41  14    0   2   0  23  22   4.21   3.81   3.39  1.17   85   96     93    0.40   2.6%   21.5%    7.3%    14.1%  54.3%  26.1%  77.5%  10.0%  28.0%     90.1       DeNA BayStars            CL
78        Romero Fernando  14   5   3   0    0   1    1  349   80.2   89   4   44  30    0   5   4  38  27   3.01   4.01   4.40  1.48  120  101    121   -1.00   1.1%   12.6%    8.6%     4.0%  61.9%  24.5%  85.2%   6.7%  23.2%     93.9       DeNA BayStars  26  R     CL
79      Sakaguchi Kousuke   8   2   3   0    0   0    0  160   35.0   37   4   18  19    0   1   3  20  16   4.11   5.32   4.86  1.60   88  135    133   -1.21   2.5%   11.2%   11.9%    -0.6%  66.4%  18.7%  81.5%   7.3%  24.6%     90.9       DeNA BayStars            CL
80          Sakamoto Yuya  16   4   6   0    0   0    0  310   70.1   89   9   46  22    0   3   2  43  41   5.25   4.57   4.03  1.58   69  116    110    0.68   2.9%   14.8%    7.1%     7.7%  48.1%  26.4%  78.5%   9.6%  26.2%     87.9       DeNA BayStars            CL
81          Sakurai Shuto  30   0   1   0    1   0    0  181   41.0   36   3   37  29    1   0   3  15  14   3.07   4.42   4.36  1.59  117  112    120   -1.35   1.7%   20.4%   16.0%     4.4%  58.7%  20.2%  75.3%  10.4%  24.1%     89.9       DeNA BayStars  22  L     CL
82      Shackelford Kevin  32   1   0   1    4   0    0  141   31.1   28   3   34  16    0   5   4  19  18   5.17   4.24   3.52  1.40   70  107     97    0.93   2.1%   24.1%   11.3%    12.8%  51.8%  28.7%  71.3%  13.4%  26.8%     93.9       DeNA BayStars            CL
83         Shindoh Takuya   2   0   0   0    0   0    0    6    1.0    0   0    1   1    0   2   0   0   0   0.00  10.15   4.80  1.00  999  257    132  -10.15   0.0%   16.7%   16.7%     0.0%   0.0%  16.7%  66.7%   8.0%  24.0%     88.9       DeNA BayStars            CL
84         Sunada Yoshiki  58   2   2   0   18   0    0  166   41.2   26   1   27  13    2   2   2  15  15   3.24   3.25   3.96  0.94  111   82    109   -0.01   0.6%   16.3%    7.8%     8.4%  56.1%  21.3%  80.1%   9.1%  25.6%     87.9       DeNA BayStars  25  L     CL
85          Taira Kentaro   2   0   0   0    0   0    0   39   10.0    6   0    6   3    0   0   0   1   1   0.90   2.85   4.03  0.90  400   72    111   -1.95   0.0%   15.4%    7.7%     7.7%  50.0%  24.7%  79.3%   8.6%  27.3%     86.1       DeNA BayStars  25  R     CL
86         Tanaka Kenjiro   8   0   0   0    0   0    0   18    4.2    3   0    6   2    0   1   1   0   0   0.00   2.51   2.58  1.07  999   63     71   -2.51   0.0%   33.3%   11.1%    22.2%  66.7%  20.0%  72.5%  11.5%  32.3%     89.2       DeNA BayStars  31  L     CL
87       Yamasaki Yasuaki  60   3   2   1   27   0    0  229   55.0   58   2   39  14    1   3   0  21  20   3.27   3.13   3.71  1.31  110   79    102    0.14   0.9%   17.0%    6.1%    10.9%  52.6%  27.8%  79.7%   9.6%  26.4%     91.1       DeNA BayStars  28  R     CL
88       De La Rosa Rubby  46   1   0   7   13   0    0  175   41.1   38   3   34  12    0   2   1  15  13   2.83   3.47   3.54  1.21  133   84     97   -0.64   1.7%   19.4%    6.9%    12.6%  46.4%  29.9%  76.2%  11.0%  28.4%     93.8      Yomiuri Giants  32  R     CL
89          Furukawa Yuri   1   0   0   0    0   0    0   11    2.0    3   1    0   3    1   1   0   4   4  18.00  15.65   7.53  3.00   21  379    206    2.35   9.1%    0.0%   27.3%   -27.3%   0.0%   4.8%  88.9%   4.3%  21.3%     92.0      Yomiuri Giants  25  R     CL
90          Hatake Seishu  52   4   3   1   11   0    0  390   96.2   83  13   97  25    1   4   2  37  33   3.07   3.79   2.95  1.12  122   92     81   -0.72   3.3%   24.9%    6.4%    18.5%  48.1%  30.8%  75.8%  11.8%  28.6%     91.5      Yomiuri Giants  27  R     CL
91           Heinai Ryuta   3   0   1   0    0   0    0   24    5.0    8   2    5   2    0   0   0   8   8  14.40   7.55   3.55  2.00   26  183     97    6.85   8.3%   20.8%    8.3%    12.5%  41.2%  24.1%  70.3%  11.5%  29.2%     91.2      Yomiuri Giants            CL
92       Imamura Nobutaka  17   3   4   0    0   1    1  274   63.0   66   5   59  22    0   3   0  21  19   2.71   3.50   3.45  1.40  139   85     95   -0.79   1.8%   21.5%    8.0%    13.5%  52.0%  27.0%  78.2%   9.5%  29.4%     88.2      Yomiuri Giants  27  L     CL
93           Inoh Shoichi   5   0   1   0    0   0    0   26    5.0   11   3    5   1    0   0   0   8   8  14.40   9.55   3.26  2.40   26  231     89    4.85  11.5%   19.2%    3.8%    15.4%  35.0%  21.6%  78.4%   9.7%  29.2%     90.7      Yomiuri Giants            CL
94           Kagiya Yohei  59   3   0   1   15   0    0  182   42.1   39   5   30  18    0   0   1  19  15   3.19   4.55   4.14  1.35  118  110    114   -1.36   2.7%   16.5%    9.9%     6.6%  51.1%  18.3%  81.8%   8.1%  25.2%     90.1      Yomiuri Giants  30  R     CL
