Team,G,W,L,T,PCT,GB,Home,Road,vsT,vsH,vsD,vsC,vsB,Int,
HanshinTigers,106,65,34,7,.657,--,35-17(2),30-17(5),--,13-13(2),12-7(2),21-6,18-6(3),1-2,
Fukuoka SoftBankHawks,109,65,40,4,.619,3.0,37-22(2),28-18(2),13-13(2),--,16-11,18-5(2),18-11,--,
ChunichiDragons,101,48,50,3,.490,16.5,26-20(1),22-30(2),7-12(2),11-16,--,13-13(1),17-9,--,
Hiroshima ToyoCarp,105,39,63,3,.382,27.5,27-23(3),12-40,6-21,5-18(2),13-13(1),--,15-11,--,
ORIXBuffaloes,111,37,71,3,.343,32.5,19-29(2),18-42(1),6-18(3),11-18,9-17,11-15,--,0-3,
