Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Alcantara Raul,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.000,.500,Hanshin Tigers,
Araki Fumiya,52,104,94,14,29,5,1,1,39,11,4,3,0,2,8,0,0,14,2,.309,.415,.356,Hanshin Tigers,
Baba Kosuke,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Chen Wei-Yin,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Chikamoto Koji,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Edwards Jon,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Egoshi Taiga,47,201,179,30,45,7,2,7,77,19,7,3,1,0,15,1,6,79,2,.251,.430,.330,Hanshin Tigers,
Endo Jo,86,267,230,25,54,5,3,0,65,21,3,2,12,3,18,0,4,57,4,.235,.283,.298,Hanshin Tigers,
Fujikawa Shunsuke,29,46,40,3,10,1,0,0,11,2,1,2,0,0,6,1,0,5,2,.250,.275,.348,Hanshin Tigers,
Fujinami Shintaro,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Fujita Kento,32,45,42,3,6,1,0,0,7,0,0,0,0,0,2,0,1,14,1,.143,.167,.200,Hanshin Tigers,
Fujitani Kosuke,24,20,19,0,1,0,0,0,1,1,0,0,0,1,0,0,0,8,1,.053,.053,.050,Hanshin Tigers,
Gunkel Joe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Hamachi Masumi,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,5,19,16,2,2,0,0,0,2,1,0,0,0,1,1,0,1,1,2,.125,.125,.211,Hanshin Tigers,
Hojoh Fumiya,17,56,50,4,15,3,0,1,21,6,2,0,0,0,4,0,2,10,3,.300,.420,.375,Hanshin Tigers,
Inoue Kouta,68,275,255,35,68,19,2,9,118,50,2,0,0,3,15,0,2,95,4,.267,.463,.309,Hanshin Tigers,
Ishii Daichi,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Ishii Masaki,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itayama Yutaro,64,244,215,28,57,9,7,5,95,33,12,4,1,2,26,0,0,34,5,.265,.442,.342,Hanshin Tigers,
Itoh Kazuo,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itoh Masashi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itohara Kento,4,13,10,2,4,0,0,0,4,2,0,0,0,1,2,0,0,1,0,.400,.400,.462,Hanshin Tigers,
Itoi Yoshio,1,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.500,1.000,.500,Hanshin Tigers,
Iwasada Yuta,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwata Masaki,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwata Minoru,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kajiya Ren,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Katayama Yuya,45,81,69,13,15,1,0,3,25,5,3,1,0,0,12,0,0,13,0,.217,.362,.333,Hanshin Tigers,
Kinami Seiya,20,83,78,11,28,5,0,1,36,15,1,1,0,2,3,0,0,8,3,.359,.462,.373,Hanshin Tigers,
Kobayashi Keisuke,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kumagai Takahiro,25,102,86,12,22,4,1,0,28,9,5,0,6,0,10,0,0,15,0,.256,.326,.333,Hanshin Tigers,
Kuwahara Kentaro,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Maki Johichiro,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Marte Jefry,5,15,13,3,6,1,0,2,13,4,0,0,0,0,2,0,0,4,0,.462,1.000,.533,Hanshin Tigers,
Mochizuki Atsushi,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Moriya Kouki,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
