Team,G,W,L,T,PCT,GB,Home,Road,vsH,vsF,vsM,vsE,vsB,vsL,Int,
Fukuoka SoftBankHawks,143,91,49,3,.650,--,49-21(2),42-28(1),--,12-12(1),16-8(1),16-9,18-6(1),17-8,12-6,
Hokkaido Nippon-HamFighters,143,75,60,8,.556,13.5,41-25(6),34-35(2),12-12(1),--,18-6(1),13-10(2),12-12(1),13-10(2),7-10(1),
Chiba LotteMarines,143,71,66,6,.518,18.5,37-33(1),34-33(5),8-16(1),6-18(1),--,13-11(1),16-8(1),21-4,7-9(2),
Tohoku RakutenGolden Eagles,143,67,72,4,.482,23.5,30-39(2),37-33(2),9-16,10-13(2),11-13(1),--,10-15,14-10(1),13-5,
ORIXBuffaloes,143,63,77,3,.450,28.0,34-36(1),29-41(2),6-18(1),12-12(1),8-16(1),15-10,--,12-13,10-8,
Saitama SeibuLions,143,49,91,3,.350,42.0,31-40(1),18-51(2),8-17,10-13(2),4-21,10-14(1),13-12,--,4-14,
