PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
40,井坪　陽生,https://npb.jp/bis/players/41145157.html,2005.03.17,177,88,右,右,,Hanshin Tigers
43,髙濱　祐仁,https://npb.jp/bis/players/01005130.html,1996.08.08,185,88,右,右,,Hanshin Tigers
53,島田　海吏,https://npb.jp/bis/players/91995136.html,1996.02.06,176,71,右,左,,Hanshin Tigers
55,ミエセス,https://npb.jp/bis/players/73075157.html,1995.07.13,185,119,右,右,,Hanshin Tigers
58,前川　右京,https://npb.jp/bis/players/21825155.html,2003.05.18,176,83,左,左,,Hanshin Tigers
60,小野寺　暖,https://npb.jp/bis/players/71775151.html,1998.03.17,183,83,右,右,,Hanshin Tigers
61,豊田　寛,https://npb.jp/bis/players/31435155.html,1997.04.28,178,88,右,右,,Hanshin Tigers
97,野口　恭佑,https://npb.jp/bis/players/01405157.html,2000.07.17,180,86,右,右,,Hanshin Tigers
122,小川　一平,https://npb.jp/bis/players/11715151.html,1997.06.03,183,85,右,右,,Hanshin Tigers
123,松原　快,https://npb.jp/bis/players/93195159.html,1999.08.24,180,88,右,右,,Hanshin Tigers
125,伊藤　稜,https://npb.jp/bis/players/31335155.html,1999.11.08,178,79,左,左,,Hanshin Tigers
92,川原　陸,https://npb.jp/bis/players/11715138.html,2000.12.12,186,89,左,左,,Hanshin Tigers
29,髙橋　遥人,https://npb.jp/bis/players/91095136.html,1995.11.07,181,79,左,左,,Hanshin Tigers
98,佐藤　蓮,https://npb.jp/bis/players/81085153.html,1998.04.11,189,103,右,右,,Hanshin Tigers
131,ベタンセス,https://npb.jp/bis/players/83085159.html,1999.10.17,183,102,右,右,3/13 育成選手登録,Hanshin Tigers
132,マルティネス,https://npb.jp/bis/players/13215159.html,2000.01.10,190,79,右,右,3/13 育成選手登録,Hanshin Tigers
126,福島　圭音,https://npb.jp/bis/players/11815159.html,2001.10.06,171,72,右,左,,Hanshin Tigers
25,新井　貴浩,1977.01.30,,,Hiroshima Carp
11,九里　亜蓮,https://npb.jp/bis/players/71775139.html,1991.09.01,188,97,右,右,,Hiroshima Carp
12,大道　温貴,https://npb.jp/bis/players/41545153.html,1999.01.20,180,88,右,右,,Hiroshima Carp
13,森浦　大輔,https://npb.jp/bis/players/73375153.html,1998.06.15,175,72,左,左,,Hiroshima Carp
14,大瀬良　大地,https://npb.jp/bis/players/61365139.html,1991.06.17,188,94,右,右,,Hiroshima Carp
16,森　翔平,https://npb.jp/bis/players/93395155.html,1998.01.01,177,82,左,左,,Hiroshima Carp
17,常廣　羽也斗,https://npb.jp/bis/players/31435159.html,2001.09.18,180,77,右,右,,Hiroshima Carp
18,森下　暢仁,https://npb.jp/bis/players/53155151.html,1997.08.25,180,81,右,右,,Hiroshima Carp
19,野村　祐輔,https://npb.jp/bis/players/21425135.html,1989.06.24,177,85,右,右,,Hiroshima Carp
20,栗林　良吏,https://npb.jp/bis/players/91995153.html,1996.07.09,177,87,右,右,,Hiroshima Carp
21,中﨑　翔太,https://npb.jp/bis/players/31235133.html,1992.08.10,187,100,右,右,,Hiroshima Carp
22,髙　太一,https://npb.jp/bis/players/41045159.html,2001.07.26,179,83,左,左,,Hiroshima Carp
24,黒原　拓未,https://npb.jp/bis/players/41745155.html,1999.11.29,173,78,左,左,,Hiroshima Carp
26,益田　武尚,https://npb.jp/bis/players/91895157.html,1998.10.06,174,88,右,右,,Hiroshima Carp
28,床田　寛樹,https://npb.jp/bis/players/11415134.html,1995.03.01,181,94,左,左,,Hiroshima Carp
29,ケムナ　誠,https://npb.jp/bis/players/71775136.html,1995.06.05,190,96,右,右,,Hiroshima Carp
30,滝田　一希,https://npb.jp/bis/players/31235159.html,2001.12.28,183,83,左,左,,Hiroshima Carp
34,高橋　昂也,https://npb.jp/bis/players/01005134.html,1998.09.27,182,95,左,左,,Hiroshima Carp
35,赤塚　健利,https://npb.jp/bis/players/51155159.html,2001.07.01,195,118,右,右,,Hiroshima Carp
