Player,Team,Position,Inning,TZR,RngR,DPR,ARM,ErrR,位置補正,Framing,Blocking,
佐々木 俊輔,巨,LF,57.0,1.2,1.3,-,-0.2,0.1,-0.5,-,-,
佐々木 俊輔,巨,CF,126.0,-0.5,-0.2,-,-0.3,0.0,0.4,-,-,
佐々木 俊輔,巨,RF,128.0,1.2,-1.6,-,2.8,0.0,-0.5,-,-,
近本 光司,神,CF,1262.7,-6.8,-3.9,-,-3.0,0.1,4.2,-,-,
塩見 泰隆,ヤ,CF,209.0,-1.5,-2.3,-,0.8,0.0,0.7,-,-,
三好 大倫,中,LF,22.0,0.6,0.8,-,-0.2,0.0,-0.2,-,-,
三好 大倫,中,CF,161.0,0.9,1.3,-,-0.4,0.0,0.5,-,-,
度会 隆輝,デ,RF,505.3,-3.9,-0.9,-,-3.3,0.2,-2.0,-,-,
菊池 涼介,広,2B,1122.0,1.9,1.1,0.0,-,0.8,3.0,-,-,
茂木 栄五郎,楽,1B,73.3,-0.8,-1.1,0.0,-,0.2,-0.8,-,-,
茂木 栄五郎,楽,2B,24.0,-0.2,-0.9,0.6,-,0.1,0.1,-,-,
茂木 栄五郎,楽,DH,22.0,-,-,-,-,-,-0.3,-,-,
金子 侑司,西,LF,160.7,0.8,3.0,-,-2.4,0.2,-1.5,-,-,
金子 侑司,西,CF,20.0,-0.3,0.0,-,-0.2,0.0,0.1,-,-,
金子 侑司,西,RF,104.3,-0.4,0.2,-,-0.6,0.1,-0.4,-,-,
藤岡 裕大,ロ,2B,669.7,-5.6,-4.7,-1.4,-,0.5,1.8,-,-,
松本 剛,日,LF,15.7,1.0,1.1,-,-0.2,0.0,-0.1,-,-,
松本 剛,日,CF,997.3,12.9,13.1,-,-0.3,0.1,3.3,-,-,
松本 剛,日,DH,22.0,-,-,-,-,-,-0.3,-,-,
西川 龍馬,オ,LF,1113.3,-4.0,-1.9,-,-2.1,0.0,-10.6,-,-,
西川 龍馬,オ,DH,35.0,-,-,-,-,-,-0.4,-,-,
周東 佑京,ソ,CF,956.3,14.1,10.2,-,3.8,0.1,3.2,-,-,
大島 洋平,中,LF,113.0,-0.7,-0.8,-,0.0,0.1,-1.1,-,-,
大島 洋平,中,CF,14.0,0.6,0.7,-,-0.1,0.0,0.0,-,-,
大島 洋平,中,DH,2.0,-,-,-,-,-,0.0,-,-,
尾田 剛樹,中,LF,25.0,-1.7,-2.0,-,0.3,0.0,-0.2,-,-,
尾田 剛樹,中,CF,34.3,2.3,2.3,-,0.0,0.0,0.1,-,-,
尾田 剛樹,中,RF,12.0,0.1,0.0,-,0.1,0.0,0.0,-,-,
尾田 剛樹,中,DH,2.0,-,-,-,-,-,0.0,-,-,
野間 峻祥,広,CF,136.0,-1.8,-3.3,-,1.5,0.0,0.5,-,-,
野間 峻祥,広,RF,758.3,-6.3,-5.6,-,-1.0,0.3,-3.0,-,-,
小深田 大翔,楽,2B,1133.7,-3.3,-8.1,2.3,-,2.4,3.0,-,-,
小深田 大翔,楽,SS,11.0,0.1,0.1,0.0,-,0.0,0.1,-,-,
岸 潤一郎,西,LF,280.7,1.9,2.9,-,-1.2,0.2,-2.7,-,-,
岸 潤一郎,西,CF,232.7,-0.1,-0.5,-,0.3,0.0,0.8,-,-,
岸 潤一郎,西,RF,200.0,0.9,1.6,-,-0.8,0.1,-0.8,-,-,
岸 潤一郎,西,DH,1.0,-,-,-,-,-,0.0,-,-,
荻野 貴司,ロ,LF,302.0,8.3,6.4,-,2.5,-0.6,-2.9,-,-,
荻野 貴司,ロ,CF,16.0,0.2,0.2,-,0.0,0.0,0.1,-,-,
荻野 貴司,ロ,RF,83.0,0.9,1.6,-,-0.7,0.0,-0.3,-,-,
荻野 貴司,ロ,DH,8.0,-,-,-,-,-,-0.1,-,-,
和田 康士朗,ロ,LF,43.0,1.3,1.3,-,0.0,0.0,-0.4,-,-,
和田 康士朗,ロ,CF,149.0,6.4,6.7,-,-0.4,0.0,0.5,-,-,
和田 康士朗,ロ,RF,30.0,1.0,0.7,-,0.3,0.0,-0.1,-,-,
和田 康士朗,ロ,DH,8.0,-,-,-,-,-,-0.1,-,-,
福田 周平,オ,LF,20.0,1.5,1.3,-,0.1,0.0,-0.2,-,-,
福田 周平,オ,CF,498.3,-3.4,-2.7,-,-0.8,0.1,1.7,-,-,
福田 周平,オ,RF,9.0,-0.4,-0.1,-,-0.3,0.0,0.0,-,-,
浅野 翔吾,巨,CF,26.3,-0.7,-0.5,-,-0.1,0.0,0.1,-,-,
浅野 翔吾,巨,RF,292.7,-7.5,-6.3,-,-1.4,0.1,-1.2,-,-,
カリステ,中,1B,170.7,2.0,2.3,-0.1,-,-0.2,-1.9,-,-,
カリステ,中,3B,125.0,0.4,2.2,-0.2,-,-1.7,-0.5,-,-,
カリステ,中,LF,268.0,6.1,5.2,-,0.6,0.2,-2.5,-,-,
カリステ,中,CF,207.7,-6.9,-5.3,-,-0.8,-0.8,0.7,-,-,
カリステ,中,DH,4.0,-,-,-,-,-,0.0,-,-,
久保 修,広,CF,51.3,-4.4,-4.3,-,-0.1,0.0,0.2,-,-,
久保 修,広,RF,4.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
スティーブンソン,日,LF,91.0,1.3,1.3,-,-0.1,0.1,-0.9,-,-,
スティーブンソン,日,DH,29.0,-,-,-,-,-,-0.3,-,-,
江越 大賀,日,LF,23.0,0.8,0.2,-,0.6,0.0,-0.2,-,-,
江越 大賀,日,CF,19.3,0.2,0.3,-,-0.2,0.0,0.1,-,-,
江越 大賀,日,RF,2.0,0.0,0.0,-,0.0,0.0,0.0,-,-,
太田 椋,オ,1B,339.0,1.9,2.0,-0.3,-,0.3,-3.8,-,-,
太田 椋,オ,2B,409.7,-9.7,-9.1,-0.2,-,-0.5,1.1,-,-,
太田 椋,オ,3B,19.0,0.4,0.2,0.0,-,0.2,-0.1,-,-,
西野 真弘,オ,2B,312.0,0.5,0.2,0.2,-,0.0,0.8,-,-,
西野 真弘,オ,3B,300.0,1.8,0.8,-0.1,-,1.1,-1.1,-,-,
西野 真弘,オ,DH,9.0,-,-,-,-,-,-0.1,-,-,
萩尾 匡也,巨,LF,94.0,-0.8,-0.9,-,0.1,0.1,-0.9,-,-,
萩尾 匡也,巨,CF,109.0,0.3,0.8,-,-0.4,0.0,0.4,-,-,
萩尾 匡也,巨,RF,116.7,2.1,1.8,-,0.3,0.0,-0.5,-,-,
松原 聖弥,巨,LF,17.0,1.7,1.7,-,0.0,0.0,-0.2,-,-,
松原 聖弥,巨,RF,17.3,0.6,0.7,-,-0.1,0.0,-0.1,-,-,
水野 達稀,日,SS,878.7,2.1,4.1,1.5,-,-3.5,7.2,-,-,
今宮 健太,ソ,SS,1071.7,11.7,9.4,-0.1,-,2.4,8.7,-,-,
岡 大海,ロ,LF,152.0,-5.3,-6.3,-,0.8,0.1,-1.4,-,-,
岡 大海,ロ,CF,325.3,-5.2,-4.6,-,-0.7,0.0,1.1,-,-,
岡 大海,ロ,RF,324.3,-2.5,-3.4,-,0.8,0.1,-1.3,-,-,
愛斗,ロ,LF,63.7,1.7,1.5,-,0.1,0.1,-0.6,-,-,
愛斗,ロ,CF,41.0,-3.1,-2.8,-,-0.4,0.0,0.1,-,-,
愛斗,ロ,RF,80.7,2.9,2.3,-,0.5,0.0,-0.3,-,-,
愛斗,ロ,DH,4.0,-,-,-,-,-,0.0,-,-,
中村 晃,ソ,1B,237.7,0.8,1.5,0.2,-,-0.9,-2.7,-,-,
中村 晃,ソ,LF,15.0,-0.6,-0.6,-,0.0,0.0,-0.1,-,-,
中村 晃,ソ,RF,13.0,-2.1,-1.8,-,-0.3,0.0,-0.1,-,-,
中村 晃,ソ,DH,52.0,-,-,-,-,-,-0.6,-,-,
岩田 幸宏,ヤ,LF,23.0,1.2,1.3,-,-0.1,0.0,-0.2,-,-,
岩田 幸宏,ヤ,CF,310.7,-1.5,0.0,-,-1.6,0.0,1.0,-,-,
岩田 幸宏,ヤ,RF,10.0,-0.2,-0.3,-,0.1,0.0,0.0,-,-,
上本 崇司,広,2B,18.0,-0.3,0.2,0.1,-,-0.6,0.0,-,-,
上本 崇司,広,3B,34.0,1.1,0.8,0.0,-,0.3,-0.1,-,-,
上本 崇司,広,LF,180.0,7.8,6.9,-,0.7,0.2,-1.7,-,-,
上本 崇司,広,CF,17.3,0.8,0.8,-,0.0,0.0,0.1,-,-,
上本 崇司,広,RF,17.7,0.1,-0.1,-,0.1,0.0,-0.1,-,-,
加藤 豪将,日,1B,47.0,0.0,-0.4,0.2,-,0.1,-0.5,-,-,
加藤 豪将,日,2B,17.0,-0.8,-0.8,-0.2,-,0.1,0.0,-,-,
加藤 豪将,日,3B,1.0,0.0,0.0,0.0,-,0.0,0.0,-,-,
加藤 豪将,日,DH,35.0,-,-,-,-,-,-0.4,-,-,
源田 壮亮,西,SS,1237.0,1.9,-1.3,-0.3,-,3.6,10.1,-,-,
田中 広輔,広,1B,110.3,1.0,0.6,0.0,-,0.3,-1.2,-,-,
田中 広輔,広,3B,89.3,2.3,2.0,0.0,-,0.2,-0.3,-,-,
辰見 鴻之介,楽,DH,8.0,-,-,-,-,-,-0.1,-,-,
島内 宏明,楽,LF,76.0,1.1,1.2,-,-0.2,0.1,-0.7,-,-,
島内 宏明,楽,DH,240.7,-,-,-,-,-,-2.9,-,-,
吉川 尚輝,巨,2B,1257.7,15.9,11.9,-0.6,-,4.6,3.4,-,-,
柴田 竜拓,デ,2B,13.7,-1.3,0.3,-0.3,-,-1.4,0.0,-,-,
