Team,G,W,L,T,PCT,GB,Home,Road,vsH,vsD,vsB,vsT,vsC,vsV,Int,
Fukuoka SoftBankHawks,119,71,41,7,.634,--,33-21(3),38-20(4),--,13-12(1),8-10(3),17-8(1),17-10(1),14-1(1),2-0,
ChunichiDragons,124,71,46,7,.607,2.5,40-17(5),31-29(2),12-13(1),--,13-11,17-9(3),13-10,16-1(3),0-2,
ORIXBuffaloes,119,58,53,8,.523,12.5,31-23(5),27-30(3),10-8(3),11-13,--,8-16(3),12-6(1),16-8(1),1-2,
HanshinTigers,130,61,57,12,.517,13.0,37-27(4),24-30(8),8-17(1),9-17(3),16-8(3),--,11-10(2),15-5(3),2-0,
Hiroshima ToyoCarp,118,51,62,5,.451,20.5,27-30(2),24-32(3),10-17(1),10-13,6-12(1),10-11(2),--,13-7,2-2(1),
Kufu HAYATEVentures Shizuoka,120,28,84,8,.250,43.0,17-42(4),11-42(4),1-14(1),1-16(3),8-16(1),5-15(3),7-13,--,6-10,
