PlayerNum,enPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
80,Okada Akinobu,Nov. 25 1957,,,Hanshin Tigers
21,Akiyama Takumi,https://npb.jp/bis/eng/players/51155131.html,Apr. 26 1991,188,101,R,L,,Hanshin Tigers
17,Aoyagi Koyo,https://npb.jp/bis/eng/players/71175132.html,Dec. 11 1993,183,83,R,R,,Hanshin Tigers
99,Beasley Jeremy,https://npb.jp/bis/eng/players/03905157.html,Nov. 20 1995,191,109,R,R,,Hanshin Tigers
00,Guerra Javy,https://npb.jp/bis/eng/players/33735159.html,Sep. 25 1995,183,86,R,L,,Hanshin Tigers
36,Hamachi Masumi,https://npb.jp/bis/eng/players/71675134.html,May 25 1998,185,88,R,R,,Hanshin Tigers
48,Ibaragi Hidetoshi,https://npb.jp/bis/eng/players/81185157.html,Jun. 8 2004,182,87,R,R,,Hanshin Tigers
63,Ishiguro Yuya,https://npb.jp/bis/eng/players/01105159.html,Jun. 20 2001,180,83,R,R,,Hanshin Tigers
69,Ishii Daichi,https://npb.jp/bis/eng/players/41145153.html,Jul. 29 1997,175,80,R,R,,Hanshin Tigers
27,Itoh Masashi,https://npb.jp/bis/eng/players/71375153.html,May 8 1996,178,87,L,L,,Hanshin Tigers
14,Iwasada Yuta,https://npb.jp/bis/eng/players/51355139.html,Sep. 5 1991,183,87,L,L,,Hanshin Tigers
93,Iwata Masaki,https://npb.jp/bis/eng/players/81385153.html,Jun. 16 1998,178,75,L,L,,Hanshin Tigers
13,Iwazaki Suguru,https://npb.jp/bis/eng/players/31335139.html,Jun. 19 1991,185,91,L,L,,Hanshin Tigers
54,Kajiya Ren,https://npb.jp/bis/eng/players/21525139.html,Nov. 25 1991,185,90,R,R,,Hanshin Tigers
92,Kawahara Riku,https://npb.jp/bis/eng/players/11715138.html,Dec. 12 2000,186,89,L,L,Registered(developmental player ->) (Jul. 22).,Hanshin Tigers
47,Kirishiki Takuma,https://npb.jp/bis/eng/players/01705155.html,Jun. 20 1999,179,94,L,L,,Hanshin Tigers
30,Mombetsu Keito,https://npb.jp/bis/eng/players/53355157.html,Jul. 10 2004,183,86,L,L,,Hanshin Tigers
20,Moriki Daichi,https://npb.jp/bis/eng/players/03305155.html,Apr. 17 2003,184,93,R,R,,Hanshin Tigers
41,Murakami Shoki,https://npb.jp/bis/eng/players/13315153.html,Jun. 25 1998,175,82,R,L,,Hanshin Tigers
15,Nishi Junya,https://npb.jp/bis/eng/players/91495151.html,Sep. 13 2001,184,94,R,R,,Hanshin Tigers
16,Nishi Yuki,https://npb.jp/bis/eng/players/71275118.html,Nov. 10 1990,181,82,R,R,,Hanshin Tigers
49,Ohtake Koutaro,https://npb.jp/bis/eng/players/41345136.html,Jun. 29 1995,184,87,L,L,,Hanshin Tigers
64,Okadome Hidetaka,https://npb.jp/bis/eng/players/11515155.html,Nov. 7 1999,181,94,R,R,,Hanshin Tigers
37,Oyokawa Masaki,https://npb.jp/bis/eng/players/91795151.html,Apr. 18 2001,184,81,L,L,,Hanshin Tigers
35,Saiki Hiroto,https://npb.jp/bis/eng/players/41745134.html,Nov. 7 1998,189,88,R,R,,Hanshin Tigers
98,Satoh Ren,https://npb.jp/bis/eng/players/81085153.html,Apr. 11 1998,189,103,R,R,Registered(developmental player ->) (Jul. 22).,Hanshin Tigers
26,Shiiba Tsuyoshi,https://npb.jp/bis/eng/players/21925159.html,Mar. 18 2002,182,92,R,R,,Hanshin Tigers
46,Shimamoto Hiroya,https://npb.jp/bis/eng/players/51055133.html,Feb. 14 1993,176,71,L,L,,Hanshin Tigers
19,Shimomura Kaito,https://npb.jp/bis/eng/players/61965159.html,Mar. 27 2002,174,73,R,R,,Hanshin Tigers
28,Suzuki Yuto,https://npb.jp/bis/eng/players/01005155.html,Mar. 17 2000,174,86,L,L,,Hanshin Tigers
29,Takahashi Haruto,https://npb.jp/bis/eng/players/91095136.html,Nov. 7 1995,181,79,L,L,Registered(developmental player ->) (Jul. 22).,Hanshin Tigers
50,Tomida Ren,https://npb.jp/bis/eng/players/51255157.html,Sep. 6 2001,174,76,L,L,,Hanshin Tigers
66,Tsuda Junya,https://npb.jp/bis/eng/players/11415159.html,Aug. 27 2001,178,83,R,R,,Hanshin Tigers
34,Urushihara Taisei,https://npb.jp/bis/eng/players/11315138.html,Sep. 10 1996,182,85,R,L,,Hanshin Tigers
65,Yuasa Atsuki,https://npb.jp/bis/eng/players/41845138.html,Jul. 17 1999,183,82,R,R,,Hanshin Tigers
59,Fujita Kento,https://npb.jp/bis/eng/players/91695151.html,Oct. 18 2001,173,80,R,R,,Hanshin Tigers
95,Katayama Yuya,https://npb.jp/bis/eng/players/01505138.html,Jun. 18 1994,177,84,R,L,,Hanshin Tigers
57,Nagasaka Kenya,https://npb.jp/bis/eng/players/91495134.html,Apr. 28 1994,173,80,R,R,,Hanshin Tigers
