PlayerNum,jpPlayer,Link,BirthDate,Height,Weight,T,B,Note,Team
6,金本　知憲,1968.04.03,,,Hanshin Tigers
13,岡本　洋介,https://npb.jp/bis/players/31535131.html,1985.09.27,177,80,右,右,3/16 西武より移籍,Hanshin Tigers
13,榎田　大樹,https://npb.jp/bis/players/01305133.html,1986.08.07,181,89,左,左,3/16 西武へ移籍,Hanshin Tigers
14,能見　篤史,https://npb.jp/bis/players/61065110.html,1979.05.28,180,72,左,左,,Hanshin Tigers
15,横山　雄哉,https://npb.jp/bis/players/53155130.html,1994.02.21,183,82,左,左,,Hanshin Tigers
17,岩貞　祐太,https://npb.jp/bis/players/51355139.html,1991.09.05,183,82,左,左,,Hanshin Tigers
18,馬場　皐輔,https://npb.jp/bis/players/41445136.html,1995.05.18,180,90,右,右,,Hanshin Tigers
19,藤浪　晋太郎,https://npb.jp/bis/players/41045137.html,1994.04.12,197,94,右,右,,Hanshin Tigers
21,岩田　稔,https://npb.jp/bis/players/51355112.html,1983.10.31,179,92,左,左,,Hanshin Tigers
22,藤川　球児,https://npb.jp/bis/players/71073888.html,1980.07.21,185,85,右,左,,Hanshin Tigers
26,呂　彦青,https://npb.jp/bis/players/03705136.html,1996.03.10,178,72,左,左,,Hanshin Tigers
27,尾仲　祐哉,https://npb.jp/bis/players/61365134.html,1995.01.31,173,72,右,左,,Hanshin Tigers
28,小野　泰己,https://npb.jp/bis/players/81385134.html,1994.05.30,186,73,右,右,,Hanshin Tigers
29,髙橋　遥人,https://npb.jp/bis/players/91095136.html,1995.11.07,180,78,左,左,,Hanshin Tigers
30,石崎　剛,https://npb.jp/bis/players/81185130.html,1990.09.09,183,92,右,右,,Hanshin Tigers
34,谷川　昌希,https://npb.jp/bis/players/31235136.html,1992.10.06,175,79,右,右,,Hanshin Tigers
35,才木　浩人,https://npb.jp/bis/players/41745134.html,1998.11.07,189,80,右,右,,Hanshin Tigers
36,浜地　真澄,https://npb.jp/bis/players/71675134.html,1998.05.25,185,89,右,右,,Hanshin Tigers
38,マテオ,https://npb.jp/bis/players/83785132.html,1984.04.18,188,107,右,右,,Hanshin Tigers
40,福永　春吾,https://npb.jp/bis/players/01605134.html,1994.05.14,185,93,右,左,,Hanshin Tigers
41,髙橋　聡文,https://npb.jp/bis/players/71975115.html,1983.05.29,176,89,左,左,,Hanshin Tigers
42,竹安　大知,https://npb.jp/bis/players/21025132.html,1994.09.27,183,83,右,右,,Hanshin Tigers
43,守屋　功輝,https://npb.jp/bis/players/51855130.html,1993.11.25,184,87,右,右,,Hanshin Tigers
45,藤谷　洸介,https://npb.jp/bis/players/41645134.html,1996.02.12,194,92,右,右,,Hanshin Tigers
46,秋山　拓巳,https://npb.jp/bis/players/51155131.html,1991.04.26,188,95,右,左,,Hanshin Tigers
47,山本　翔也,https://npb.jp/bis/players/81485139.html,1988.10.12,183,93,左,左,,Hanshin Tigers
48,モレノ,https://npb.jp/bis/players/73775136.html,1987.07.21,185,81,右,右,,Hanshin Tigers
50,青柳　晃洋,https://npb.jp/bis/players/71175132.html,1993.12.11,183,83,右,右,,Hanshin Tigers
54,メッセンジャー,https://npb.jp/bis/players/93195131.html,1981.08.13,198,121,右,右,,Hanshin Tigers
56,松田　遼馬,https://npb.jp/bis/players/01605135.html,1994.02.08,184,89,右,右,,Hanshin Tigers
61,望月　惇志,https://npb.jp/bis/players/81885132.html,1997.08.02,190,89,右,右,,Hanshin Tigers
64,桑原　謙太朗,https://npb.jp/bis/players/31735116.html,1985.10.29,184,85,右,右,,Hanshin Tigers
66,牧　丈一郎,https://npb.jp/bis/players/81685136.html,1999.09.23,181,81,右,左,,Hanshin Tigers
67,岩崎　優,https://npb.jp/bis/players/31335139.html,1991.06.19,185,89,左,左,,Hanshin Tigers
69,島本　浩也,https://npb.jp/bis/players/51055133.html,1993.02.14,176,74,左,左,,Hanshin Tigers
92,伊藤　和雄,https://npb.jp/bis/players/41145135.html,1989.12.13,186,96,右,右,,Hanshin Tigers
98,ドリス,https://npb.jp/bis/players/03505132.html,1988.01.10,195,109,右,右,,Hanshin Tigers
12,坂本　誠志郎,https://npb.jp/bis/players/11915132.html,1993.11.10,176,78,右,右,,Hanshin Tigers
