#,Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs G,vs T,vs DB,vs C,vs S,vs D,Inter
,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,143,77,59,7,0.566,--,462,381,81,0.587,39-30(3),38-29(4),--,12-12(1),16-8(1),13-9(3),13-12,15-9(1),8-9(1)
,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,143,74,63,6,0.540,3.5,485,420,65,0.565,43-27(2),31-36(4),12-12(1),--,13-11(1),12-12(1),15-10,15-7(3),7-11
,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,143,71,69,3,0.507,8.0,522,503,19,0.517,34-37(1),37-32(2),8-16(1),11-13(1),--,11-14,15-10,15-9(1),11-7
,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,143,68,70,5,0.493,10.0,415,419,-4,0.496,39-29(3),29-41(2),9-13(3),12-12(1),14-11,--,15-10,8-16(1),10-8
,<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,143,62,77,4,0.446,16.5,506,556,-50,0.457,34-33(4),28-44,12-13,10-15,10-15,10-15,--,11-12(2),9-7(2)
,<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,143,60,75,8,0.444,16.5,373,478,-105,0.388,35-32(4),25-43(4),9-15(1),7-15(3),9-15(1),16-8(1),12-11(2),--,7-11
