Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/03505136.html>Soto Neftali</a>,35,1,R,132,542,491,43,132,22,2,21,221,88,0,0,0,4,136,42,2,5,19,0.269,0.330,0.450,0.780,137,0.181,0.328,36.7%,25.1%,7.7%,0.31,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,<a href=https://npb.jp/bis/eng/players/31335131.html>Imamiya Kenta</a>,32,1,R,133,538,462,60,121,25,4,6,172,39,1,0,25,2,87,46,2,3,9,0.262,0.331,0.372,0.703,115,0.110,0.310,25.8%,16.2%,8.6%,0.53,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/41745135.html>Kondoh Kensuke</a>,30,1,L,129,535,436,66,137,29,2,19,227,72,11,1,0,1,76,92,11,6,10,0.314,0.439,0.521,0.960,192,0.207,0.345,35.0%,14.2%,17.2%,1.21,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/01705130.html>Kurihara Ryoya</a>,27,1,L,140,598,527,74,144,40,2,20,248,87,2,1,10,7,99,49,1,5,10,0.273,0.337,0.471,0.808,145,0.198,0.299,28.1%,16.6%,8.2%,0.49,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21925136.html>Shuto Ukyo</a>,28,1,L,123,477,428,63,115,15,5,2,146,26,41,13,10,3,90,26,0,10,4,0.269,0.323,0.341,0.664,104,0.072,0.333,24.7%,18.9%,5.5%,0.29,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/21425139.html>Yamakawa Hotaka</a>,32,1,R,143,611,550,66,136,26,1,34,266,99,0,0,0,3,158,48,3,10,17,0.247,0.318,0.484,0.802,142,0.237,0.283,39.3%,25.9%,7.9%,0.30,<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank</a>,PL
,<a href=https://npb.jp/bis/eng/players/51155118.html>Asamura Hideto</a>,33,1,R,143,552,471,51,119,19,0,14,180,60,1,2,0,9,101,68,4,4,12,0.253,0.346,0.382,0.728,129,0.129,0.288,33.2%,18.3%,12.3%,0.67,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965151.html>Kobukata Hiroto</a>,28,1,L,134,522,450,50,103,9,4,3,129,23,29,10,25,3,84,42,0,2,5,0.229,0.296,0.287,0.583,84,0.058,0.273,24.7%,16.1%,8.0%,0.50,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/41845132.html>Murabayashi Itsuki</a>,26,1,R,139,571,518,51,125,13,3,6,162,50,5,1,23,7,91,21,0,2,11,0.241,0.270,0.313,0.583,82,0.072,0.278,20.7%,15.9%,3.7%,0.23,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81385138.html>Ogoh Yuya</a>,27,1,L,143,642,565,64,145,24,6,7,202,49,32,5,1,5,120,68,3,3,6,0.257,0.337,0.358,0.695,119,0.101,0.312,30.4%,18.7%,10.6%,0.57,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81985135.html>Suzuki Daichi</a>,34,1,L,123,460,406,41,108,11,5,4,141,41,0,0,15,3,43,23,0,13,4,0.266,0.324,0.347,0.671,111,0.081,0.287,15.2%,9.3%,5.0%,0.53,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015138.html>Tatsumi Ryosuke</a>,27,1,L,143,597,537,68,158,22,12,7,225,58,20,2,2,6,108,44,2,8,10,0.294,0.353,0.419,0.772,142,0.125,0.353,26.6%,18.1%,7.4%,0.41,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/71775134.html>Genda Sosuke</a>,31,1,L,143,577,522,41,138,15,7,3,176,21,12,4,20,2,75,32,2,1,4,0.264,0.307,0.337,0.644,100,0.073,0.303,19.1%,13.0%,5.5%,0.43,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/41245130.html>Tonosaki Shuta</a>,31,1,R,127,500,436,41,99,25,1,7,147,41,11,3,6,3,88,45,4,10,15,0.227,0.312,0.337,0.649,102,0.110,0.267,28.0%,17.6%,9.0%,0.51,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/21925151.html>Gunji Yuya</a>,26,1,R,127,495,441,52,113,14,0,12,163,49,2,2,6,4,71,40,1,4,6,0.256,0.321,0.370,0.691,110,0.114,0.279,24.8%,14.3%,8.1%,0.56,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,24,1,R,136,556,508,60,128,34,0,18,216,60,2,3,1,3,120,39,3,5,13,0.252,0.310,0.425,0.735,122,0.173,0.295,31.8%,21.6%,7.0%,0.32,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73975136.html>Martinez Ariel</a>,28,1,R,126,459,393,42,92,20,4,13,159,57,2,1,0,4,101,51,3,11,12,0.234,0.336,0.405,0.741,124,0.171,0.279,35.9%,22.0%,11.1%,0.50,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625135.html>Matsumoto Go</a>,30,1,R,127,486,437,46,103,18,1,1,126,19,20,8,17,4,52,24,2,4,17,0.236,0.279,0.288,0.567,74,0.052,0.263,15.8%,10.7%,4.9%,0.46,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
