Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/61965151.html>Kobukata Hiroto</a>,28,4,L,134,522,450,50,103,9,4,3,129,23,29,10,25,3,84,42,0,2,5,0.229,0.296,0.287,0.583,84,0.058,0.273,24.7%,16.1%,8.0%,0.50,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/21725159.html>Koja Tatsuki</a>,22,1,L,15,3,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/01905151.html>Kurokawa Fumiya</a>,23,4,L,22,60,56,8,13,1,0,1,17,8,0,0,0,0,12,4,0,0,2,0.232,0.283,0.304,0.587,85,0.072,0.279,28.3%,20.0%,6.7%,0.33,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/61865132.html>Mogi Eigoro</a>,30,3,L,46,75,68,6,18,4,1,1,27,8,0,0,1,1,13,5,0,0,0,0.265,0.311,0.397,0.708,122,0.132,0.309,25.3%,17.3%,6.7%,0.38,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/41845132.html>Murabayashi Itsuki</a>,26,6,R,139,571,518,51,125,13,3,6,162,50,5,1,23,7,91,21,0,2,11,0.241,0.270,0.313,0.583,82,0.072,0.278,20.7%,15.9%,3.7%,0.23,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/01805151.html>Mutoh Atsuki</a>,23,7,L,7,5,5,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0.200,0.200,0.200,0.400,25,0.000,0.333,40.0%,40.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/21425159.html>Nakashima Daisuke</a>,23,7,L,37,128,123,18,28,8,1,1,41,10,1,0,0,0,21,2,0,3,2,0.228,0.258,0.333,0.591,85,0.105,0.267,18.8%,16.4%,1.6%,0.10,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81385138.html>Ogoh Yuya</a>,27,9,L,143,642,565,64,145,24,6,7,202,49,32,5,1,5,120,68,3,3,6,0.257,0.337,0.358,0.695,119,0.101,0.312,30.4%,18.7%,10.6%,0.57,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/71375138.html>Ohta Hikaru</a>,27,2,R,94,269,230,23,45,10,3,2,67,23,2,0,23,1,58,13,1,2,1,0.196,0.244,0.291,0.535,67,0.095,0.251,27.1%,21.6%,4.8%,0.22,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/21325135.html>Okajima Takero</a>,34,7,L,31,93,80,6,16,1,1,1,22,6,0,1,1,0,15,11,1,1,3,0.200,0.304,0.275,0.579,82,0.075,0.234,29.0%,16.1%,11.8%,0.73,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/83085155.html>Ponce Cody</a>,30,1,R,15,4,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/71975135.html>Shimauchi Hiroaki</a>,34,DH,L,40,154,131,8,28,3,1,0,33,12,0,0,0,3,16,16,0,3,4,0.214,0.307,0.252,0.559,76,0.038,0.237,20.8%,10.4%,10.4%,1.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/81985135.html>Suzuki Daichi</a>,34,3,L,123,460,406,41,108,11,5,4,141,41,0,0,15,3,43,23,0,13,4,0.266,0.324,0.347,0.671,111,0.081,0.287,15.2%,9.3%,5.0%,0.53,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015157.html>Taira Ryuya</a>,25,7,R,18,24,21,4,3,0,0,0,3,3,0,1,1,0,3,2,0,0,0,0.143,0.217,0.143,0.360,13,0.000,0.167,20.8%,12.5%,8.3%,0.67,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215134.html>Tanaka Kazuki</a>,29,7,S,68,34,31,8,4,1,0,0,5,1,0,0,3,0,9,0,0,0,0,0.129,0.129,0.161,0.290,-11,0.032,0.182,26.5%,26.5%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/31235130.html>Tanaka Takaya</a>,31,2,L,17,12,10,0,1,0,0,0,1,0,0,0,0,0,4,2,0,0,1,0.100,0.250,0.100,0.350,11,0.000,0.167,50.0%,33.3%,16.7%,0.50,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/71075157.html>Tatsumi Konosuke</a>,23,DH,R,2,3,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,66.7%,66.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015138.html>Tatsumi Ryosuke</a>,27,8,L,143,597,537,68,158,22,12,7,225,58,20,2,2,6,108,44,2,8,10,0.294,0.353,0.419,0.772,142,0.125,0.353,26.6%,18.1%,7.4%,0.41,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555153.html>Uchi Seiryu</a>,22,1,L,20,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,75.0%,75.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175138.html>Watanabe Yoshiaki</a>,27,7,L,47,154,136,9,34,2,0,0,36,11,0,0,5,2,26,11,1,0,3,0.250,0.302,0.265,0.567,79,0.015,0.304,24.0%,16.9%,7.1%,0.42,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/13115130.html>Yamada Haruka</a>,27,UTL,R,25,27,25,2,4,2,0,0,6,1,0,0,0,0,10,2,0,0,0,0.160,0.222,0.240,0.462,44,0.080,0.267,44.4%,37.0%,7.4%,0.20,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/73175136.html>Yamasaki Tsuyoshi</a>,28,6,L,5,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,16.7%,16.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/43345155.html>Yasuda Yuma</a>,24,DH,L,34,128,122,12,32,6,0,2,44,9,0,0,0,0,38,6,0,0,1,0.262,0.297,0.361,0.658,106,0.099,0.366,35.9%,29.7%,4.7%,0.16,<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten</a>,PL
,<a href=https://npb.jp/bis/eng/players/53555159.html>Aguilar Jesus</a>,34,3,R,30,124,113,7,23,5,0,2,34,10,0,0,0,0,31,9,0,2,3,0.204,0.274,0.301,0.575,79,0.097,0.262,33.9%,25.0%,7.3%,0.29,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/53755159.html>Cordero Franchy</a>,29,7,L,23,73,70,5,9,2,0,1,14,4,0,0,0,1,24,2,0,0,0,0.129,0.151,0.200,0.351,8,0.071,0.174,37.0%,32.9%,2.7%,0.08,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/91895155.html>Furuichi Takeru</a>,22,2,R,6,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/83585159.html>Garcia Anthony</a>,23,DH,S,19,69,61,3,8,5,0,1,16,4,0,0,0,0,26,7,1,1,2,0.131,0.232,0.262,0.494,54,0.131,0.206,49.3%,37.7%,10.1%,0.27,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/71775134.html>Genda Sosuke</a>,31,6,L,143,577,522,41,138,15,7,3,176,21,12,4,20,2,75,32,2,1,4,0.264,0.307,0.337,0.644,100,0.073,0.303,19.1%,13.0%,5.5%,0.43,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/81685153.html>Hasegawa Shinya</a>,22,9,R,72,239,208,13,38,4,1,2,50,8,10,2,5,0,41,19,0,7,4,0.183,0.274,0.240,0.514,61,0.057,0.218,25.9%,17.2%,7.9%,0.46,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/91695134.html>Hirai Katsunori</a>,32,1,R,13,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/01605132.html>Hiranuma Shota</a>,26,UTL,L,45,144,132,12,35,9,0,0,44,9,0,0,2,0,23,8,0,2,2,0.265,0.317,0.333,0.650,102,0.068,0.321,21.5%,16.0%,5.6%,0.35,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/61665157.html>Hiruma Takuya</a>,23,9,L,63,232,214,16,47,8,1,1,60,16,3,1,3,1,43,9,0,5,3,0.220,0.266,0.280,0.546,70,0.060,0.269,22.8%,18.5%,3.9%,0.21,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/31335134.html>Imai Tatsuya</a>,26,1,R,25,4,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.000,0.250,0.000,0.250,-18,0.000,0.000,50.0%,25.0%,25.0%,1.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/01505137.html>Kaneko Yuji</a>,34,7,S,37,141,128,14,27,1,0,2,34,8,3,2,1,0,23,12,0,0,1,0.211,0.279,0.266,0.545,70,0.055,0.243,26.2%,16.3%,8.5%,0.52,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51955151.html>Kishi Junichiro</a>,27,7,R,98,311,287,25,62,9,2,6,93,25,4,5,7,0,50,14,0,3,7,0.216,0.260,0.324,0.584,81,0.108,0.242,22.5%,16.1%,4.5%,0.28,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755157.html>Kodama Ryosuke</a>,25,5,R,32,58,50,3,9,2,2,0,15,2,5,0,2,0,9,5,0,1,2,0.180,0.268,0.300,0.568,77,0.120,0.220,24.1%,15.5%,8.6%,0.56,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/81785155.html>Koga Yuto</a>,24,2,R,105,279,246,16,56,3,1,3,70,12,0,0,13,0,58,20,0,0,8,0.228,0.286,0.285,0.571,78,0.057,0.286,29.0%,20.8%,7.2%,0.34,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755115.html>Kuriyama Takumi</a>,40,DH,L,60,154,124,8,28,7,1,1,40,12,0,0,0,2,23,26,1,2,1,0.226,0.364,0.323,0.687,115,0.097,0.265,32.5%,14.9%,16.9%,1.13,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
