Rank,Player,Age,Pos,B,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
,<a href=https://npb.jp/bis/eng/players/21825138.html>Yamanobe Kakeru</a>,30,UTL,R,50,90,80,10,17,3,1,0,22,0,6,1,5,0,17,5,0,0,1,0.213,0.259,0.275,0.534,66,0.062,0.270,24.4%,18.9%,5.6%,0.29,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/11615139.html>Yohkawa Naomasa</a>,32,3,R,11,33,30,0,4,0,0,0,4,2,0,0,0,0,7,2,0,1,0,0.133,0.212,0.133,0.345,8,0.000,0.174,27.3%,21.2%,6.1%,0.29,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/63165136.html>Yoza Kaito</a>,28,1,R,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-101,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu</a>,PL
,<a href=https://npb.jp/bis/eng/players/31135130.html>Asama Daiki</a>,28,8,L,49,126,109,16,30,4,1,1,39,11,4,2,4,2,35,9,0,2,0,0.275,0.336,0.358,0.694,112,0.083,0.387,35.7%,27.8%,7.1%,0.26,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21325130.html>Egoshi Taiga</a>,31,7,R,19,10,10,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,70.0%,70.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51655151.html>Fukuda Koki</a>,26,4,L,5,14,14,1,5,2,0,0,7,2,0,0,0,0,4,0,0,0,0,0.357,0.357,0.500,0.857,158,0.143,0.500,28.6%,28.6%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/01805153.html>Furukawa Yudai</a>,26,3,L,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0.000,0.333,0.000,0.333,10,0.000,,100.0%,66.7%,33.3%,0.50,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61065137.html>Fushimi Torai</a>,34,2,R,62,184,165,9,40,5,0,0,45,21,0,0,12,1,26,4,0,2,3,0.242,0.267,0.273,0.540,65,0.031,0.286,16.3%,14.1%,2.2%,0.15,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21925151.html>Gunji Yuya</a>,26,5,R,127,495,441,52,113,14,0,12,163,49,2,2,6,4,71,40,1,4,6,0.256,0.321,0.370,0.691,110,0.114,0.279,24.8%,14.3%,8.1%,0.56,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61865153.html>Hosokawa Ryohei</a>,22,UTL,L,51,64,54,4,12,1,0,0,13,5,3,1,4,2,11,4,0,0,0,0.222,0.267,0.241,0.508,56,0.019,0.267,23.4%,17.2%,6.2%,0.36,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61865159.html>Hosono Haruki</a>,22,1,L,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21325153.html>Imagawa Yuma</a>,27,7,R,6,19,19,1,4,1,0,0,5,0,0,2,0,0,5,0,0,0,0,0.211,0.211,0.263,0.474,45,0.052,0.286,26.3%,26.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21125134.html>Ishii Kazunari</a>,30,4,L,68,219,197,20,46,11,1,4,71,18,2,3,9,0,42,12,0,1,2,0.234,0.281,0.360,0.641,94,0.126,0.278,26.5%,19.2%,5.5%,0.29,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11315153.html>Isobata Ryota</a>,25,7,L,94,127,112,38,18,2,1,0,22,3,18,9,8,0,34,6,0,1,1,0.161,0.210,0.196,0.406,25,0.035,0.231,31.5%,26.8%,4.7%,0.18,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51355153.html>Itoh Hiromi</a>,26,1,L,26,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.250,0.250,0.250,0.500,53,0.000,0.333,25.0%,25.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/01505155.html>Kamikawabata Daigo</a>,27,4,L,106,305,258,25,64,4,2,1,75,16,5,0,18,1,40,22,0,6,4,0.248,0.321,0.291,0.612,87,0.043,0.289,20.7%,13.1%,7.2%,0.55,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51555157.html>Kanemura Shoma</a>,23,1,R,29,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/81385157.html>Katoh Gosuke</a>,29,3,L,28,63,58,1,10,1,0,0,11,1,0,0,0,0,11,5,0,0,1,0.172,0.238,0.190,0.428,33,0.018,0.213,25.4%,17.5%,7.9%,0.45,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/41545132.html>Katoh Takayuki</a>,32,1,L,27,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51755155.html>Kitayama Koki</a>,25,1,R,14,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,50.0%,50.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/41545136.html>Kiyomiya Kotaro</a>,25,3,L,89,329,290,43,87,18,1,15,152,51,1,3,0,3,62,31,3,5,5,0.300,0.374,0.524,0.898,171,0.224,0.333,32.8%,18.8%,9.4%,0.50,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11815138.html>Mannami Chusei</a>,24,9,R,136,556,508,60,128,34,0,18,216,60,2,3,1,3,120,39,3,5,13,0.252,0.310,0.425,0.735,122,0.173,0.295,31.8%,21.6%,7.0%,0.32,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73975136.html>Martinez Ariel</a>,28,3,R,126,459,393,42,92,20,4,13,159,57,2,1,0,4,101,51,3,11,12,0.234,0.336,0.405,0.741,124,0.171,0.279,35.9%,22.0%,11.1%,0.50,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21625135.html>Matsumoto Go</a>,30,8,R,127,486,437,46,103,18,1,1,126,19,20,8,17,4,52,24,2,4,17,0.236,0.279,0.288,0.567,74,0.052,0.263,15.8%,10.7%,4.9%,0.46,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/83185159.html>Miyazaki Kazuki</a>,22,7,R,4,6,5,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0.200,0.333,0.200,0.533,66,0.000,0.333,50.0%,33.3%,16.7%,0.50,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/63165155.html>Mizuno Tatsuki</a>,23,6,L,105,359,332,30,73,8,8,7,118,37,9,5,12,1,81,13,1,1,2,0.220,0.251,0.355,0.606,83,0.135,0.269,28.1%,22.6%,3.6%,0.16,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31835138.html>Mizutani Shun</a>,23,7,R,97,353,327,41,94,18,3,9,145,39,4,1,1,1,79,21,2,3,3,0.287,0.335,0.443,0.778,135,0.156,0.354,30.9%,22.4%,5.9%,0.27,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/23925159.html>Murphy Patrick</a>,29,1,R,40,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11215118.html>Nakashima Takuya</a>,33,4,L,46,41,39,12,8,1,0,0,9,2,4,4,0,0,9,2,0,0,0,0.205,0.244,0.231,0.475,47,0.026,0.267,26.8%,22.0%,4.9%,0.22,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31435157.html>Narama Taiki</a>,24,UTL,R,90,150,139,10,25,4,0,0,29,7,2,0,8,1,39,2,0,0,2,0.180,0.190,0.209,0.399,22,0.029,0.248,27.3%,26.0%,1.3%,0.05,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/31435138.html>Nomura Yuki</a>,24,UTL,R,56,152,143,8,30,7,1,2,45,9,2,0,0,1,28,7,1,1,4,0.210,0.250,0.315,0.565,72,0.105,0.246,24.3%,18.4%,4.6%,0.25,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73075159.html>Reyes Franmil</a>,28,DH,R,103,368,335,39,97,15,1,25,189,65,0,0,0,2,90,31,4,0,9,0.290,0.348,0.564,0.912,174,0.274,0.324,39.7%,24.5%,8.4%,0.34,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61965130.html>Shimizu Yushi</a>,28,2,R,12,15,14,1,2,1,0,0,3,1,0,0,1,0,5,0,0,0,0,0.143,0.143,0.214,0.357,9,0.071,0.222,33.3%,33.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11015159.html>Shinto Yuya</a>,22,2,R,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,66.7%,66.7%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/63765159.html>Stevenson Andrew</a>,30,7,L,24,63,62,3,10,2,0,0,12,0,1,2,0,0,24,1,0,0,5,0.161,0.175,0.194,0.369,14,0.033,0.263,39.7%,38.1%,1.6%,0.04,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/61065151.html>Suzuki Kenya</a>,26,1,L,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,,100.0%,100.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/51055138.html>Tamiya Yua</a>,24,2,L,109,349,307,28,85,12,2,3,110,30,10,4,11,3,71,21,1,7,10,0.277,0.334,0.358,0.692,111,0.081,0.347,27.2%,20.3%,6.0%,0.30,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/11515151.html>Umebayashi Yuki</a>,26,2,R,3,5,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0.000,0.000,0.000,0.000,-97,0.000,0.000,60.0%,60.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/21825130.html>Yamasaki Sachiya</a>,31,1,L,24,7,6,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0.167,0.286,0.167,0.453,42,0.000,0.167,14.3%,0.0%,14.3%,1.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
,<a href=https://npb.jp/bis/eng/players/73375157.html>Yazawa Kota</a>,23,7,L,28,19,18,0,2,0,0,0,2,0,0,0,1,0,5,0,0,0,1,0.111,0.111,0.111,0.222,-30,0.000,0.154,26.3%,26.3%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham</a>,PL
