Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs B,vs H,vs L,vs E,vs M,vs F,Inter
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,143,76,65,2,0.539,--,490,458,32,0.531,37-34,39-31(2),--,15-10,11-14,11-13(1),16-9,15-9(1),8-10
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,143,76,65,2,0.539,0.0,555,471,84,0.575,40-32,36-33(2),10-15,--,14-10(1),15-10,15-10,13-11(1),9-9
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,143,72,68,3,0.514,3.5,464,448,16,0.516,41-29(2),31-39(1),14-11,10-14(1),--,15-9(1),11-14,13-11(1),9-9
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,143,69,71,3,0.493,6.5,533,522,11,0.510,30-40(1),39-31(2),13-11(1),10-15,9-15(1),--,12-12(1),16-9,9-9
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,143,69,73,1,0.486,7.5,501,536,-35,0.469,34-36(1),35-37,9-16,10-15,14-11,12-12(1),--,14-11,10-8
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,143,59,81,3,0.421,16.5,463,534,-71,0.435,34-35(3),25-46,9-15(1),11-13(1),11-13(1),9-16,11-14,--,8-10
