Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,Team,League
Akiyama Takumi,5,1,3,0,0,0,0,101,23.0,29,1,15,3,0,0,1,15,14,5.48,2.76,3.61,1.39,58,77,100,2.72,1.0%,14.9%,3.0%,11.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Alcantara Raul,39,1,3,1,17,0,0,156,38.1,38,5,29,8,0,1,0,21,20,4.70,3.99,3.45,1.20,68,112,96,0.71,3.2%,18.6%,5.1%,13.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Aoyagi Koyo,24,13,4,0,0,4,2,644,162.1,126,7,132,32,4,8,0,46,37,2.05,2.78,3.25,0.97,156,78,90,-0.73,1.1%,20.5%,5.0%,15.5%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Baba Kosuke,7,0,1,0,0,0,0,36,7.0,12,1,7,3,2,0,2,4,4,5.14,4.25,3.69,2.14,62,119,102,0.89,2.8%,19.4%,8.3%,11.1%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Fujinami Shintaro,16,3,5,0,0,0,0,276,66.2,58,6,65,21,1,3,5,28,25,3.38,3.40,3.21,1.19,95,95,89,-0.02,2.2%,23.6%,7.6%,16.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Gunkel Joe,16,5,5,0,0,1,0,372,92.1,80,6,52,16,1,3,1,32,28,2.73,3.44,3.83,1.04,117,96,106,-0.71,1.6%,14.0%,4.3%,9.7%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Hamachi Masumi,52,1,3,0,21,0,0,181,47.1,38,3,38,5,1,0,0,9,6,1.14,2.64,2.98,0.91,281,74,83,-1.50,1.7%,21.0%,2.8%,18.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Ishii Daichi,18,0,1,0,0,0,0,94,24.0,11,2,24,9,2,2,2,4,2,0.75,3.56,3.20,0.83,427,100,89,-2.81,2.1%,25.5%,9.6%,15.9%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Itoh Masashi,20,9,5,0,0,6,2,539,136.2,119,10,92,22,3,2,1,45,40,2.63,3.23,3.50,1.03,122,90,97,-0.60,1.9%,17.1%,4.1%,13.0%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwasada Yuta,53,2,1,0,11,0,0,176,42.0,34,1,38,12,1,2,1,16,12,2.57,2.60,3.32,1.10,125,73,92,-0.03,0.6%,21.6%,6.8%,14.8%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Iwazaki Suguru,57,1,6,28,11,0,0,239,55.0,63,1,44,10,1,2,0,16,12,1.96,2.39,3.38,1.33,163,67,94,-0.43,0.4%,18.4%,4.2%,14.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Kajiya Ren,39,0,2,0,7,0,0,128,29.2,26,1,30,13,2,1,1,8,8,2.43,2.93,3.47,1.31,132,82,96,-0.50,0.8%,23.4%,10.2%,13.2%,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
