Team,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,68,71,32,127,15,7,5201,1281.0,1126,83,1047,288,32,40,21,428,380,2.67,3.08,3.34,1.10,120,86,92.8,-0.41,1.6%,20.1%,5.5%,14.6%,CL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,66,74,32,105,7,5,5455,1280.1,1259,127,1024,407,26,53,26,544,504,3.54,3.87,3.67,1.30,89,110,101.9,-0.33,2.3%,18.8%,7.5%,11.3%,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,73,68,42,121,4,3,5359,1274.0,1171,123,1045,408,26,58,37,534,492,3.48,3.81,3.61,1.24,97,101,100.3,-0.34,2.3%,19.5%,7.6%,11.9%,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,68,72,40,113,4,2,5417,1274.0,1220,123,975,414,13,65,24,589,524,3.70,3.96,3.76,1.28,90,106,104.6,-0.25,2.3%,18.0%,7.6%,10.4%,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,80,59,41,123,4,3,5460,1294.2,1265,141,979,390,30,59,39,566,509,3.54,4.05,3.72,1.28,97,105,103.4,-0.51,2.6%,17.9%,7.1%,10.8%,CL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,66,75,42,119,7,3,5263,1272.0,1114,92,1050,393,26,50,29,495,463,3.28,3.44,3.55,1.18,94,100,98.7,-0.16,1.7%,20.0%,7.5%,12.5%,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,76,65,43,126,9,5,5274,1281.1,1113,88,1175,375,13,56,28,458,404,2.84,3.17,3.28,1.16,112,90,91.2,-0.33,1.7%,22.3%,7.1%,15.2%,PL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,69,73,38,123,3,2,5368,1274.2,1212,116,1022,413,28,44,47,536,484,3.42,3.76,3.67,1.27,99,99,101.8,-0.34,2.2%,19.0%,7.7%,11.3%,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,76,65,35,124,8,6,5260,1278.0,1028,115,1176,474,15,46,23,471,436,3.07,3.65,3.47,1.18,105,102,96.3,-0.58,2.2%,22.4%,9.0%,13.3%,PL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,69,71,35,104,3,1,5323,1279.2,1161,123,1018,401,10,42,35,522,493,3.47,3.80,3.64,1.22,95,103,101.1,-0.33,2.3%,19.1%,7.5%,11.6%,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,72,68,44,121,2,1,5260,1273.1,1070,81,984,436,17,65,36,448,389,2.75,3.56,3.76,1.18,120,97,104.4,-0.82,1.5%,18.7%,8.3%,10.4%,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,59,81,25,102,9,5,5322,1266.0,1161,92,1014,422,12,60,38,534,487,3.46,3.59,3.69,1.25,93,100,102.4,-0.13,1.7%,19.1%,7.9%,11.1%,PL
League Average,70,70,37,117,6,4,5330,1277.0,1158,109,1042,402,21,53,32,510,464,3.27,3.65,3.60,1.22,100,100,100.0,-0.38,2.0%,19.5%,7.5%,12.0%,
