Team,G,W,L,T,PCT,GB,RS,RA,Diff,XPCT,Home,Road,vs S,vs DB,vs T,vs G,vs C,vs D,Inter
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,143,80,59,4,0.576,--,619,566,53,0.541,37-34,43-25(4),--,16-9,13-11(1),11-13(1),16-8(1),10-14(1),14-4
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,143,73,68,2,0.518,8.0,497,534,-37,0.467,41-30(1),32-38(1),9-16,--,16-9,13-11(1),8-17,18-6(1),9-9
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,143,68,71,4,0.489,12.0,489,428,61,0.561,37-32(3),31-39(1),11-13(1),9-16,--,14-10(1),9-14(2),13-12,12-6
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,143,68,72,3,0.486,12.5,548,589,-41,0.467,35-35(2),33-37(1),13-11(1),11-13(1),10-14(1),--,13-12,13-12,8-10
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,143,66,74,3,0.471,14.5,552,544,8,0.507,36-33(2),30-41(1),8-16(1),17-8,14-9(2),12-13,--,10-15,5-13
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,143,66,75,2,0.468,15.0,414,495,-81,0.419,37-33(1),29-42(1),14-10(1),6-18(1),12-13,12-13,15-10,--,7-11
