Team,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,League
<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin Tigers</a>,5323,4767,489,1160,152,21,84,1606,462,110,35,119,32,1020,358,21,47,90,0.243,0.301,0.337,0.638,92,0.094,0.291,27.5%,19.2%,6.7%,0.35,CL
<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima Carp</a>,5394,4865,552,1248,200,25,91,1771,524,26,29,118,31,980,327,20,53,112,0.257,0.309,0.364,0.673,104,0.107,0.302,25.9%,18.2%,6.1%,0.33,CL
<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA BayStars</a>,5275,4746,497,1190,228,12,117,1793,477,49,39,102,22,932,351,30,54,109,0.251,0.308,0.378,0.686,100,0.127,0.289,26.5%,17.7%,6.7%,0.38,CL
<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri Giants</a>,5341,4788,548,1161,199,14,163,1877,533,64,32,73,15,1062,429,25,36,89,0.242,0.309,0.392,0.701,105,0.150,0.279,31.0%,19.9%,8.0%,0.40,CL
<a href=https://npb.jp/bis/eng/teams/index_s.html>Yakult Swallows</a>,5446,4834,619,1209,210,20,174,1981,606,69,34,86,29,1118,442,34,55,102,0.250,0.318,0.410,0.728,110,0.160,0.290,31.8%,20.5%,8.1%,0.40,CL
<a href=https://npb.jp/bis/eng/teams/index_d.html>Chunichi Dragons</a>,5284,4750,414,1172,208,27,62,1620,397,66,23,123,30,956,323,21,57,92,0.247,0.301,0.341,0.642,97,0.094,0.295,25.4%,18.1%,6.1%,0.34,CL
<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX Buffaloes</a>,5379,4723,490,1164,220,26,89,1703,466,62,39,114,35,987,425,26,80,98,0.246,0.317,0.361,0.678,105,0.115,0.292,27.9%,18.3%,7.9%,0.43,PL
<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte Marines</a>,5300,4655,501,1075,196,15,97,1592,474,132,37,94,47,1052,433,11,69,95,0.231,0.303,0.342,0.645,88,0.111,0.275,29.8%,19.8%,8.2%,0.41,PL
<a href=https://npb.jp/bis/eng/teams/index_h.html>SoftBank Hawks</a>,5384,4772,555,1218,189,34,108,1799,529,86,43,110,31,1096,420,10,51,88,0.255,0.320,0.377,0.697,109,0.122,0.308,30.2%,20.4%,7.8%,0.38,PL
<a href=https://npb.jp/bis/eng/teams/index_e.html>Rakuten Eagles</a>,5458,4738,533,1150,179,29,101,1690,511,97,50,95,30,1063,535,13,60,99,0.243,0.325,0.357,0.682,102,0.114,0.291,31.1%,19.5%,9.8%,0.50,PL
<a href=https://npb.jp/bis/eng/teams/index_l.html>Seibu Lions</a>,5201,4633,464,1062,191,25,118,1657,441,60,36,78,27,1095,426,19,37,93,0.229,0.298,0.358,0.656,94,0.129,0.274,31.5%,21.1%,8.2%,0.39,PL
<a href=https://npb.jp/bis/eng/teams/index_f.html>Nipponham Fighters</a>,5177,4661,463,1091,214,26,100,1657,441,95,65,98,27,1148,352,18,39,67,0.234,0.292,0.356,0.648,94,0.122,0.288,30.9%,22.2%,6.8%,0.31,PL
League Average,5330,4744,510,1158,199,23,109,1729,488,76,38,101,30,1042,402,21,53,94,0.244,0.309,0.364,0.673,100,0.120,0.290,29.1%,19.5%,7.5%,0.39,
