Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,Team,League
Akiyama Takumi,5,9,7,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,22.2%,22.2%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Aoyagi Koyo,24,54,50,2,7,0,0,0,7,2,0,0,3,0,26,1,0,0,1,0.140,0.157,0.140,0.297,-11,0.000,0.292,50.0%,48.1%,1.9%,0.04,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Chikamoto Koji,132,580,525,71,154,16,3,3,185,34,30,5,6,1,63,41,0,7,7,0.293,0.352,0.352,0.704,113,0.059,0.328,18.4%,10.9%,7.1%,0.65,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Egoshi Taiga,24,5,4,4,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0.000,0.200,0.000,0.200,-36,0.000,0.000,80.0%,60.0%,20.0%,0.33,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Fujinami Shintaro,16,22,20,0,0,0,0,0,0,0,0,0,2,0,13,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,59.1%,59.1%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Gunkel Joe,16,27,24,1,7,2,0,0,9,2,0,0,2,0,10,1,0,0,0,0.292,0.320,0.375,0.695,109,0.083,0.500,40.7%,37.0%,3.7%,0.10,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Hamachi Masumi,52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,0.0%,0.0%,0.0%,,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Haraguchi Fumihito,33,83,71,5,23,2,0,2,31,10,0,0,1,2,5,9,0,0,1,0.324,0.390,0.437,0.827,149,0.113,0.318,19.3%,6.0%,10.8%,1.80,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Hojoh Fumiya,32,48,43,5,8,1,0,1,12,7,0,0,2,1,6,2,0,0,1,0.186,0.217,0.279,0.496,48,0.093,0.189,18.8%,12.5%,4.2%,0.33,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
Inoue Kouta,2,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.000,0.000,0.000,0.000,-102,0.000,0.000,40.0%,40.0%,0.0%,0.00,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
