batId,batter_team_name_short,batter_name,Bats,IP,PA,Count,qualified,FB Velo,K%,BB%,Swing%,Z-Swing%,Chase%,Contact%,Z-Con%,O-Con%,Whiff%,SwStr%,CSW%,Ball%,Strike%,F-Str%,PAR%,PLUS%,Behind%,Zone%,Glove%,Arm%,High%,Low%,MM%,Sec%,sHPT,sST,sSeager,BIP,Pull AIR%,HR%,HR/FB,Usage,Avg Velo,Max Velo,YpERA Grade,null,GB%,FB%,LD%,IFFB%,OFFB%,AIR%,Pull%,Cent%,Oppo%,FB Velo_pctl,K%_pctl,BB%_pctl,Swing%_pctl,Z-Swing%_pctl,Chase%_pctl,Contact%_pctl,Z-Con%_pctl,O-Con%_pctl,Whiff%_pctl,SwStr%_pctl,CSW%_pctl,Ball%_pctl,Strike%_pctl,F-Str%_pctl,PAR%_pctl,PLUS%_pctl,Behind%_pctl,Zone%_pctl,Glove%_pctl,Arm%_pctl,High%_pctl,Low%_pctl,MM%_pctl,Sec%_pctl,BIP_pctl,GB%_pctl,FB%_pctl,LD%_pctl,IFFB%_pctl,OFFB%_pctl,AIR%_pctl,Pull%_pctl,Cent%_pctl,Oppo%_pctl,Pull AIR%_pctl,HR%_pctl,HR/FB_pctl,Usage_pctl,Avg Velo_pctl,Max Velo_pctl,YpERA Grade_pctl
1300109,ORIX,Wakatsuki Kenya,R,34,140,510,TRUE,90.4,0.1857142857,0.07857142857,0.4549019608,0.6305970149,0.2603305785,0.7887931034,0.875739645,0.5555555556,0.2112068966,0.09607843137,0.2705882353,0.3470588235,0.6529411765,0.5857142857,0.196969697,0.5960784314,0.1058823529,0.5254901961,0.6333333333,0.3666666667,0.4156862745,0.5843137255,0.07450980392,0.4019607843,,,,97,0.1818181818,0.02857142857,0.1212121212,1,86.01764706,97.6,,0,0.618556701,0.3402061856,0.0412371134,0.0824742268,0.2577319588,0.381443299,0.4948453608,0.2989690722,0.206185567,0.4589473684,0.6715789474,0.7157894737,0.4357894737,0.4294736842,0.5431578947,0.6505263158,0.6526315789,0.5684210526,0.6610526316,0.6315789474,0.6673684211,0.5768421053,0.5768421053,0.6526315789,0.5315789474,0.5957894737,0.5452631579,0.5557894737,0.1536842105,0.8484210526,0.4568421053,0.5452631579,0.2568421053,0.4010526316,0.2915789474,0.28,0.3789473684,0.4042105263,0.5589473684,0.4463157895,0.3284210526,0.8631578947,0.7578947368,0.6694736842,0.7547368421,0.8526315789,0.7431578947,0.4884210526,0.4294736842,0.3915789474,
500014,Rakuten,Wakui Hideaki,R,1,3,7,TRUE,85.1,0.3333333333,0,0.4285714286,0.4,0.5,0.3333333333,0.5,0,0.6666666667,0.2857142857,0.5714285714,0.1428571429,0.8571428571,0.6666666667,1,0.8571428571,0,0.7142857143,0.8571428571,0.1428571429,0.7142857143,0.2857142857,0,0.2857142857,,,,2,0.5,0,0,1,83.5,85.8,,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0,0.9789473684,0.28,0.1557894737,0.2957894737,0.08631578947,0.09368421053,0.04,0.05789473684,0.02947368421,0.05052631579,0.04631578947,0.05157894737,0.06526315789,0.06526315789,0.3347368421,0.05473684211,0.05263157895,0.07894736842,0.05578947368,0.03368421053,0.9684210526,0.02631578947,0.9757894737,0.9389473684,0.7610526316,0.8389473684,0.5105263158,0.7821052632,0.1736842105,0.8547368421,0.9484210526,0.5589473684,0.8894736842,0.1305263158,0.9252631579,0.9421052632,0.2810526316,0.1968421053,0.4884210526,0.9494736842,0.9778947368,
1800127,Nipponham,Wang Po-Jung,L,64,281,1119,TRUE,90.9,0.2491103203,0.08896797153,0.4682752458,0.6944937833,0.2392086331,0.7442748092,0.8542199488,0.4210526316,0.2557251908,0.1197497766,0.27256479,0.3735478105,0.6264521895,0.5899280576,0.1977077364,0.5665773012,0.1117068811,0.5031277927,0.4378909741,0.5621090259,0.4530831099,0.5469168901,0.0491510277,0.4593386953,,,,181,0.2099447514,0.03202846975,0.08333333333,1,85.97511478,99.4,,0,0.320441989,0.5966850829,0.08287292818,0.1933701657,0.4033149171,0.679558011,0.4364640884,0.3425414365,0.2209944751,0.2421052632,0.4694736842,0.7705263158,0.5094736842,0.6694736842,0.6357894737,0.48,0.5178947368,0.2831578947,0.4905263158,0.5010526316,0.6568421053,0.7642105263,0.7642105263,0.6378947368,0.5263157895,0.7810526316,0.6231578947,0.7178947368,0.7768421053,0.2252631579,0.2463157895,0.7557894737,0.6947368421,0.1305263158,0.2021052632,0.8631578947,0.9115789474,0.6947368421,0.1031578947,0.8652631579,0.9115789474,0.7705263158,0.6168421053,0.6189473684,0.8210526316,0.8673684211,0.6421052632,0.4884210526,0.4484210526,0.14,
1500045,Yakult,Watanabe Daiki,R,12.33333333,42,125,TRUE,91.3,0.2142857143,0.02380952381,0.688,0.8611111111,0.4528301887,0.7209302326,0.8387096774,0.4166666667,0.2790697674,0.192,0.24,0.216,0.784,0.7857142857,0.2647058824,0.728,0.016,0.576,0.608,0.392,0.456,0.544,0.104,0.456,,,,30,0.09677419355,0,0,1,85.32844037,98.2,,0,0.5666666667,0.4,0.03333333333,0.1666666667,0.2333333333,0.4333333333,0.4,0.2333333333,0.3666666667,0.1515789474,0.5663157895,0.3505263158,0.9810526316,0.9684210526,0.1263157895,0.3978947368,0.4610526316,0.28,0.4084210526,0.1642105263,0.8947368421,0.1242105263,0.1242105263,0.1610526316,0.3452631579,0.1578947368,0.1663157895,0.2547368421,0.2231578947,0.7789473684,0.2273684211,0.7747368421,0.09263157895,0.14,0.5063157895,0.3557894737,0.5094736842,0.3768421053,0.1526315789,0.3831578947,0.4042105263,0.6589473684,0.8189473684,0.1873684211,0.4305263158,0.2810526316,0.1968421053,0.4884210526,0.6863157895,0.2989473684,
2000067,Seibu,Watanabe Kento,R,5,17,51,TRUE,90.1,0.4117647059,0.05882352941,0.5882352941,0.7777777778,0.375,0.5,0.619047619,0.2222222222,0.5,0.2941176471,0.4117647059,0.2941176471,0.7058823529,0.7058823529,0.6363636364,0.6862745098,0.09803921569,0.5294117647,0.6470588235,0.3529411765,0.3921568627,0.6078431373,0.01960784314,0.4117647059,,,,9,0.1111111111,0.05882352941,0.1666666667,1,83.70851064,95.1,,0,0.3333333333,0.6666666667,0,0.1111111111,0.5555555556,0.6666666667,0.3333333333,0.4444444444,0.2222222222,0.6147368421,0.2052631579,0.5505263158,0.9157894737,0.9231578947,0.2042105263,0.07789473684,0.08421052632,0.08210526316,0.08842105263,0.04210526316,0.1715789474,0.3042105263,0.3042105263,0.2705263158,0.08842105263,0.2589473684,0.5021052632,0.5231578947,0.1263157895,0.8757894737,0.6568421053,0.3452631579,0.8736842105,0.3273684211,0.6936842105,0.8515789474,0.9452631579,0.1736842105,0.3873684211,0.9642105263,0.9073684211,0.4431578947,0.2126315789,0.6063157895,0.4884210526,0.9778947368,0.7968421053,0.4884210526,0.9452631579,0.6568421053,
1500085,Chunichi,Watanabe Masaru,L,32.33333333,134,495,TRUE,90.6,0.1791044776,0.0671641791,0.4323232323,0.6055776892,0.2540983607,0.7757009346,0.8815789474,0.5161290323,0.2242990654,0.09696969697,0.2868686869,0.3676767677,0.6323232323,0.5447761194,0.1860465116,0.5777777778,0.1212121212,0.5070707071,0.501010101,0.498989899,0.404040404,0.595959596,0.06868686869,0.4222222222,,,,97,0.13,0.01492537313,0.05405405405,1,84.75,97.6,,0,0.5567010309,0.381443299,0.0618556701,0.0824742268,0.2989690722,0.4432989691,0.4432989691,0.3711340206,0.1855670103,0.3557894737,0.7042105263,0.6168421053,0.3094736842,0.3494736842,0.5768421053,0.6021052632,0.6736842105,0.4873684211,0.6126315789,0.6252631579,0.5431578947,0.7284210526,0.7284210526,0.8378947368,0.5789473684,0.7326315789,0.7052631579,0.6926315789,0.5452631579,0.4568421053,0.56,0.4421052632,0.3515789474,0.2821052632,0.2915789474,0.3684210526,0.4568421053,0.5094736842,0.5589473684,0.5663157895,0.4168421053,0.7852631579,0.4842105263,0.7473684211,0.5578947368,0.6863157895,0.5389473684,0.4884210526,0.8442105263,0.3915789474,
1300042,Nipponham,Watanabe Ryo,R,75.66666667,325,1371,TRUE,90.7,0.2215384615,0.09538461538,0.4412837345,0.6764705882,0.1856925419,0.773553719,0.850931677,0.4672131148,0.226446281,0.09992706054,0.2633114515,0.3851203501,0.6148796499,0.6276923077,0.1522198732,0.5579868709,0.09773887673,0.5207877462,0.5929978118,0.4070021882,0.4070021882,0.5929978118,0.06929248724,0.4026258206,,,,213,0.09813084112,0.009230769231,0.03571428571,1,85.80709924,98.8,,0,0.5117370892,0.3943661972,0.09389671362,0.07511737089,0.3192488263,0.4882629108,0.2769953052,0.3802816901,0.3427230047,0.3105263158,0.5452631579,0.8,0.3431578947,0.5978947368,0.8294736842,0.5852631579,0.4968421053,0.3705263158,0.5957894737,0.6147368421,0.7326315789,0.8452631579,0.8452631579,0.4610526316,0.7115789474,0.8421052632,0.4947368421,0.5810526316,0.2842105263,0.7178947368,0.5410526316,0.4610526316,0.3368421053,0.3915789474,0.1810526316,0.4715789474,0.4884210526,0.7831578947,0.5936842105,0.6231578947,0.52,0.3010526316,0.4378947368,0.2042105263,0.4357894737,0.6210526316,0.4652631579,0.4884210526,0.5242105263,0.2168421053,
1800122,Rakuten,Watanabe Yoshiaki,L,25.33333333,115,414,TRUE,90,0.1652173913,0.09565217391,0.5217391304,0.71875,0.2894736842,0.8657407407,0.9316770186,0.6727272727,0.1342592593,0.07004830918,0.2173913043,0.3236714976,0.6763285024,0.6434782609,0.1507936508,0.6086956522,0.1038647343,0.5410628019,0.4710144928,0.5289855072,0.4468599034,0.5531400966,0.04589371981,0.3188405797,,,,81,0.08536585366,0.008695652174,0.03571428571,1,86.35671642,97,,0,0.5185185185,0.3456790123,0.1358024691,0.1234567901,0.2222222222,0.4814814815,0.2962962963,0.3950617284,0.3086419753,0.6494736842,0.7494736842,0.8021052632,0.7536842105,0.7684210526,0.4252631579,0.8694736842,0.8315789474,0.7578947368,0.88,0.8063157895,0.9473684211,0.4315789474,0.4315789474,0.4084210526,0.72,0.5115789474,0.5305263158,0.4231578947,0.6694736842,0.3326315789,0.2821052632,0.72,0.7473684211,0.7031578947,0.3147368421,0.4557894737,0.3915789474,0.9094736842,0.3273684211,0.3705263158,0.5042105263,0.3494736842,0.3621052632,0.2673684211,0.3810526316,0.6147368421,0.4652631579,0.4884210526,0.3389473684,0.4757894737,
1500015,Yomiuri,Wheeler Zelous,R,96.33333333,424,1750,TRUE,90.3,0.1839622642,0.07311320755,0.4399313501,0.6581576027,0.2073027091,0.8075422627,0.8802698145,0.5625,0.1924577373,0.08466819222,0.2602974828,0.3792906178,0.6207093822,0.5805687204,0.1505791506,0.5526315789,0.128,0.5154462243,0.5811428571,0.4188571429,0.4017142857,0.5982857143,0.06742857143,0.3443935927,,,,302,0.1475409836,0.03537735849,0.1111111111,1,85.8966397,100.7,,0,0.4437086093,0.4470198675,0.1092715232,0.08940397351,0.357615894,0.5562913907,0.3774834437,0.3907284768,0.2317880795,0.5178947368,0.6842105263,0.6715789474,0.3368421053,0.5073684211,0.7684210526,0.7157894737,0.6715789474,0.5831578947,0.7263157895,0.7263157895,0.7642105263,0.8105263158,0.8105263158,0.6778947368,0.7221052632,0.8621052632,0.7621052632,0.6294736842,0.3431578947,0.6589473684,0.5810526316,0.4210526316,0.3768421053,0.6336842105,0.1168421053,0.6694736842,0.6442105263,0.8568421053,0.5094736842,0.7421052632,0.7178947368,0.5873684211,0.3831578947,0.5621052632,0.6231578947,0.8947368421,0.7221052632,0.4884210526,0.4842105263,0.04105263158,
1500105,Seibu,Wu Nien-Ting,L,109,474,1929,TRUE,90.4,0.1476793249,0.08860759494,0.432348367,0.6136363636,0.2497398543,0.845323741,0.9023569024,0.7041666667,0.154676259,0.06687402799,0.2576464489,0.3716951788,0.6283048212,0.5517970402,0.1223776224,0.5728356661,0.1228615863,0.5018144116,0.4821150855,0.5178849145,0.44375324,0.55624676,0.06168999482,0.4240539139,,,,357,0.2094972067,0.02109704641,0.05291005291,1,85.15636943,98.2,,0,0.3781512605,0.5294117647,0.09243697479,0.1820728291,0.3473389356,0.6218487395,0.4425770308,0.3529411765,0.2044817927,0.4589473684,0.7978947368,0.7684210526,0.3115789474,0.3757894737,0.5978947368,0.8231578947,0.7536842105,0.7852631579,0.8336842105,0.8273684211,0.7894736842,0.7473684211,0.7473684211,0.7978947368,0.8526315789,0.7578947368,0.7221052632,0.7263157895,0.6231578947,0.3789473684,0.3052631579,0.6968421053,0.4821052632,0.2547368421,0.08,0.8126315789,0.8463157895,0.7705263158,0.1221052632,0.7136842105,0.8610526316,0.7810526316,0.5852631579,0.6778947368,0.8189473684,0.7663157895,0.5368421053,0.4884210526,0.7494736842,0.2989473684,
