Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HP,SO,GDP,AVG,SLG,OBP,Team,
Akiyama Takumi,24,41,31,0,2,0,0,0,2,0,0,0,9,0,1,0,0,15,1,.065,.065,.094,Hanshin Tigers,
Alcantara Raul,24,12,9,0,1,0,0,0,1,1,0,0,3,0,0,0,0,5,0,.111,.111,.111,Hanshin Tigers,
Aoyagi Koyo,25,51,43,3,7,1,0,0,8,2,0,0,7,0,1,0,0,25,1,.163,.186,.182,Hanshin Tigers,
Baba Kosuke,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Chen Wei-Yin,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,.250,.250,.250,Hanshin Tigers,
Chikamoto Koji,140,612,569,91,178,33,5,10,251,50,24,7,4,2,33,0,4,58,6,.313,.441,.354,Hanshin Tigers,
Edwards Jon,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Egoshi Taiga,31,3,3,4,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Fujinami Shintaro,21,13,9,1,1,0,0,1,4,2,0,0,4,0,0,0,0,7,0,.111,.444,.111,Hanshin Tigers,
Gunkel Joe,20,37,31,3,5,1,0,0,6,0,0,0,5,0,1,0,0,16,0,.161,.194,.188,Hanshin Tigers,
Hamachi Masumi,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Haraguchi Fumihito,56,58,49,3,10,2,1,0,14,3,0,0,0,0,5,0,4,12,0,.204,.286,.328,Hanshin Tigers,
Hojoh Fumiya,33,57,50,6,10,2,0,1,15,6,0,0,2,0,4,0,1,11,1,.200,.300,.273,Hanshin Tigers,
Ishii Daichi,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Itayama Yutaro,43,17,14,5,2,1,1,0,5,1,0,0,1,0,2,0,0,6,0,.143,.357,.250,Hanshin Tigers,
Itoh Masashi,23,44,39,1,2,0,0,0,2,0,0,0,2,0,3,0,0,25,1,.051,.051,.119,Hanshin Tigers,
Itohara Kento,125,488,441,34,126,17,3,2,155,30,6,5,1,3,41,0,2,61,9,.286,.351,.347,Hanshin Tigers,
Itoi Yoshio,77,119,106,8,22,5,0,3,36,18,1,0,0,3,9,0,1,37,4,.208,.340,.269,Hanshin Tigers,
Iwasada Yuta,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwata Minoru,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Iwazaki Suguru,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kajiya Ren,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kinami Seiya,92,132,119,9,27,8,0,1,38,15,0,0,2,3,7,0,1,20,1,.227,.319,.269,Hanshin Tigers,
Kobayashi Keisuke,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Kumagai Takahiro,73,6,5,13,0,0,0,0,0,0,7,1,1,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Kuwahara Kentaro,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Marte Jefry,128,526,446,55,115,18,1,22,201,71,0,0,0,2,74,3,4,72,16,.258,.451,.367,Hanshin Tigers,
Moriya Kouki,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Murakami Shoki,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,Hanshin Tigers,
Nakano Takumu,135,525,466,45,127,15,4,1,153,36,30,2,20,4,29,5,6,81,6,.273,.328,.321,Hanshin Tigers,
Niho Akira,4,6,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,.000,.000,.200,Hanshin Tigers,
Nishi Junya,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Nishi Yuki,24,42,35,2,5,2,0,0,7,1,0,0,6,0,1,0,0,12,0,.143,.200,.167,Hanshin Tigers,
Obata Ryuhei,43,25,23,5,6,1,1,0,9,0,3,1,0,0,2,0,0,7,0,.261,.391,.320,Hanshin Tigers,
Ogawa Ippei,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Ohyama Yusuke,129,512,466,55,121,23,2,21,211,71,2,1,0,7,37,1,2,89,15,.260,.453,.313,Hanshin Tigers,
Ono Taiki,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
Onodera Dan,34,73,67,7,12,2,0,1,17,2,0,0,0,0,5,0,1,19,2,.179,.254,.247,Hanshin Tigers,
Oyokawa Masaki,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,Hanshin Tigers,
Rojas Jr. Mel,60,206,189,18,41,7,0,8,72,21,1,3,0,0,15,0,2,58,3,.217,.381,.282,Hanshin Tigers,
Saitoh Yukiya,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,Hanshin Tigers,
