Team,G,W,L,T,PCT,GB,Home,Road,vsS,vsT,vsG,vsC,vsD,vsDB,Int,
Tokyo YakultSwallows,143,73,52,18,.584,--,36-29(7),37-23(11),--,8-13(4),11-11(3),14-8(3),13-6(6),17-6(2),10-8,
HanshinTigers,143,77,56,10,.579,0.0,36-31(4),41-25(6),13-8(4),--,13-9(3),12-12(1),14-9(2),14-11,11-7,
YomiuriGiants,143,61,62,20,.496,11.0,32-30(10),29-32(10),11-11(3),9-13(3),--,12-12(1),10-12(3),12-6(7),7-8(3),
Hiroshima ToyoCarp,143,63,68,12,.481,13.0,30-34(8),33-34(4),8-14(3),12-12(1),12-12(1),--,14-9(2),14-9(2),3-12(3),
ChunichiDragons,143,55,71,17,.437,18.5,33-27(11),22-44(6),6-13(6),9-14(2),12-10(3),9-14(2),--,10-13(2),9-7(2),
YOKOHAMA DeNABAYSTARS,143,54,73,16,.425,20.0,27-37(7),27-36(9),6-17(2),11-14,6-12(7),9-14(2),13-10(2),--,9-6(3),
