Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
宗 佑磨,オ,3B,10.0,0.5,0.3,0.0,-,0.2,0.0,-,-,
遠藤 一星,中,1B,18.0,-0.5,0.2,-0.1,-,-0.6,-0.2,-,-,
遠藤 一星,中,LF,77.0,2.5,3.3,-,-0.8,0.1,-0.7,-,-,
遠藤 一星,中,CF,177.7,-2.2,-2.1,-,-0.2,0.1,0.6,-,-,
遠藤 一星,中,RF,16.0,-0.1,-0.1,-,0.0,0.0,-0.1,-,-,
遠藤 一星,中,DH,105.0,-,-,-,-,-,-1.3,-,-,
石岡 諒太,中,1B,550.0,-1.7,-2.1,0.0,-,0.4,-6.2,-,-,
石岡 諒太,中,LF,31.7,-0.7,-0.8,-,0.1,0.0,-0.3,-,-,
石岡 諒太,中,RF,4.0,-0.7,-0.7,-,0.0,0.0,0.0,-,-,
廣澤 伸哉,オ,1B,12.0,-0.5,-0.5,-0.1,-,0.1,-0.1,-,-,
廣澤 伸哉,オ,2B,177.0,-1.8,0.6,0.3,-,-2.6,0.5,-,-,
廣澤 伸哉,オ,3B,37.0,0.8,0.7,0.1,-,-0.1,-0.1,-,-,
廣澤 伸哉,オ,SS,189.7,-2.7,-3.1,0.3,-,0.1,1.6,-,-,
廣澤 伸哉,オ,LF,1.0,0.3,0.3,-,0.0,0.0,0.0,-,-,
廣澤 伸哉,オ,DH,2.0,-,-,-,-,-,0.0,-,-,
佐藤 直樹,ソ,LF,135.0,5.7,5.7,-,-0.2,0.1,-1.3,-,-,
佐藤 直樹,ソ,CF,109.7,-2.3,-2.2,-,-0.2,0.1,0.4,-,-,
佐藤 直樹,ソ,RF,93.0,2.2,1.1,-,1.9,-0.7,-0.4,-,-,
佐藤 直樹,ソ,DH,3.0,-,-,-,-,-,0.0,-,-,
江越 大賀,神,LF,14.0,0.8,0.8,-,0.0,0.0,-0.1,-,-,
江越 大賀,神,CF,354.0,5.9,2.7,-,3.8,-0.6,1.2,-,-,
江越 大賀,神,RF,24.0,0.0,0.0,-,0.0,0.0,-0.1,-,-,
細川 凌平,日,2B,21.0,-2.3,-1.7,0.0,-,-0.6,0.1,-,-,
細川 凌平,日,SS,180.7,-3.5,-0.6,-0.8,-,-2.2,1.5,-,-,
細川 凌平,日,DH,25.0,-,-,-,-,-,-0.3,-,-,
呉 念庭,西,1B,39.0,0.8,0.3,0.4,-,0.2,-0.4,-,-,
呉 念庭,西,2B,17.0,0.9,0.7,0.0,-,0.2,0.0,-,-,
