Pitcher,G,W,L,SV,HLD,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,24,10,7,0,0,1,0,.588,539,132,.2,121,18,25,3,3,107,2,0,43,40,2.71,Hanshin Tigers,
Alcantara Raul,24,3,3,0,6,0,0,.500,243,59,.1,55,6,14,1,0,48,3,0,25,23,3.49,Hanshin Tigers,
Aoyagi Koyo,25,13,6,0,0,0,0,.684,651,156,.1,143,11,48,8,3,104,0,0,48,43,2.48,Hanshin Tigers,
Baba Kosuke,44,3,0,0,10,0,0,1.000,198,47,.1,43,5,17,1,0,39,0,0,23,20,3.80,Hanshin Tigers,
Chen Wei-Yin,2,1,0,0,0,0,0,1.000,39,9,.1,10,0,3,0,0,7,0,0,5,4,3.86,Hanshin Tigers,
Edwards Jon,7,0,0,0,0,0,0,.000,31,7,,6,1,4,0,0,7,0,0,3,2,2.57,Hanshin Tigers,
Fujinami Shintaro,21,3,3,0,4,0,0,.500,238,48,.1,47,4,40,0,4,52,8,1,29,28,5.21,Hanshin Tigers,
Gunkel Joe,20,9,3,0,0,0,0,.750,465,113,,99,10,24,1,3,87,0,0,39,37,2.95,Hanshin Tigers,
Hamachi Masumi,4,0,0,0,0,0,0,.000,26,6,,8,0,2,1,0,6,2,0,3,3,4.50,Hanshin Tigers,
Ishii Daichi,18,0,1,0,0,0,0,.000,75,17,.1,17,3,6,1,0,16,1,0,12,12,6.23,Hanshin Tigers,
Itoh Masashi,23,10,7,0,1,1,0,.588,557,140,.1,119,15,34,3,3,79,1,0,42,38,2.44,Hanshin Tigers,
Iwasada Yuta,46,4,0,0,12,0,0,1.000,174,38,.2,42,4,14,2,3,33,1,0,21,20,4.66,Hanshin Tigers,
Iwata Minoru,3,0,0,0,0,0,0,.000,13,3,,3,0,0,0,1,3,1,0,0,0,0.00,Hanshin Tigers,
Iwazaki Suguru,62,3,4,1,41,0,0,.429,230,57,.2,47,6,15,2,0,51,3,0,21,17,2.65,Hanshin Tigers,
Kajiya Ren,7,1,2,0,1,0,0,.333,29,5,.2,7,1,1,0,1,3,0,0,6,5,7.94,Hanshin Tigers,
Kobayashi Keisuke,22,0,1,0,4,0,0,.000,86,20,,17,1,11,1,0,16,0,0,8,5,2.25,Hanshin Tigers,
Kuwahara Kentaro,7,0,0,0,0,0,0,.000,33,7,,8,2,4,0,1,7,1,0,7,7,9.00,Hanshin Tigers,
Moriya Kouki,2,0,0,0,0,0,0,.000,16,3,,5,1,1,0,1,3,0,0,4,4,12.00,Hanshin Tigers,
Murakami Shoki,2,0,1,0,0,0,0,.000,30,5,.1,9,3,5,0,0,0,1,0,10,10,16.88,Hanshin Tigers,
Niho Akira,4,1,1,0,0,0,0,.500,70,15,.1,17,3,7,0,1,9,1,0,10,9,5.28,Hanshin Tigers,
Nishi Junya,2,1,1,0,0,0,0,.500,34,8,,4,0,7,0,0,2,0,0,3,3,3.38,Hanshin Tigers,
Nishi Yuki,24,6,9,0,0,2,0,.400,610,143,.2,143,12,40,6,4,95,2,0,68,60,3.76,Hanshin Tigers,
Ogawa Ippei,19,1,0,0,2,0,0,1.000,83,21,.1,15,2,7,0,0,19,0,0,7,7,2.95,Hanshin Tigers,
Ono Taiki,12,0,0,0,0,0,0,.000,71,14,.2,17,1,8,0,1,14,0,0,13,13,7.98,Hanshin Tigers,
Oyokawa Masaki,39,2,3,0,10,0,0,.400,169,39,,31,4,24,4,2,38,4,0,18,16,3.69,Hanshin Tigers,
Saitoh Yukiya,19,1,1,0,1,0,0,.500,103,23,.1,23,1,12,0,0,26,3,0,14,12,4.63,Hanshin Tigers,
Suarez Robert,62,1,1,42,0,0,0,.500,229,62,.1,40,0,8,2,0,58,1,0,9,8,1.16,Hanshin Tigers,
Takahashi Haruto,7,4,2,0,0,2,2,.667,181,49,,30,1,5,0,0,55,0,0,10,9,1.65,Hanshin Tigers,
Yuasa Atsuki,3,0,0,0,0,0,0,.000,21,3,,10,0,2,0,0,2,2,0,7,6,18.00,Hanshin Tigers,
Bird Kyle,33,0,0,0,11,0,0,.000,98,21,.2,21,0,13,0,2,21,0,1,11,11,4.57,Hiroshima Carp,
Corniel Robert,50,1,2,0,10,0,0,.333,269,61,.1,56,8,28,0,3,79,1,0,31,26,3.82,Hiroshima Carp,
Endoh Atsushi,2,0,0,0,0,0,0,.000,36,6,.2,9,2,6,0,1,11,0,0,6,5,6.75,Hiroshima Carp,
Franzua Geronimo,8,1,2,0,1,0,0,.333,31,5,.2,9,1,5,1,0,5,0,0,6,6,9.53,Hiroshima Carp,
Fujii Reira,5,0,0,0,0,0,0,.000,32,5,.2,11,1,3,0,1,7,0,0,8,8,12.71,Hiroshima Carp,
Horie Atsuya,51,5,4,0,17,0,0,.556,202,42,.1,48,4,25,2,1,29,3,0,25,20,4.25,Hiroshima Carp,
Kemna Makoto,40,2,2,0,12,0,0,.500,175,39,.1,45,4,15,1,2,28,2,0,20,20,4.58,Hiroshima Carp,
Kikuchi Yasunori,33,2,1,0,3,0,0,.667,140,31,.2,31,3,13,2,3,25,0,0,7,6,1.71,Hiroshima Carp,
Kobayashi Tatsuto,1,0,0,0,0,0,0,.000,20,3,.2,6,0,2,0,0,6,1,0,6,4,9.82,Hiroshima Carp,
Kuri Aren,25,13,9,0,0,2,0,.591,647,149,,150,18,51,1,8,102,4,1,73,63,3.81,Hiroshima Carp,
Kuribayashi Ryoji,53,0,1,37,0,0,0,.000,201,52,.1,23,1,28,2,1,81,1,1,5,5,0.86,Hiroshima Carp,
Morishita Masato,24,8,7,0,0,1,1,.533,672,163,.1,144,16,52,3,3,132,6,0,55,54,2.98,Hiroshima Carp,
Moriura Daisuke,54,3,3,0,17,0,0,.500,206,48,.1,39,3,21,1,4,41,3,0,18,17,3.17,Hiroshima Carp,
Nakamura Yuta,3,0,3,0,0,0,0,.000,65,13,,21,3,5,0,0,6,0,0,17,16,11.08,Hiroshima Carp,
Nakata Ren,23,0,0,0,6,0,0,.000,89,19,,20,3,12,0,1,16,2,0,14,10,4.74,Hiroshima Carp,
Nakazaki Shota,4,0,0,0,0,0,0,.000,24,4,,9,0,2,0,0,1,0,0,8,6,13.50,Hiroshima Carp,
Neverauskas Dovydas,1,0,1,0,0,0,0,.000,15,2,.2,3,0,5,0,0,2,1,0,3,3,10.13,Hiroshima Carp,
Nomura Yusuke,8,0,4,0,0,0,0,.000,171,35,.2,48,6,17,2,2,29,2,0,25,25,6.31,Hiroshima Carp,
Ohmichi Haruki,24,4,4,0,3,0,0,.500,230,53,,50,4,25,0,2,35,1,0,30,28,4.75,Hiroshima Carp,
Ohsera Daichi,23,10,5,0,0,1,1,.667,600,146,.2,136,12,31,2,5,102,1,0,57,50,3.07,Hiroshima Carp,
Shimauchi Sotaro,51,0,2,0,15,0,0,.000,205,49,,44,4,14,0,0,51,2,0,20,17,3.12,Hiroshima Carp,
Takahashi Kouya,15,5,7,0,0,0,0,.417,326,73,.1,85,9,24,0,2,54,1,0,44,43,5.28,Hiroshima Carp,
Takahashi Mikiya,27,0,0,0,0,0,0,.000,108,26,.1,20,3,10,0,1,16,1,0,10,4,1.37,Hiroshima Carp,
Tamamura Shogo,17,4,7,0,0,0,0,.364,432,101,,95,13,40,2,1,67,0,0,47,43,3.83,Hiroshima Carp,
