Player,Team,Position,Inning,TZR,RngR,DPR,ARM,Error,位置補正,Framing,Blocking,
梶谷 隆幸,巨,CF,6.0,-0.2,0.0,-,-0.2,0.0,0.0,-,-,
梶谷 隆幸,巨,RF,480.7,5.1,7.4,-,-1.6,-0.7,-1.9,-,-,
桑原 将志,デ,CF,1068.3,-9.5,-3.6,-,-5.3,-0.6,3.5,-,-,
坂口 智隆,ヤ,LF,21.0,-0.2,-0.5,-,0.3,0.0,-0.2,-,-,
坂口 智隆,ヤ,CF,27.0,0.6,0.9,-,-0.2,0.0,0.1,-,-,
坂口 智隆,ヤ,RF,37.0,-0.1,0.4,-,-0.4,0.0,-0.1,-,-,
近本 光司,神,CF,1194.0,-2.9,-1.8,-,-1.3,0.2,4.0,-,-,
渡邉 大樹,ヤ,LF,9.0,0.2,0.2,-,0.0,0.0,-0.1,-,-,
渡邉 大樹,ヤ,CF,11.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
渡邉 大樹,ヤ,RF,179.3,0.7,0.1,-,0.5,0.0,-0.7,-,-,
田中 広輔,広,3B,36.0,-0.6,-0.8,0.0,-,0.3,-0.1,-,-,
田中 広輔,広,SS,267.7,0.3,1.2,-0.7,-,-0.2,2.2,-,-,
大島 洋平,中,CF,1183.0,-5.3,-3.4,-,-2.2,0.2,3.9,-,-,
辰己 涼介,楽,CF,990.0,3.1,-0.3,-,3.2,0.2,3.3,-,-,
辰己 涼介,楽,RF,2.0,-0.2,-0.2,-,0.0,0.0,0.0,-,-,
辰己 涼介,楽,DH,2.0,-,-,-,-,-,0.0,-,-,
西川 遥輝,日,LF,910.7,4.0,4.5,-,-1.2,0.7,-8.6,-,-,
西川 遥輝,日,CF,98.0,-5.0,-2.8,-,-1.3,-0.8,0.3,-,-,
西川 遥輝,日,DH,35.0,-,-,-,-,-,-0.4,-,-,
石井 一成,日,2B,30.0,2.0,1.7,0.2,-,0.1,0.1,-,-,
石井 一成,日,3B,13.0,0.2,0.2,0.0,-,0.0,0.0,-,-,
石井 一成,日,SS,761.7,-0.4,-4.5,3.2,-,0.8,6.2,-,-,
石井 一成,日,DH,2.0,-,-,-,-,-,0.0,-,-,
金子 侑司,西,LF,0.3,0.0,0.0,-,0.0,0.0,0.0,-,-,
金子 侑司,西,CF,535.7,-4.5,-3.7,-,-0.9,0.1,1.8,-,-,
金子 侑司,西,DH,2.0,-,-,-,-,-,0.0,-,-,
佐野 皓大,オ,LF,36.0,-1.7,-1.4,-,-0.4,0.0,-0.3,-,-,
佐野 皓大,オ,CF,112.3,1.1,1.2,-,-0.1,0.0,0.4,-,-,
佐野 皓大,オ,RF,76.7,1.8,1.2,-,0.7,0.0,-0.3,-,-,
佐野 皓大,オ,DH,6.0,-,-,-,-,-,-0.1,-,-,
周東 佑京,ソ,2B,362.0,-5.4,-1.7,-2.1,-,-1.6,1.0,-,-,
周東 佑京,ソ,SS,23.0,-0.2,-0.5,0.1,-,0.2,0.2,-,-,
周東 佑京,ソ,LF,1.7,-0.5,-0.5,-,0.0,0.0,0.0,-,-,
周東 佑京,ソ,CF,12.3,-0.7,-0.5,-,-0.2,0.0,0.0,-,-,
周東 佑京,ソ,DH,2.0,-,-,-,-,-,0.0,-,-,
荻野 貴司,ロ,LF,856.3,18.4,14.1,-,3.6,0.7,-8.1,-,-,
荻野 貴司,ロ,CF,370.7,2.0,1.3,-,0.6,0.1,1.2,-,-,
石川 慎吾,巨,LF,15.0,0.5,0.6,-,-0.1,0.0,-0.1,-,-,
石川 慎吾,巨,RF,36.0,-1.0,-1.3,-,0.3,0.0,-0.1,-,-,
石川 慎吾,巨,DH,7.0,-,-,-,-,-,-0.1,-,-,
福田 周平,オ,2B,29.0,0.6,0.2,0.2,-,0.1,0.1,-,-,
福田 周平,オ,3B,6.0,-0.3,-0.3,0.0,-,0.0,0.0,-,-,
福田 周平,オ,CF,874.0,4.0,5.9,-,-2.1,0.2,2.9,-,-,
宗 佑磨,オ,1B,6.0,0.1,0.2,-0.1,-,0.0,-0.1,-,-,
宗 佑磨,オ,3B,1067.0,7.4,6.1,-1.4,-,2.7,-4.1,-,-,
宗 佑磨,オ,CF,41.0,1.9,1.6,-,0.3,0.0,0.1,-,-,
