Team,G,W,L,T,PCT,GB,Home,Road,vsM,vsG,vsE,vsS,vsF,vsDB,vsL,Int,
Chiba LotteMarines,108,60,42,6,.588,--,33-20(2),27-22(4),--,10-9(1),13-7(1),9-4(2),10-6(1),9-7,9-9(1),--,
YomiuriGiants,116,56,57,3,.496,9.5,33-29,23-28(3),9-10(1),--,10-11,5-12,9-8(1),11-7(1),10-8,2-1,
Tohoku RakutenGolden Eagles,114,54,55,5,.4954,9.5,28-27(3),26-28(2),7-13(1),11-10,--,10-10(1),9-6(1),9-9(1),6-7(1),2-0,
Tokyo YakultSwallows,104,49,50,5,.4949,9.5,24-21(5),25-29,4-9(2),12-5,10-10(1),--,6-8(2),8-10,9-8,--,
Hokkaido Nippon-HamFighters,108,49,51,8,.490,10.0,31-19(2),18-32(6),6-10(1),8-9(1),6-9(1),8-6(2),--,10-9(1),10-8(2),1-0,
YOKOHAMA DeNABAYSTARS,111,51,55,5,.481,11.0,24-25(4),27-30(1),7-9,7-11(1),9-9(1),10-8,9-10(1),--,9-8(2),--,
Saitama SeibuLions,107,48,53,6,.475,11.5,29-23(3),19-30(3),9-9(1),8-10,7-6(1),8-9,8-10(2),8-9(2),--,--,
