Pitcher,G,W,L,SV,CG,SHO,PCT,BF,IP,,H,HR,BB,IBB,HB,SO,WP,BK,R,ER,ERA,Team,
Akiyama Takumi,2,0,0,0,0,0,.000,20,5,,3,1,1,0,0,4,0,0,2,2,3.60,Hanshin Tigers,
Alcantara Raul,6,2,0,0,0,0,1.000,52,14,,7,0,4,0,0,10,0,0,0,0,0.00,Hanshin Tigers,
Baba Kosuke,8,1,0,1,0,0,1.000,41,12,,6,1,0,0,1,6,1,0,2,2,1.50,Hanshin Tigers,
Chen Wei-Yin,6,2,2,0,0,0,.500,120,30,.2,26,0,2,0,1,21,0,0,7,6,1.76,Hanshin Tigers,
Edwards Jon,27,0,1,5,0,0,.000,133,34,,27,3,5,0,2,36,2,1,15,11,2.91,Hanshin Tigers,
Fujinami Shintaro,8,2,1,0,0,0,.667,168,39,.1,37,1,21,0,2,48,4,0,18,13,2.97,Hanshin Tigers,
Gunkel Joe,1,0,0,0,0,0,.000,15,4,.1,3,0,0,0,1,2,0,0,0,0,0.00,Hanshin Tigers,
Hamachi Masumi,37,3,1,8,0,0,.750,185,45,,45,2,11,0,0,44,3,0,17,17,3.40,Hanshin Tigers,
Ishii Daichi,14,0,1,2,0,0,.000,55,13,.2,8,0,3,0,2,10,1,1,3,3,1.98,Hanshin Tigers,
Ishii Masaki,29,2,0,0,0,0,1.000,100,20,.2,17,0,18,0,4,14,7,0,9,8,3.48,Hanshin Tigers,
Itoh Kazuo,29,1,1,2,0,0,.500,114,28,.1,16,2,13,1,1,30,1,0,8,8,2.54,Hanshin Tigers,
Itoh Masashi,1,0,0,0,0,0,.000,12,3,,2,0,1,0,0,2,0,0,1,1,3.00,Hanshin Tigers,
Iwasada Yuta,2,0,0,1,0,0,.000,8,2,,1,0,1,0,0,2,0,0,0,0,0.00,Hanshin Tigers,
Iwata Masaki,8,2,0,0,0,0,1.000,28,6,.2,2,1,6,0,0,6,0,0,2,2,2.70,Hanshin Tigers,
Iwata Minoru,17,4,1,0,0,0,.800,128,32,,24,3,10,0,4,19,1,0,11,7,1.97,Hanshin Tigers,
Kajiya Ren,29,1,1,1,0,0,.500,121,27,.1,29,3,12,0,1,24,3,0,18,17,5.60,Hanshin Tigers,
Kobayashi Keisuke,11,1,0,4,0,0,1.000,45,11,,9,1,5,0,0,15,2,0,2,2,1.64,Hanshin Tigers,
Kuwahara Kentaro,5,0,0,0,0,0,.000,19,4,.1,4,0,2,0,1,3,0,0,0,0,0.00,Hanshin Tigers,
Maki Johichiro,17,3,2,0,0,0,.600,203,49,,49,4,17,0,3,29,1,0,21,18,3.31,Hanshin Tigers,
Mochizuki Atsushi,17,0,3,0,0,0,.000,130,24,.1,35,2,21,0,1,9,6,0,28,25,9.25,Hanshin Tigers,
Moriya Kouki,32,1,0,0,0,0,1.000,141,32,.1,36,4,9,0,2,40,3,0,17,17,4.73,Hanshin Tigers,
Murakami Shoki,17,10,1,0,0,0,.909,334,84,.2,73,9,23,0,0,75,3,1,24,21,2.23,Hanshin Tigers,
Nakata Kenichi,13,4,3,0,0,0,.571,221,48,,61,6,17,0,2,26,4,0,36,31,5.81,Hanshin Tigers,
Niho Akira,4,0,1,0,0,0,.000,65,14,,21,1,3,0,0,13,2,0,8,8,5.14,Hanshin Tigers,
Nishi Junya,17,6,3,0,0,0,.667,372,85,.1,79,12,46,1,3,75,4,0,44,39,4.11,Hanshin Tigers,
Nishi Yuki,1,0,0,0,0,0,.000,8,2,,2,0,1,0,0,1,0,0,0,0,0.00,Hanshin Tigers,
Ogawa Ippei,11,1,2,0,0,0,.333,138,30,,36,0,9,0,2,32,2,0,19,15,4.50,Hanshin Tigers,
Onaka Yuya,25,3,0,0,0,0,1.000,98,26,.1,15,2,7,0,0,32,0,0,4,4,1.37,Hanshin Tigers,
Ono Taiki,25,3,1,2,0,0,.750,104,26,,16,0,15,0,1,27,1,1,5,4,1.38,Hanshin Tigers,
Oyokawa Masaki,8,1,1,0,0,0,.500,147,36,.1,30,4,10,0,0,29,4,0,12,11,2.72,Hanshin Tigers,
Saitoh Yukiya,14,2,3,2,0,0,.400,173,43,,29,1,17,0,4,35,2,0,14,13,2.72,Hanshin Tigers,
Satoh Ren,16,3,1,0,0,0,.750,153,34,.2,27,4,27,0,6,35,3,0,24,22,5.71,Hanshin Tigers,
Suzuki Shota,20,3,2,1,0,0,.600,108,26,,14,2,16,0,3,22,2,0,8,5,1.73,Hanshin Tigers,
Takahashi Haruto,6,2,0,0,0,0,1.000,59,17,.1,5,1,3,0,0,12,0,0,1,1,0.52,Hanshin Tigers,
Tanigawa Masaki,8,0,1,1,0,0,.000,28,7,.1,6,1,1,0,0,7,0,0,1,1,1.23,Hanshin Tigers,
Yuasa Atsuki,18,2,1,4,0,0,.667,76,20,.1,11,1,5,0,0,13,2,0,6,6,2.66,Hanshin Tigers,
Bird Kyle,9,0,1,1,0,0,.000,37,9,,7,0,4,0,0,9,0,0,5,3,3.00,Hiroshima Carp,
Corniel Robert,2,0,0,0,0,0,.000,10,2,,2,0,2,0,0,4,2,0,1,1,4.50,Hiroshima Carp,
Endoh Atsushi,20,3,4,0,0,0,.429,277,61,.1,74,5,21,0,1,66,3,2,46,42,6.16,Hiroshima Carp,
Franzua Geronimo,5,0,0,0,0,0,.000,22,5,,4,0,2,0,0,8,0,0,3,1,1.80,Hiroshima Carp,
Fujii Reira,23,1,0,2,0,0,1.000,96,23,.2,16,0,11,0,1,23,3,0,10,10,3.80,Hiroshima Carp,
