                  Player   G  PA  AB   R   H  2B  3B  HR  TB  RBI  SB  CS  SH  SF  SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%     BB%  BB/K                Team League
81         Shimizu Yushi   1   1   1   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  1.000  1.000  1.000  2.000   508  0.000  1.000    0.0%    0.0%    0.0%        Nipponham Fighters     PL
82          Watanabe Ryo   2   2   2   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -103  0.000  0.000   50.0%   50.0%    0.0%  0.00      Hanshin Tigers     CL
83    Hamaguchi Haruhiro   1   1   1   0   1   0   0   0   1    0   0   0   0   0   0   0    0   0    0  1.000  1.000  1.000  2.000   513  0.000  1.000    0.0%    0.0%    0.0%             DeNA BayStars     CL
84            Maki Shugo  14  65  56   6  16   2   0   1  21    7   0   0   0   0  10   7    0   2    1  0.286  0.385  0.375  0.760   134  0.089  0.333   27.7%   15.4%   10.8%  0.70       DeNA BayStars     CL
85       Makihara Taisei   5  18  15   1   4   1   0   0   5    2   0   0   1   0   0   2    0   0    1  0.267  0.353  0.333  0.686   112  0.067  0.267   11.1%    0.0%   11.1%  1.00      SoftBank Hawks     PL
86            Tamiya Yua   4   9   8   1   1   1   0   0   2    0   0   0   0   0   3   1    0   0    1  0.125  0.222  0.250  0.472    45  0.125  0.200   44.4%   33.3%   11.1%  0.33  Nipponham Fighters     PL
87            Kai Takuya   8  26  22   0   1   0   0   0   1    1   0   0   1   1  13   2    2   0    0  0.045  0.120  0.045  0.165   -46  0.000  0.100   57.7%   50.0%    7.7%  0.15      SoftBank Hawks     PL
88           Yazawa Kota   1   3   3   0   1   0   0   0   1    1   0   0   0   0   1   0    0   0    0  0.333  0.333  0.333  0.667   105  0.000  0.500   33.3%   33.3%    0.0%  0.00  Nipponham Fighters     PL
89           Chino Naoto   1   1   1   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000         100.0%  100.0%    0.0%  0.00       DeNA BayStars     CL
90        Ishii Kazunari   2   3   3   1   1   0   0   0   1    0   0   0   0   0   2   0    0   0    0  0.333  0.333  0.333  0.667   105  0.000  1.000   66.7%   66.7%    0.0%  0.00  Nipponham Fighters     PL
91       Ishikawa Shingo   1   1   1   0   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%             Lotte Marines     PL
92       Kamizato Kazuki   3   1   1   1   0   0   0   0   0    0   0   0   0   0   0   0    0   0    0  0.000  0.000  0.000  0.000   -98  0.000  0.000    0.0%    0.0%    0.0%             DeNA BayStars     CL
93          Akihiro Yuto   2   2   2   0   0   0   0   0   0    0   0   0   0   0   2   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000         100.0%  100.0%    0.0%  0.00      Yomiuri Giants     CL
94      Tateoka Soichiro   3   4   4   0   0   0   0   0   0    0   0   0   0   0   1   0    0   0    0  0.000  0.000  0.000  0.000  -101  0.000  0.000   25.0%   25.0%    0.0%  0.00      Yomiuri Giants     CL
95    Sasagawa Yoshiyasu   2   7   7   0   1   0   0   0   1    0   1   0   0   0   2   0    0   0    0  0.143  0.143  0.143  0.286   -11  0.000  0.200   28.6%   28.6%    0.0%  0.00      SoftBank Hawks     PL
