     Player  Age  Pos     Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
47      NaN   31  9.0     9.0  -0.4    -57.2  -0.1 -0.3  NaN   0.0      0.0      NaN       NaN      ORIX Buffaloes     PL
48      NaN   19  8.0    26.1  -0.7    -34.3  -0.5 -0.1  NaN   0.0      0.1      NaN       NaN      Yomiuri Giants     CL
49      NaN   19  9.0   292.2  -7.5    -33.0  -6.3 -1.4  NaN   0.1     -1.2      NaN       NaN      Yomiuri Giants     CL
50      NaN   32  3.0   170.2   2.0     15.1   2.3  NaN -0.1  -0.2     -1.9      NaN       NaN    Chunichi Dragons     CL
51      NaN   32  5.0   125.0   0.4      4.1   2.2  NaN -0.2  -1.7     -0.5      NaN       NaN    Chunichi Dragons     CL
52      NaN   32  7.0   268.0   6.1     29.3   5.2  0.6  NaN   0.2     -2.5      NaN       NaN    Chunichi Dragons     CL
53      NaN   32  8.0   207.2  -6.9    -42.8  -5.3 -0.8  NaN  -0.8      0.7      NaN       NaN    Chunichi Dragons     CL
54      NaN   32  NaN     4.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN    Chunichi Dragons     CL
55      NaN   23  8.0    51.1  -4.4   -110.4  -4.3 -0.1  NaN   0.0      0.2      NaN       NaN      Hiroshima Carp     CL
56      NaN   23  9.0     4.0   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN      Hiroshima Carp     CL
57      NaN   30  7.0    91.0   1.3     18.4   1.3 -0.1  NaN   0.1     -0.9      NaN       NaN  Nipponham Fighters     PL
58      NaN   30  NaN    29.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.3      NaN       NaN  Nipponham Fighters     PL
59      NaN   31  7.0    23.0   0.8     44.8   0.2  0.6  NaN   0.0     -0.2      NaN       NaN  Nipponham Fighters     PL
60      NaN   31  8.0    19.1   0.2     13.3   0.3 -0.2  NaN   0.0      0.1      NaN       NaN  Nipponham Fighters     PL
61      NaN   31  9.0     2.0   0.0      0.0   0.0  0.0  NaN   0.0      0.0      NaN       NaN  Nipponham Fighters     PL
62      NaN   23  3.0   339.0   1.9      7.2   2.0  NaN -0.3   0.3     -3.8      NaN       NaN      ORIX Buffaloes     PL
63      NaN   23  4.0   409.2  -9.7    -30.5  -9.1  NaN -0.2  -0.5      1.1      NaN       NaN      ORIX Buffaloes     PL
64      NaN   23  5.0    19.0   0.4     27.1   0.2  NaN  0.0   0.2     -0.1      NaN       NaN      ORIX Buffaloes     PL
65      NaN   33  4.0   312.0   0.5      2.1   0.2  NaN  0.2   0.0      0.8      NaN       NaN      ORIX Buffaloes     PL
66      NaN   33  5.0   300.0   1.8      7.7   0.8  NaN -0.1   1.1     -1.1      NaN       NaN      ORIX Buffaloes     PL
