                  Team    PA    AB    R     H   2B  3B   HR    TB  RBI  SB  CS   SH  SF    SO   BB IBB  HP  GDP    AVG    OBP    SLG    OPS OPS+    ISO  BABIP   TTO%     K%   BB%  BB/K League
0       Hanshin Tigers  5335  4694  485  1137  164  17   67  1536  470  41  35  115  26  1028  441  20  59  120  0.242  0.314  0.327  0.641  101  0.085  0.295  28.8%  19.3%  8.3%  0.43     CL
1       Hiroshima Carp  5193  4722  415  1126  167  19   52  1487  390  66  51  116  27  1001  282  24  46   89  0.238  0.286  0.315  0.601   85  0.077  0.291  25.7%  19.3%  5.4%  0.28     CL
2        DeNA BayStars  5393  4863  522  1246  243  15  101  1822  508  69  27   85  31   922  360  38  54  114  0.256  0.313  0.375  0.688  110  0.119  0.296  25.6%  17.1%  6.7%  0.39     CL
3       Yomiuri Giants  5350  4752  462  1172  211  16   81  1658  447  59  25  125  28   972  409  37  36   89  0.247  0.309  0.349  0.658  104  0.102  0.293  27.3%  18.2%  7.6%  0.42     CL
4      Yakult Swallows  5343  4696  506  1141  171   8  103  1637  483  67  16  137  32  1042  436  31  42   96  0.243  0.311  0.349  0.660   96  0.106  0.290  29.6%  19.5%  8.2%  0.42     CL
5     Chunichi Dragons  5277  4796  373  1166  178  18   68  1584  358  40  27  113  21  1046  322  24  25  106  0.243  0.293  0.330  0.623   99  0.087  0.297  27.2%  19.8%  6.1%  0.31     CL
6       ORIX Buffaloes  5208  4673  402  1113  186  18   71  1548  390  61  32   92  36   915  355  16  52  100  0.238  0.297  0.331  0.628   96  0.093  0.280  25.7%  17.6%  6.8%  0.39     PL
7        Lotte Marines  5386  4791  493  1186  217  15   75  1658  468  64  14   93  37   923  429  18  36  105  0.248  0.312  0.346  0.658  101  0.098  0.290  26.5%  17.1%  8.0%  0.46     PL
8       SoftBank Hawks  5436  4798  607  1244  242  31  114  1890  584  89  31  105  32  1085  436  23  64   93  0.259  0.327  0.394  0.721  120  0.135  0.311  30.1%  20.0%  8.0%  0.40     PL
9       Rakuten Eagles  5350  4746  492  1149  165  40   72  1610  459  90  26  126  43   977  389  12  45   81  0.242  0.303  0.339  0.642  101  0.097  0.288  26.9%  18.3%  7.3%  0.40     PL
10         Seibu Lions  5127  4589  350   971  171  29   60  1380  334  83  36  106  27   994  349  14  56   90  0.212  0.274  0.301  0.575   78  0.089  0.256  27.4%  19.4%  6.8%  0.35     PL
11  Nipponham Fighters  5364  4815  532  1181  203  26  111  1769  504  91  52  115  33  1068  348  21  53  100  0.245  0.301  0.367  0.668  103  0.122  0.292  28.5%  19.9%  6.5%  0.33     PL
