                  Team   W   L  SV  HLD  CG SHO    BF      IP     H   HR    SO   BB IBB  HB  WP    R   ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%   BB%  K-BB% League
0       Hanshin Tigers  74  63  39  140  10   4  5268  1283.2  1144   51   950  323  26  33  35  420  357  2.50  2.96  3.61  1.14  115   91   99.2  -0.45  1.0%  18.0%  6.1%  11.9%     CL
1       Hiroshima Carp  68  70  42  107   9   4  5296  1280.0  1137   71   949  383  27  46  15  419  373  2.62  3.33  3.73  1.19  114   98  102.5  -0.71  1.3%  17.9%  7.2%  10.7%     CL
2        DeNA BayStars  71  69  36  124   6   4  5442  1285.1  1213   86  1030  404  32  51  33  503  440  3.08  3.42  3.65  1.26   98  100  100.3  -0.34  1.6%  18.9%  7.4%  11.5%     CL
3       Yomiuri Giants  77  59  41  141   9   5  5200  1289.0  1058   78  1057  352  19  44  21  381  356  2.49  3.16  3.44  1.09  118   95   94.6  -0.67  1.5%  20.3%  6.8%  13.6%     CL
4      Yakult Swallows  62  77  34  102   5   5  5369  1259.1  1306  108   946  378  48  39  41  556  509  3.64  3.69  3.74  1.34   88  101  102.8  -0.06  2.0%  17.6%  7.0%  10.6%     CL
5     Chunichi Dragons  60  75  44  138   3   1  5338  1288.0  1172   67   974  384  27  36  39  478  430  3.00  3.23  3.69  1.21   92  104  101.5  -0.23  1.3%  18.2%  7.2%  11.1%     CL
6       ORIX Buffaloes  63  77  34  129   5   0  5257  1267.2  1112   59  1083  391   8  52  22  448  397  2.82  3.03  3.48  1.19  103   92   95.7  -0.21  1.1%  20.6%  7.4%  13.2%     PL
7        Lotte Marines  71  66  37  113   9   1  5288  1276.1  1120   87  1033  374  17  61  43  495  450  3.17  3.38  3.55  1.17   96   98   97.6  -0.20  1.6%  19.5%  7.1%  12.5%     PL
8       SoftBank Hawks  91  49  44  121   5   2  5181  1289.1   980   88  1104  370  15  68  18  390  362  2.53  3.28  3.38  1.05  120   96   92.9  -0.76  1.7%  21.3%  7.1%  14.2%     PL
9       Rakuten Eagles  67  72  36  107   6   3  5404  1276.2  1293   89   890  382  23  48  36  579  531  3.74  3.61  3.86  1.31   77  111  106.0   0.13  1.6%  16.5%  7.1%   9.4%     PL
10         Seibu Lions  49  91  28   91   6   4  5385  1277.0  1154   81   974  453  20  51  40  485  430  3.03  3.57  3.83  1.26   97  108  105.3  -0.54  1.5%  18.1%  8.4%   9.7%     PL
11  Nipponham Fighters  75  60  34  145  11   7  5334  1305.0  1143  110   983  362  16  39  36  485  427  2.94  3.60  3.64  1.15  104  104   99.9  -0.65  2.1%  18.4%  6.8%  11.6%     PL
12      League Average  69  69  37  122   7   3  5314  1281.0  1153   81   998  380  23  47  32  470  422  2.96  3.35  3.64  1.20  100  100   99.9  -0.39  1.5%  18.8%  7.2%  11.6%    NaN
