                     Player Age  Pos  B    G   PA   AB   R    H  2B  3B  HR   TB  RBI  SB  CS  SH  SF   SO  BB  IBB  HP  GDP    AVG    OBP    SLG    OPS  OPS+    ISO  BABIP    TTO%      K%    BB%  BB/K                Team League
0                   Endo Jo  22    4  L  126  410  324  48   85   7   5   0  102   30  30  15  12   3   66  65    0   6    6  0.262  0.392  0.315  0.707   109  0.053  0.326   32.0%   16.1%  15.9%  0.98      Hanshin Tigers     WL
1              Fujita Kento  22    2  R   60  134  121  14   21   5   0   0   26    7   0   0   2   2   19   8    0   1    4  0.174  0.227  0.215  0.442    31  0.041  0.202   20.1%   14.2%   6.0%  0.42      Hanshin Tigers     WL
2            Fukushima Kein  22    8  L  110  232  196  34   48   5   2   1   60   23  15  12   5   1   39  21    0   9    3  0.245  0.344  0.306  0.650    92  0.061  0.299   26.3%   16.8%   9.1%  0.54      Hanshin Tigers     WL
3        Haraguchi Fumihito  32    3  R    7   25   22   1    5   0   0   0    5    3   0   0   0   2    2   1    0   0    2  0.227  0.240  0.227  0.467    39  0.000  0.227   12.0%    8.0%   4.0%  0.50      Hanshin Tigers     WL
4               Inoue Kouta  22    9  R   83  355  308  39   95  16   0   8  135   52   1   1   0   5   92  37    2   5    6  0.308  0.386  0.438  0.824   142  0.130  0.408   38.6%   25.9%  10.4%  0.40      Hanshin Tigers     WL
5             Itsubo Hinase  19    8  R  105  301  273  38   75   9   1   2   92   28  15  10   4   1   27  20    0   3   12  0.275  0.330  0.337  0.667    96  0.062  0.298   16.3%    9.0%   6.6%  0.74      Hanshin Tigers     WL
6             Katayama Yuya  30    3  L   90  236  210  28   65   6   2   2   81   21   1   1   4   1   24  19    1   2    7  0.310  0.371  0.386  0.757   122  0.076  0.341   19.1%   10.2%   8.1%  0.79      Hanshin Tigers     WL
7              Kinami Seiya  30    6  L    3    8    6   1    1   0   0   0    1    0   0   0   0   0    0   2    0   0    0  0.167  0.375  0.167  0.542    62  0.000  0.167   25.0%    0.0%  25.0%  1.00      Hanshin Tigers     WL
8          Kumagai Takahiro  28    5  R    3   14   12   1    2   1   0   1    6    5   0   0   0   1    4   1    0   0    0  0.167  0.214  0.500  0.714   108  0.333  0.125   42.9%   28.6%   7.1%  0.25      Hanshin Tigers     WL
9              Mieses Johan  28   DH  R   58  188  162  20   37   9   0   5   61   22   0   1   0   1   44  22    0   3    6  0.228  0.330  0.377  0.707   108  0.149  0.281   37.8%   23.4%  11.7%  0.50      Hanshin Tigers     WL
10             Momosaki Aoi  18    4  R   74  137  119  11   22   8   0   1   33   10   2   1   5   3   36   8    0   2    2  0.185  0.242  0.277  0.519    53  0.092  0.247   32.8%   26.3%   5.8%  0.22      Hanshin Tigers     WL
11          Morishita Shota  23    9  R    3   11    8   1    3   0   0   0    3    1   0   0   0   0    1   3    0   0    0  0.375  0.545  0.375  0.920   172  0.000  0.429   36.4%    9.1%  27.3%  3.00      Hanshin Tigers     WL
12           Nagasaka Kenya  30    2  R   23   40   30   4    4   0   0   0    4    5   0   0   2   1    9   7    0   0    1  0.133  0.289  0.133  0.422    27  0.000  0.182   40.0%   22.5%  17.5%  0.78      Hanshin Tigers     WL
13          Nakagawa Hayato  20    2  R   70  158  137  20   44  10   3   4   72   28   0   0   1   2   29  14    0   4    1  0.321  0.395  0.526  0.921   169  0.205  0.377   29.7%   18.4%   8.9%  0.48      Hanshin Tigers     WL
14            Neuse Sheldon  29   DH  R   51  161  139  15   31  10   0   3   50   23   0   0   0   1   35  20    0   1    3  0.223  0.323  0.360  0.683   101  0.137  0.275   36.0%   21.7%  12.4%  0.57      Hanshin Tigers     WL
15               Nishi Yuki  33    1  R    2    1    1   0    0   0   0   0    0    0   0   0   0   0    1   0    0   0    0  0.000  0.000  0.000  0.000   -97  0.000         100.0%  100.0%   0.0%  0.00      Hanshin Tigers     WL
16          Noguchi Kyosuke  23    7  R   81  311  278  37   82  18   2   5  119   35   0   0   0   3   28  23    0   7    9  0.295  0.360  0.428  0.788   131  0.133  0.310   18.0%    9.0%   7.4%  0.82      Hanshin Tigers     WL
17             Obata Ryuhei  23    6  L    8   31   26  11   10   3   1   1   18    9   0   0   0   0    2   5    0   0    0  0.385  0.484  0.692  1.176   243  0.307  0.391   25.8%    6.5%  16.1%  2.50      Hanshin Tigers     WL
18            Ohyama Yusuke  29    3  R    4   14   12   0    2   0   0   0    2    1   0   0   0   1    3   1    0   0    1  0.167  0.214  0.167  0.381    14  0.000  0.200   28.6%   21.4%   7.1%  0.33      Hanshin Tigers     WL
