                  Team   W   L  SV CG SHO    BF      IP     H  HR    SO   BB IBB  HB   WP    R   ER   ERA   FIP kwERA  WHIP ERA+ FIP- kwERA-   Diff   HR%     K%    BB%  K-BB% League
0       Hanshin Tigers  61  57  25  4   0  4892  1144.1  1109  65   884  434   1  57   76  511  437  3.44  3.94  3.88  1.35   99   98   98.5  -0.50  1.3%  18.1%   8.9%   9.2%     WL
1       Hiroshima Carp  51  62  35  1   1  4427  1036.0   972  53   729  380   3  50   65  458  380  3.30  3.96  4.01  1.31   97  104  101.8  -0.66  1.2%  16.5%   8.6%   7.9%     WL
2        DeNA BayStars  69  48  28  1   0  4736  1126.2  1011  56   912  387   1  58   39  436  365  2.92  3.67  3.69  1.24  111   95   93.7  -0.76  1.2%  19.3%   8.2%  11.1%     EL
3       Yomiuri Giants  69  52  30  1   0  4815  1157.2  1035  54  1038  375   1  65   46  408  354  2.75  3.41  3.42  1.22  116   90   86.9  -0.66  1.1%  21.6%   7.8%  13.8%     EL
4      Yakult Swallows  59  59  34  0   0  4766  1114.1  1041  63   770  405   5  48   60  502  426  3.44  4.03  4.03  1.30   98  101  102.4  -0.59  1.3%  16.2%   8.5%   7.7%     EL
5     Chunichi Dragons  71  46  35  6   5  4515  1086.0   965  34   813  373   4  37   78  401  338  2.80  3.50  3.83  1.23  118   89   97.1  -0.70  0.8%  18.0%   8.3%   9.7%     WL
6       ORIX Buffaloes  58  53  33  0   0  4427  1046.1   969  34   802  403   4  41   56  404  358  3.08  3.62  3.90  1.31  101   99   99.0  -0.54  0.8%  18.1%   9.1%   9.0%     WL
7        Lotte Marines  56  63  28  0   0  4620  1082.2  1068  81   809  323   0  41   49  499  432  3.59  3.95  3.75  1.28   96   96   95.1  -0.36  1.8%  17.5%   7.0%  10.5%     EL
8       SoftBank Hawks  71  41  32  2   1  4355  1053.1   930  43   813  317   4  51   48  365  309  2.64  3.50  3.66  1.18  126   89   92.9  -0.85  1.0%  18.7%   7.3%  11.4%     WL
9       Rakuten Eagles  51  61  24  3   0  4759  1111.1  1023  60   829  467   2  58   38  463  387  3.13  4.09  4.04  1.34  104  106  102.5  -0.95  1.3%  17.4%   9.8%   7.6%     EL
10         Seibu Lions  65  53  31  4   3  4783  1124.2  1042  60   788  434   2  66   35  443  366  2.93  4.09  4.06  1.31  118  100  103.0  -1.16  1.3%  16.5%   9.1%   7.4%     EL
11  Nipponham Fighters  62  54  27  1   0  4522  1076.0   973  57   908  359   4  36   41  437  363  3.04  3.56  3.59  1.24  114   87   91.0  -0.53  1.3%  20.1%   7.9%  12.1%     EL
12       Oisix Albirex  41  79  21  2   1  4918  1102.0  1162  77   705  506  13  49   63  650  554  4.52  4.60  4.40  1.51   66  130  111.6  -0.08  1.6%  14.3%  10.3%   4.0%     EL
13     HAYATE Ventures  28  84  14  4   2  4748  1041.2  1059  41   595  616   1  81  104  646  539  4.66  4.84  4.84  1.61   73  120  122.9  -0.18  0.9%  12.5%  13.0%  -0.4%     WL
