                  Team    TZR TZR/143   RngR   ARM   DPR   ErrR Framing Blocking League
0       Yomiuri Giants   39.9     4.9   34.9   0.5  -0.4    4.5    -1.9      2.2     CL
1       Hanshin Tigers  -32.5    -4.0  -14.9  -7.2  -2.4   -7.9     3.4     -0.9     CL
2      Yakult Swallows  -69.5    -8.8  -66.5  -0.8   0.4   -3.2    14.4     -1.7     CL
3     Chunichi Dragons  -14.2    -1.8  -15.0  -9.1   4.9    4.7    -0.1     -1.1     CL
4        DeNA BayStars  -60.8    -7.6  -35.6  -4.4  -7.9  -13.9     8.5     -0.1     CL
5       Hiroshima Carp    8.8     1.1   -6.4   8.9   1.7    3.6     1.0      0.7     CL
6       Rakuten Eagles  -36.8    -4.2  -44.4  -5.8   8.0    5.0   -12.7     -0.6     PL
7          Seibu Lions   20.6     2.3   17.5   0.1  -1.4    5.2    -4.4     -0.9     PL
8        Lotte Marines    9.7     1.1   16.7  -5.3  -3.0    0.9    -9.3      0.2     PL
9   Nipponham Fighters   52.4     5.8   39.8  14.3   0.4   -3.2   -10.7     -2.1     PL
10      ORIX Buffaloes  -13.2    -1.5   -4.8  -2.7  -2.1   -4.6    12.5      2.4     PL
11      SoftBank Hawks   95.9    10.7   78.5  10.6   1.9    4.5    -0.7      1.7     PL
