                  Pitcher   G   W   L  SV  HLD  CG  SHO   BF     IP    H  HR   SO  BB  IBB  HB  WP   R  ER     ERA    FIP  kwERA   WHIP ERA+ FIP- kwERA-    Diff    HR%     K%    BB%   K-BB%     GB% Chase%    Con% SwStr%   CSW%  FB Velo                Team League
19           Saiki Hiroto  25  13   3   0    0   4    3  671  167.2  140   4  137  38    2   0   4  35  34    1.83   2.44   3.32   1.06  157   75     91   -0.61   0.6%  20.4%   5.7%   14.8%   41.5%  25.9%   79.0%   9.8%  27.2%     93.3      Hanshin Tigers     CL
20              Satoh Ren   1   0   0   0    0   0    0    3    1.0    0   0    1   0    0   0   0   0   0    0.00   1.09   1.47   0.00  999   33     40   -1.09   0.0%  33.3%   0.0%   33.3%    nan%   nan%    nan%   nan%   nan%      NaN      Hanshin Tigers     CL
21       Shimamoto Hiroya  33   2   1   0    6   0    0  113   25.2   27   1   10  10    0   1   1   9   8    2.81   4.10   4.80   1.44  102  126    132   -1.29   0.9%   8.8%   8.8%    0.0%   52.2%  15.2%   78.8%   8.9%  28.6%     87.9      Hanshin Tigers     CL
22       Takahashi Haruto   5   4   1   0    0   0    0  114   29.2   20   0   28   4    0   1   1   5   5    1.52   1.71   2.69   0.81  189   52     74   -0.19   0.0%  24.6%   3.5%   21.1%   62.7%  37.2%   74.1%  13.6%  31.7%     91.5      Hanshin Tigers     CL
23             Tomida Ren  33   0   1   0    4   0    0  142   35.2   26   1   22   5    1   2   1   7   3    0.76   2.81   3.60   0.87  378   86     99   -2.05   0.7%  15.5%   3.5%   12.0%   41.5%  26.7%   83.6%   8.1%  24.3%     85.6      Hanshin Tigers     CL
24      Urushihara Taisei  38   1   4   0    5   0    0  153   34.2   38   0   22  17    0   0   0  16  15    3.89   3.29   4.47   1.59   74  101    123    0.60   0.0%  14.4%  11.1%    3.3%   44.8%  17.5%   78.7%   8.2%  26.5%     89.0      Hanshin Tigers     CL
25           Aduwa Makoto  20   6   4   0    0   1    1  452  106.1  102   9   61  29    2   5   0  43  37    3.13   4.00   4.09   1.23   96  118    113   -0.87   2.0%  13.5%   6.4%    7.1%   38.0%  22.4%   84.5%   7.0%  24.4%     89.9      Hiroshima Carp     CL
26         Corniel Robert  16   0   0   0    0   0    0   71   17.0   15   1   14   7    0   0   0   7   5    2.65   3.44   3.81   1.29  113  102    105   -0.79   1.4%  19.7%   9.9%    9.9%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
27          Endoh Atsushi   3   0   0   0    0   0    0   17    4.0    5   0    0   3    0   0   0   2   2    4.50   5.34   6.56   2.00   66  158    181   -0.84   0.0%   0.0%  17.6%  -17.6%   45.2%  32.0%   79.0%   9.9%  29.3%     89.7      Hiroshima Carp     CL
28           Hasebe Ginji   5   0   0   0    1   0    0   25    7.0    1   0    4   5    0   0   0   0   0    0.00   4.09   5.20   0.86  999  121    143   -4.09   0.0%  16.0%  20.0%   -4.0%   44.4%  20.0%   78.8%   9.3%  28.0%     89.0      Hiroshima Carp     CL
29           Hatch Thomas   5   0   3   0    0   0    0  105   22.0   28   5   18  10    0   2   1  18  18    7.36   6.04   4.04   1.73   41  178    111    1.32   4.8%  17.1%   9.5%    7.6%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
30           Hearn Taylor  35   0   1   2   17   0    0  129   35.0   18   1   26   7    0   0   0   5   5    1.29   2.57   3.33   0.71  232   76     91   -1.28   0.8%  20.2%   5.4%   14.7%   48.3%  31.6%   74.9%  13.5%  27.4%     95.2      Hiroshima Carp     CL
31           Horie Atsuya  53   2   0   0   16   0    0  174   40.0   39   0   38  16    0   4   1  13   7    1.58   2.69   3.54   1.38  189   79     97   -1.11   0.0%  21.8%   9.2%   12.6%   55.0%  22.2%   73.7%  12.4%  28.3%     94.0      Hiroshima Carp     CL
32             Kawano Kei  13   0   0   1    0   0    0   72   16.2   20   1   17   4    0   1   0   4   4    2.16   2.73   2.99   1.44  139   81     82   -0.57   1.4%  23.6%   5.6%   18.1%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
33           Kemna Makoto   5   0   0   0    0   0    0   25    5.0    6   0    5   5    0   0   0   1   1    1.80   4.09   4.80   2.20  166  121    132   -2.29   0.0%  20.0%  20.0%    0.0%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
34              Kuri Aren  23   7  10   0    0   1    1  529  131.2  115  12   95  29    2   4   1  49  47    3.21   3.58   3.55   1.09   93  106     98   -0.37   2.3%  18.0%   5.5%   12.5%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
35      Kuribayashi Ryoji  60   0   6  38   12   0    0  214   55.0   33   3   65  16    2   2   3  14  12    1.96   2.42   2.51   0.89  153   71     69   -0.46   1.4%  30.4%   7.5%   22.9%   56.4%  31.7%   71.9%  13.3%  32.4%     92.0      Hiroshima Carp     CL
36        Kurohara Takumi  53   4   3   0    3   0    0  244   59.2   40   2   67  20    0   3   0  15  14    2.11   2.43   2.87   1.01  142   72     79   -0.32   0.8%  27.5%   8.2%   19.3%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
37        Masuda Takehisa  10   0   0   0    3   0    0   45    8.1   12   2    9   6    0   2   0   6   6    6.48   6.93   4.13   2.16   46  204    114   -0.45   4.4%  20.0%  13.3%    6.7%   42.9%  35.6%   79.5%   8.9%  33.3%     91.9      Hiroshima Carp     CL
38        Matsumoto Ryuya  12   0   1   0    0   0    0   50   12.2    9   1   10   5    2   0   0   4   4    2.84   3.72   3.80   1.11  105  110    104   -0.88   2.0%  20.0%  10.0%   10.0%   36.4%  34.3%   87.2%   6.8%  21.9%     90.1      Hiroshima Carp     CL
39            Mori Shohei   5   1   3   0    0   1    0  109   26.2   25   1   17   4    1   1   0  10   8    2.70   2.86   3.61   1.09  111   84     99   -0.16   0.9%  15.6%   3.7%   11.9%   48.3%  23.8%   80.6%   8.6%  28.9%     88.9      Hiroshima Carp     CL
40       Morishita Masato  23  10  10   0    0   2    1  612  151.2  137   6   98  29    3   7   2  46  43    2.55   3.02   3.67   1.09  117   89    101   -0.47   1.0%  16.0%   4.7%   11.3%   52.0%  26.0%   82.2%   8.7%  25.7%     91.1      Hiroshima Carp     CL
41        Moriura Daisuke  53   2   0   0   17   0    0  203   46.2   40   1   43  27    6   1   0  13  13    2.51   3.32   4.01   1.44  119   98    110   -0.81   0.5%  21.2%  13.3%    7.9%   46.6%  29.0%   71.2%  13.8%  29.0%     92.2      Hiroshima Carp     CL
42         Nakazaki Shota  24   1   1   0    3   0    0   94   23.0   24   1   16   2    0   1   1   5   5    1.96   2.65   3.31   1.13  153   78     91   -0.69   1.1%  17.0%   2.1%   14.9%   46.3%  27.6%   81.3%   9.3%  25.5%     91.0      Hiroshima Carp     CL
43          Nomura Yusuke   3   0   1   0    0   0    0   46   11.0   11   1    8   2    0   0   0   4   3    2.45   3.36   3.50   1.18  122   99     96   -0.91   2.2%  17.4%   4.3%   13.0%    nan%   nan%    nan%   nan%   nan%      NaN      Hiroshima Carp     CL
44         Ohmichi Haruki   4   0   0   0    0   0    0   22    4.1    9   3    2   0    0   0   0   5   5   10.38  11.16   3.89   2.08   29  330    107   -0.78  13.6%   9.1%   0.0%    9.1%  100.0%  40.0%   62.5%  18.8%  31.2%     90.7      Hiroshima Carp     CL
45          Ohsera Daichi  25   6   6   0    0   2    1  627  155.0  118   5   98  49    3   3   0  37  32    1.86   3.25   4.02   1.08  161   96    110   -1.39   0.8%  15.6%   7.8%    7.8%   42.6%  25.9%   79.6%   9.8%  25.6%     89.0      Hiroshima Carp     CL
46       Shimauchi Sotaro  58  11   6   0   24   0    0  238   55.1   43   2   53  27    2   2   4  20  17    2.77   3.21   3.71   1.27  108   95    102   -0.44   0.8%  22.3%  11.3%   10.9%   45.4%  31.4%   70.1%  14.9%  28.9%     94.1      Hiroshima Carp     CL
47            Taka Taichi   1   0   0   0    1   0    0    8    2.0    1   0    2   1    0   0   0   0   0    0.00   2.59   3.55   1.00  999   76     98   -2.59   0.0%  25.0%  12.5%   12.5%   47.0%  28.0%   82.2%   8.5%  25.9%     89.4      Hiroshima Carp     CL
48        Takahashi Kouya   1   0   0   1    0   0    0    3    1.0    0   0    1   0    0   0   0   0   0    0.00   1.09   1.47   0.00  999   32     40   -1.09   0.0%  33.3%   0.0%   33.3%   49.0%  20.6%   82.5%   7.9%  27.0%     90.3      Hiroshima Carp     CL
49          Takita Kazuki   1   1   0   0    0   0    0   18    4.0    2   0    5   4    0   0   0   1   1    2.25   3.59   4.24   1.50  133  106    117   -1.34   0.0%  27.8%  22.2%    5.6%   30.0%  21.3%   81.5%   7.9%  26.3%     90.6      Hiroshima Carp     CL
50         Tamamura Shogo  15   4   5   0    0   2    0  311   76.0   77   3   58  11    0   2   1  32  25    2.96   2.59   3.29   1.16  101   76     90    0.37   1.0%  18.6%   3.5%   15.1%   43.8%  28.2%   81.0%   9.5%  28.8%     89.0      Hiroshima Carp     CL
51          Tokoda Hiroki  26  11   9   0    0   0    0  693  167.0  170   9   95  48    4   4   0  52  46    2.48   3.59   4.12   1.31  121  106    113   -1.11   1.3%  13.7%   6.9%    6.8%   47.2%  27.0%   82.4%   8.2%  27.7%     88.9      Hiroshima Carp     CL
