      Player  Age  Pos    Inn   TZR  TZR/143  RngR  ARM  DPR  ErrR  Pos Adj  Framing  Blocking                Team League
47       NaN   22  NaN   10.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.1      NaN       NaN         Seibu Lions     EL
48       NaN   22  7.0  138.0  -0.2     -1.9   1.0 -1.3  NaN   0.1     -1.3      NaN       NaN  Nipponham Fighters     EL
49       NaN   22  8.0  294.0  -8.0    -35.0  -4.8 -2.6  NaN  -0.7      1.0      NaN       NaN  Nipponham Fighters     EL
50       NaN   22  9.0   99.1  -0.6     -7.8  -0.9  0.2  NaN   0.1     -0.4      NaN       NaN  Nipponham Fighters     EL
51       NaN   19  8.0  461.1  -3.7    -10.3  -2.2 -1.8  NaN   0.2      1.5      NaN       NaN      Yomiuri Giants     EL
52       NaN   19  9.0   22.1  -1.7    -98.1  -1.5 -0.2  NaN   0.0     -0.1      NaN       NaN      Yomiuri Giants     EL
53       NaN   19  NaN   68.0   NaN      NaN   NaN  NaN  NaN   NaN     -0.8      NaN       NaN      Yomiuri Giants     EL
54       NaN   25  3.0    4.0  -0.2    -64.4  -0.2  NaN  0.0   0.0      0.0      NaN       NaN      Rakuten Eagles     EL
55       NaN   25  4.0    4.0  -0.2    -64.4   0.6  NaN -0.1  -0.6      0.0      NaN       NaN      Rakuten Eagles     EL
56       NaN   25  5.0  327.0  -0.5     -2.0  -1.5  NaN  0.0   1.1     -1.2      NaN       NaN      Rakuten Eagles     EL
57       NaN   25  7.0  169.1   0.3      2.3   0.0  0.2  NaN   0.1     -1.6      NaN       NaN      Rakuten Eagles     EL
58       NaN   25  9.0   22.0  -0.8    -46.8  -1.4  0.7  NaN   0.0     -0.1      NaN       NaN      Rakuten Eagles     EL
59       NaN   25  4.0  543.0   2.4      5.7   4.3  NaN -0.9  -1.0      1.5      NaN       NaN     HAYATE Ventures     WL
60       NaN   25  7.0   13.1  -3.7   -358.0  -2.3 -0.6  NaN  -0.8     -0.1      NaN       NaN     HAYATE Ventures     WL
61       NaN   25  8.0    9.2   0.3     39.8   0.4 -0.1  NaN   0.0      0.0      NaN       NaN     HAYATE Ventures     WL
62       NaN   25  9.0   14.0   0.4     36.8   0.1  0.3  NaN   0.0     -0.1      NaN       NaN     HAYATE Ventures     WL
63       NaN   25  NaN    3.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN     HAYATE Ventures     WL
64       NaN   31  4.0  100.0  -2.1    -27.0  -1.5  NaN -0.1  -0.5      0.3      NaN       NaN      ORIX Buffaloes     WL
65       NaN   31  7.0   53.1  -1.5    -36.2  -0.6 -1.0  NaN   0.0     -0.5      NaN       NaN      ORIX Buffaloes     WL
66       NaN   31  8.0   64.1  -4.3    -86.1  -4.1 -0.2  NaN   0.0      0.2      NaN       NaN      ORIX Buffaloes     WL
67       NaN   31  9.0    2.0   0.6    386.1   0.6  0.0  NaN   0.0      0.0      NaN       NaN      ORIX Buffaloes     WL
68       NaN   31  NaN    3.0   NaN      NaN   NaN  NaN  NaN   NaN      0.0      NaN       NaN      ORIX Buffaloes     WL
69       NaN   24  4.0  319.0   5.2     21.0   2.7  NaN  1.9   0.6      0.9      NaN       NaN      ORIX Buffaloes     WL
